parent_url,parent_name,this_url,name,level
D2D邻居发现中资源分配的技术研究_2级_5,同步7,D2D邻居发现中资源分配的技术研究_3级_1,LTE系统中同步的设计7,3
D2D邻居发现中资源分配的技术研究_2级_5,同步7,D2D邻居发现中资源分配的技术研究_3级_2,FlashLinQ系统中同步的设计7,3
D2D邻居发现中资源分配的技术研究_2级_5,同步7,D2D邻居发现中资源分配的技术研究_3级_3,LTED2D系统中同步的设计8,3
D2D邻居发现中资源分配的技术研究_2级_6,D2D邻居发现9,D2D邻居发现中资源分配的技术研究_3级_4,基于EPC的发现流程9,3
D2D邻居发现中资源分配的技术研究_2级_6,D2D邻居发现9,D2D邻居发现中资源分配的技术研究_3级_5,基于直接信号的发现流程10,3
D2D邻居发现中资源分配的技术研究_2级_6,D2D邻居发现9,D2D邻居发现中资源分配的技术研究_3级_6,现有方案的不足和挑战12,3
D2D邻居发现中资源分配的技术研究_2级_13,分布式的资源分配方案20,D2D邻居发现中资源分配的技术研究_3级_7,系统模型22,3
D2D邻居发现中资源分配的技术研究_2级_13,分布式的资源分配方案20,D2D邻居发现中资源分配的技术研究_3级_8,随机的资源选取方案23,3
D2D邻居发现中资源分配的技术研究_2级_13,分布式的资源分配方案20,D2D邻居发现中资源分配的技术研究_3级_9,基于能量检测的资源选取方案25,3
D2D邻居发现中资源分配的技术研究_2级_13,分布式的资源分配方案20,D2D邻居发现中资源分配的技术研究_3级_10,两种方案的比较26,3
D2D邻居发现中资源分配的技术研究_2级_16,基于时延性能的自适应调整方案33,D2D邻居发现中资源分配的技术研究_3级_11,基于时延性能的子帧调整方案33,3
D2D邻居发现中资源分配的技术研究_2级_16,基于时延性能的自适应调整方案33,D2D邻居发现中资源分配的技术研究_3级_12,基于时延性能的子帧、发现周期联合调整方案34,3
