dissertation,name,this_url,language,word_frequency
D2D邻居发现中资源分配的技术研究,时延性能,D2D邻居发现中资源分配的技术研究_摘要_1,中文,5
D2D邻居发现中资源分配的技术研究,设备,D2D邻居发现中资源分配的技术研究_摘要_2,中文,4
D2D邻居发现中资源分配的技术研究,d2d邻居,D2D邻居发现中资源分配的技术研究_摘要_3,中文,3
D2D邻居发现中资源分配的技术研究,发送概率,D2D邻居发现中资源分配的技术研究_摘要_4,中文,2
D2D邻居发现中资源分配的技术研究,自适应调整,D2D邻居发现中资源分配的技术研究_摘要_5,中文,2
D2D邻居发现中资源分配的技术研究,子帧调整,D2D邻居发现中资源分配的技术研究_摘要_6,中文,2
D2D邻居发现中资源分配的技术研究,子帧,D2D邻居发现中资源分配的技术研究_摘要_7,中文,2
D2D邻居发现中资源分配的技术研究,周期联合调整,D2D邻居发现中资源分配的技术研究_摘要_8,中文,2
D2D邻居发现中资源分配的技术研究,周期,D2D邻居发现中资源分配的技术研究_摘要_9,中文,2
D2D邻居发现中资源分配的技术研究,资源分配,D2D邻居发现中资源分配的技术研究_摘要_10,中文,2
D2D邻居发现中资源分配的技术研究,资源选取,D2D邻居发现中资源分配的技术研究_摘要_11,中文,2
D2D邻居发现中资源分配的技术研究,频谱利用率,D2D邻居发现中资源分配的技术研究_摘要_12,中文,2
D2D邻居发现中资源分配的技术研究,发现率,D2D邻居发现中资源分配的技术研究_摘要_13,中文,2
D2D邻居发现中资源分配的技术研究,时延,D2D邻居发现中资源分配的技术研究_摘要_14,中文,2
D2D邻居发现中资源分配的技术研究,device,D2D邻居发现中资源分配的技术研究_摘要_15,中文,2
D2D邻居发现中资源分配的技术研究,功耗,D2D邻居发现中资源分配的技术研究_摘要_16,中文,2
D2D邻居发现中资源分配的技术研究,分配,D2D邻居发现中资源分配的技术研究_摘要_17,中文,1
D2D邻居发现中资源分配的技术研究,数值,D2D邻居发现中资源分配的技术研究_摘要_18,中文,1
D2D邻居发现中资源分配的技术研究,仿真,D2D邻居发现中资源分配的技术研究_摘要_19,中文,1
D2D邻居发现中资源分配的技术研究,资源,D2D邻居发现中资源分配的技术研究_摘要_20,中文,1
D2D邻居发现中资源分配的技术研究,时延性能子帧,D2D邻居发现中资源分配的技术研究_摘要_21,中文,1
D2D邻居发现中资源分配的技术研究,时延敏感服务,D2D邻居发现中资源分配的技术研究_摘要_22,中文,1
