parent_url,parent_name,this_url,name,level
LTE-Hi系统高阶调制及链路仿真评估研究_2级_2,LTE-Hi系统的关键技术及优势,LTE-Hi系统高阶调制及链路仿真评估研究_3级_1,LTE-Hi系统的关键技术,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_2,LTE-Hi系统的关键技术及优势,LTE-Hi系统高阶调制及链路仿真评估研究_3级_2,LTE-Hi系统的优势,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_5,LTE-Hi信道建模,LTE-Hi系统高阶调制及链路仿真评估研究_3级_3,静态场景建模,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_5,LTE-Hi信道建模,LTE-Hi系统高阶调制及链路仿真评估研究_3级_4,动态场景建模,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_6,高阶星座调制与解调技术,LTE-Hi系统高阶调制及链路仿真评估研究_3级_5,正交幅度调制（MQAM）与解调原理,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_6,高阶星座调制与解调技术,LTE-Hi系统高阶调制及链路仿真评估研究_3级_6,通信系统中的软比特解调及性能比较,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_7,LTE-Hi系统下行MIMO技术,LTE-Hi系统高阶调制及链路仿真评估研究_3级_7,室内系统下多天线传输模式的考虑,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_7,LTE-Hi系统下行MIMO技术,LTE-Hi系统高阶调制及链路仿真评估研究_3级_8,TM2发射分集,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_7,LTE-Hi系统下行MIMO技术,LTE-Hi系统高阶调制及链路仿真评估研究_3级_9,TM3开环空间复用,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_7,LTE-Hi系统下行MIMO技术,LTE-Hi系统高阶调制及链路仿真评估研究_3级_10,TM3模式内自适应切换,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_8,MIMO下行链路评估中的接收检测算法,LTE-Hi系统高阶调制及链路仿真评估研究_3级_11,高阶调制下的MIMO接收检测算法,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_8,MIMO下行链路评估中的接收检测算法,LTE-Hi系统高阶调制及链路仿真评估研究_3级_12,MMSE算法数据流性能衡量矩阵的推导,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_11,高阶调制下的MCS选择及CQI上报,LTE-Hi系统高阶调制及链路仿真评估研究_3级_13,高阶调制对MCS/TBS配置的影响,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_11,高阶调制下的MCS选择及CQI上报,LTE-Hi系统高阶调制及链路仿真评估研究_3级_14,高阶调制下的CQI上报,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_12,高阶调制下的有效信噪比合并方法的应用,LTE-Hi系统高阶调制及链路仿真评估研究_3级_15,有效信噪比合并的基本原理,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_12,高阶调制下的有效信噪比合并方法的应用,LTE-Hi系统高阶调制及链路仿真评估研究_3级_16,指数有效信噪比合并（EESM）原理,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_12,高阶调制下的有效信噪比合并方法的应用,LTE-Hi系统高阶调制及链路仿真评估研究_3级_17,互信息有效信噪比合并（MI-ESM）原理,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_12,高阶调制下的有效信噪比合并方法的应用,LTE-Hi系统高阶调制及链路仿真评估研究_3级_18,256QAM下的参数优化设计,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_15,静态信道下的高阶调制链路级仿真,LTE-Hi系统高阶调制及链路仿真评估研究_3级_19,仿真条件,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_15,静态信道下的高阶调制链路级仿真,LTE-Hi系统高阶调制及链路仿真评估研究_3级_20,仿真结果及分析,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_16,动态信道下的高阶调制链路级仿真,LTE-Hi系统高阶调制及链路仿真评估研究_3级_21,仿真条件,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_16,动态信道下的高阶调制链路级仿真,LTE-Hi系统高阶调制及链路仿真评估研究_3级_22,仿真结果及分析,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_20,高阶调制下增量冗余型HARQ的链路抽象方案实现与优化,LTE-Hi系统高阶调制及链路仿真评估研究_3级_23,重传版本间相关性的分析,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_20,高阶调制下增量冗余型HARQ的链路抽象方案实现与优化,LTE-Hi系统高阶调制及链路仿真评估研究_3级_24,基于MIESM对IR重传合并的链路抽象方法,3
LTE-Hi系统高阶调制及链路仿真评估研究_2级_20,高阶调制下增量冗余型HARQ的链路抽象方案实现与优化,LTE-Hi系统高阶调制及链路仿真评估研究_3级_25,IRHARQ重传合并值与真实值的差距分析,3
