,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
c-ran,0,0,6,0,0,0,0,6,0.75
基站,1,0,15,0,4,0,0,20,3.841666666666667
基础设施,1,0,5,0,0,0,0,6,1.625
调度,0,0,6,1,0,1,0,8,1.1166666666666667
c-ran架构,0,0,2,0,0,0,0,2,0.25
频谱资源,0,0,2,0,0,0,0,2,0.25
频谱,0,0,3,0,0,0,0,3,0.375
协作式无线网络,0,0,2,0,0,0,0,2,0.25
天线,0,0,2,0,2,0,0,4,0.7333333333333334
通信业务,0,0,1,0,3,0,0,4,0.85
迁移,3,0,13,21,61,23,1,122,27.791666666666668
资源单元,0,0,1,0,0,0,0,1,0.125
实时信号处理业务,0,0,1,0,3,0,1,5,1.0916666666666668
资源共享,0,0,1,0,0,0,0,1,0.125
处理资源,0,0,3,2,0,0,0,5,0.625
资源,1,0,10,7,1,4,7,30,6.025
实时云架构,0,0,1,0,0,0,0,1,0.125
基带资源池,0,0,1,0,0,0,0,1,0.125
无线互联网,0,0,1,0,0,0,0,1,0.125
体验,0,0,1,0,0,1,1,3,0.6083333333333334
接入服务,0,0,1,0,0,0,0,1,0.125
移动网络,0,0,2,0,0,0,1,3,0.4916666666666667
平滑升级,0,0,1,0,0,0,0,1,0.125
系统,0,0,3,1,0,0,0,4,0.5
物理硬件平台,0,0,4,2,0,0,0,6,0.75
用户带宽,0,0,1,0,0,0,0,1,0.125
效率,0,0,6,1,1,4,0,12,2.083333333333333
能源使用率,0,0,1,0,0,0,0,1,0.125
损耗,0,0,1,0,0,0,0,1,0.125
能源,0,0,3,0,0,0,1,4,0.6166666666666667
数据接入服务,0,0,1,0,0,0,0,1,0.125
接入,0,0,1,0,0,0,0,1,0.125
移动宽带网络,0,0,1,0,0,0,0,1,0.125
终端用户,0,0,3,0,0,1,0,4,0.6166666666666667
物理硬件基础平台设施,0,0,1,0,0,0,0,1,0.125
能源损耗,0,0,3,0,0,0,0,3,0.375
计算处理资源,0,0,4,1,2,6,5,18,3.7666666666666666
虚拟化技术,1,0,7,25,0,0,1,34,5.241666666666666
实时云架构模型,0,0,1,0,0,0,0,1,0.125
物理硬件基础平台,0,0,1,0,0,0,0,1,0.125
无线远端模块,0,0,1,0,0,0,0,1,0.125
基带处理资源池,0,0,1,0,0,0,0,1,0.125
无线接入网,0,0,3,0,0,0,0,3,0.375
云架构,0,0,1,0,0,0,0,1,0.125
开放平台,0,0,1,0,0,0,0,1,0.125
远端无线射频单元,0,0,1,0,0,0,0,1,0.125
集中式基带资源处理池,0,0,1,0,0,0,0,1,0.125
cloudran,0,0,1,0,0,0,0,1,0.125
centralized,0,0,1,0,0,0,0,1,0.125
绿色无线接入网,0,0,1,0,0,0,0,1,0.125
移动互联网,0,0,2,0,0,0,1,3,0.4916666666666667
usrp进程,0,0,0,0,65,1,0,66,15.95
迁移发起端,0,0,0,0,73,7,0,80,19.333333333333332
进程,0,0,0,0,20,1,0,21,5.075
函数,0,0,0,0,13,0,0,13,3.1416666666666666
ip,0,0,0,0,8,0,0,8,1.9333333333333333
主控程序,0,0,0,0,136,10,0,146,35.28333333333333
处理流程,0,0,0,0,6,0,0,6,1.45
目的端,0,0,0,0,12,2,0,14,3.3833333333333333
killprocess函数,0,0,0,0,8,0,0,8,1.9333333333333333
eth3端口,0,0,0,0,22,0,0,22,5.316666666666666
关处,0,0,0,0,1,0,0,1,0.24166666666666667
结束进程,0,0,0,0,10,0,0,10,2.4166666666666665
模块,1,0,0,0,11,0,0,12,3.658333333333333
控制指令,0,0,0,0,43,3,0,46,11.116666666666667
usrp,0,0,1,0,75,0,1,77,18.491666666666667
zmq机制,0,0,0,0,40,2,0,42,10.15
usrp进程模块,0,0,0,0,3,0,0,3,0.725
d2d进程,0,0,0,0,69,4,0,73,17.641666666666666
实时信号,5,0,17,0,65,17,6,110,28.391666666666666
动态迁移系统,3,0,8,0,66,29,1,107,27.2
d2d进程模块,0,0,0,0,3,0,0,3,0.725
处理模块,0,0,0,0,29,0,0,29,7.008333333333334
线程,0,0,0,0,13,6,0,19,4.591666666666667
控制信息,2,0,0,0,28,0,0,30,8.766666666666666
d2d程序,0,0,0,0,20,11,0,31,7.491666666666667
执行结果,0,0,0,0,2,0,0,2,0.48333333333333334
d2d,0,0,0,0,6,2,0,8,1.9333333333333333
ill,0,0,0,0,3,0,0,3,0.725
usrp设备,0,0,3,0,87,0,2,92,21.883333333333333
uhd,0,0,0,0,18,0,0,18,4.35
api接口函数,0,0,0,0,16,0,0,16,3.8666666666666667
hd,0,0,0,0,8,0,0,8,1.9333333333333333
vice,0,0,0,0,5,0,0,5,1.2083333333333333
usrp实体,0,0,0,0,29,0,0,29,7.008333333333334
参数,0,0,0,0,11,0,0,11,2.658333333333333
