dissertation,name,this_url,language
TD-LTE上行信道估计算法研究与实现,TD-LTE,TD-LTE上行信道估计算法研究与实现_关键词_1,中文
TD-LTE上行信道估计算法研究与实现,信道估计,TD-LTE上行信道估计算法研究与实现_关键词_2,中文
TD-LTE上行信道估计算法研究与实现,虚信道,TD-LTE上行信道估计算法研究与实现_关键词_3,中文
TD-LTE上行信道估计算法研究与实现,冲激响应拓展,TD-LTE上行信道估计算法研究与实现_关键词_4,中文
TD-LTE上行信道估计算法研究与实现,差异化去噪策略,TD-LTE上行信道估计算法研究与实现_关键词_5,中文
TD-LTE上行信道估计算法研究与实现,多核DSP,TD-LTE上行信道估计算法研究与实现_关键词_6,中文
TD-LTE上行信道估计算法研究与实现,TD-LTE,TD-LTE上行信道估计算法研究与实现_keyword_7,英文
TD-LTE上行信道估计算法研究与实现, channel estimation,TD-LTE上行信道估计算法研究与实现_keyword_8,英文
TD-LTE上行信道估计算法研究与实现, virtual channel frequency response expanding,TD-LTE上行信道估计算法研究与实现_keyword_9,英文
TD-LTE上行信道估计算法研究与实现, variation noise reduction strategy,TD-LTE上行信道估计算法研究与实现_keyword_10,英文
TD-LTE上行信道估计算法研究与实现, multi-code DSP,TD-LTE上行信道估计算法研究与实现_keyword_11,英文
