dissertation,name,this_url,language,word_frequency
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,pucch,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_1,中文,6
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,srs,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_2,中文,6
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,检测接收算法,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_3,中文,2
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,探测参考信号,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_4,中文,2
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,模块,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_5,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,模块间接口,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_6,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,dsp平台,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_7,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,广义似然比,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_8,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,pucch链路,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_9,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,vcfr信噪比,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_10,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,梳状导频信噪比,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_11,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,信道探测技术,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_12,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,vcfr信道,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_13,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,信噪比,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_14,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,信噪比估计,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_15,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,matlab,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_16,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,性能仿真,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_17,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,pucch检测接收,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_18,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,enodeb端,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_19,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,发送,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_20,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,检测接收,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_21,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,导频,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_22,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,半盲检测,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_23,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,广义似然比检测算法,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_24,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,广义,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_25,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,似然比检测算法,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_26,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,信道模型,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_27,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,误码率,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_28,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,误码块率,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_29,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,广义似然,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_30,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,检测算法,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_31,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,检测性能,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_32,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,复杂度,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_33,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,半盲检,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_34,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,复数乘数量,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_35,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,td-lte系统,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_36,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,上行控制信道,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_37,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,基站侧接收机,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_38,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,信道控制信息,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_39,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,信道状态信息,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_40,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,发送格式,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_41,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,传输模式,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_42,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,上行共享信道,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_43,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,harq-ack/,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_44,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,nack,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_45,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,ue调度请求,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_46,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,控制信息,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_47,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,数据信息,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_48,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,信道质量,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_49,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,信号,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_50,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,基站,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_51,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,信噪比信息,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_52,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,ue,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_53,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,频率选择性调度,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_54,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,s320c6670,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_55,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,多核dsp,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_56,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,物理信道,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_57,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,lte,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_58,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,移动通信,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_59,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,td-lte,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_60,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,频谱配置,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_61,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,频谱利用率,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_62,中文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,th,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_63,英文,3
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,pu,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_64,英文,2
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,han,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_65,英文,2
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,re,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_66,英文,2
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,channeldetectiontechnology,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_67,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,snrestimation,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_68,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,tima,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_69,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,cula,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_70,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,ficient,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_71,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,late,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_72,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,sm,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_73,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,ds,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_74,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,pilot,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_75,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,imation,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_76,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,semiblinddetection,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_77,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,generalize,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_78,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,ke,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_79,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,hoo,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_80,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,algorithmbase,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_81,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,cchtopropo,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_82,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,imize,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_83,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,glrtmethod,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_84,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,tect,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_85,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,na,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_86,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,andcqibits,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_87,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,aftersimula,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_88,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,the,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_89,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,biterrorrate,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_90,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,blockerrorrate,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_91,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,getan,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_92,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,ti,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_93,英文,1
TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt,ze,TD-LTE系统PUCCH与SRS检测接收技术研究与实现.txt_摘要_94,英文,1
