dissertation,name,this_url,language,word_frequency
Turbo译码低复杂度算法与应用研究,turbo码,Turbo译码低复杂度算法与应用研究_摘要_1,中文,5
Turbo译码低复杂度算法与应用研究,超远距离传输,Turbo译码低复杂度算法与应用研究_摘要_2,中文,3
Turbo译码低复杂度算法与应用研究,turbo译码器,Turbo译码低复杂度算法与应用研究_摘要_3,中文,3
Turbo译码低复杂度算法与应用研究,log-map算法,Turbo译码低复杂度算法与应用研究_摘要_4,中文,2
Turbo译码低复杂度算法与应用研究,存储量,Turbo译码低复杂度算法与应用研究_摘要_5,中文,2
Turbo译码低复杂度算法与应用研究,sova算法,Turbo译码低复杂度算法与应用研究_摘要_6,中文,2
Turbo译码低复杂度算法与应用研究,turbo均衡方案,Turbo译码低复杂度算法与应用研究_摘要_7,中文,2
Turbo译码低复杂度算法与应用研究,简化算法,Turbo译码低复杂度算法与应用研究_摘要_8,中文,2
Turbo译码低复杂度算法与应用研究,复杂度,Turbo译码低复杂度算法与应用研究_摘要_9,中文,2
Turbo译码低复杂度算法与应用研究,性能,Turbo译码低复杂度算法与应用研究_摘要_10,中文,2
Turbo译码低复杂度算法与应用研究,衰落,Turbo译码低复杂度算法与应用研究_摘要_11,中文,2
Turbo译码低复杂度算法与应用研究,ccsds,Turbo译码低复杂度算法与应用研究_摘要_12,中文,2
Turbo译码低复杂度算法与应用研究,mimo-scfde通信系统,Turbo译码低复杂度算法与应用研究_摘要_13,中文,2
Turbo译码低复杂度算法与应用研究,深空通信,Turbo译码低复杂度算法与应用研究_摘要_14,中文,2
Turbo译码低复杂度算法与应用研究,信道编码,Turbo译码低复杂度算法与应用研究_摘要_15,中文,2
Turbo译码低复杂度算法与应用研究,低复杂度,Turbo译码低复杂度算法与应用研究_摘要_16,中文,1
Turbo译码低复杂度算法与应用研究,turbo译码算法,Turbo译码低复杂度算法与应用研究_摘要_17,中文,1
Turbo译码低复杂度算法与应用研究,译码性能,Turbo译码低复杂度算法与应用研究_摘要_18,中文,1
