,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
模型,0,0,10,14,23,13,0,60,11.7
视觉感知,0,0,1,0,7,4,0,12,2.783333333333333
视点,2,0,4,4,20,4,2,36,9.283333333333333
周围机制,0,0,0,0,6,0,0,6,1.45
兴趣区域,6,0,5,21,9,5,3,49,13.358333333333334
网格模型,5,0,21,28,21,10,5,90,19.825
三维场景,4,1,14,18,7,11,2,57,14.833333333333332
渐进式传输,2,1,17,15,8,12,2,57,13.316666666666666
视觉质量,2,0,2,1,9,2,3,19,5.758333333333333
屏幕分辨率,0,0,0,0,3,3,0,6,1.45
扇区,0,0,0,0,2,0,0,2,0.48333333333333334
fov,0,0,0,1,3,0,0,4,0.85
aoi,0,0,0,3,2,0,0,5,0.8583333333333334
视觉,1,0,2,1,12,8,1,25,6.45
优先级,0,0,1,2,2,1,0,6,1.1
模型传输,1,0,1,0,2,0,0,4,1.6083333333333334
场景重建,0,0,0,0,2,1,0,3,0.725
传输保护,0,0,0,0,2,1,0,3,0.725
场景,1,0,4,1,3,1,0,10,2.591666666666667
中心-,0,0,0,0,1,0,0,1,0.24166666666666667
模型多姿态,0,0,0,0,1,1,0,2,0.48333333333333334
模型内容,0,0,0,0,1,0,0,1,0.24166666666666667
渐进式传输策略,0,0,1,1,1,0,0,3,0.4916666666666667
三维,0,0,4,5,9,0,0,18,3.3
可视化增强运算符,0,0,0,0,1,0,0,1,0.24166666666666667
视觉显着性中心,0,0,0,0,1,0,0,1,0.24166666666666667
信息论分析,0,0,0,0,1,0,0,1,0.24166666666666667
显著图,0,0,0,0,1,0,0,1,0.24166666666666667
三维网格,0,0,0,0,3,0,0,3,0.725
显著图计算,0,0,0,0,1,0,0,1,0.24166666666666667
多边形互信息,0,0,0,0,1,0,0,1,0.24166666666666667
图形网格,0,0,0,0,1,0,0,1,0.24166666666666667
中心,0,0,0,0,4,0,0,4,0.9666666666666667
高斯权重,0,0,0,0,1,0,0,1,0.24166666666666667
网格分辨率,0,0,0,0,1,0,0,1,0.24166666666666667
近距离,0,0,0,0,1,0,0,1,0.24166666666666667
兴趣区,0,0,0,2,3,2,0,7,1.4583333333333333
权重,0,0,0,1,2,0,0,3,0.6083333333333334
宽度,0,0,0,0,2,0,0,2,0.48333333333333334
fov内模型,0,0,0,0,1,0,0,1,0.24166666666666667
视线中心偏转角,0,0,0,0,1,0,0,1,0.24166666666666667
距离,1,0,2,1,9,0,1,14,3.7916666666666665
aoi计算模型,0,0,0,0,1,0,0,1,0.24166666666666667
程度计算,0,0,0,0,1,1,0,2,0.48333333333333334
反比例函数,0,0,0,0,1,0,0,1,0.24166666666666667
视点距离,1,0,1,0,1,0,0,3,1.3666666666666667
模型视觉,0,0,0,0,2,3,1,6,1.45
模型传输顺序,0,0,0,0,1,0,0,1,0.24166666666666667
非对等差错保护算法,0,0,0,0,1,0,0,1,0.24166666666666667
uep-ltcode,0,0,0,0,1,0,0,1,0.24166666666666667
简化算法,0,0,0,1,1,0,0,2,0.3666666666666667
兴趣区域管理,0,0,1,1,1,3,2,8,1.7
编码,0,0,0,1,1,0,0,2,0.3666666666666667
模型简化,0,0,0,0,1,0,0,1,0.24166666666666667
网格,0,0,2,1,18,3,0,24,5.45
简化率,0,0,0,2,6,4,2,14,3.15
相机坐标系,0,0,0,0,10,0,0,10,2.4166666666666665
投影坐标系,0,0,0,0,4,0,0,4,0.9666666666666667
相机,0,0,0,0,12,3,0,15,3.625
视距,0,0,1,0,5,0,1,7,1.575
三维模型,2,1,14,18,15,1,4,55,12.833333333333332
视觉注意机制,0,0,1,0,3,1,0,5,1.0916666666666668
面积,0,0,0,2,3,0,0,5,0.975
近裁剪平面,0,0,0,0,3,0,0,3,0.725
透视投影,0,0,0,0,3,1,0,4,0.9666666666666667
lod模型,0,0,0,0,4,0,0,4,0.9666666666666667
三角面,0,0,1,6,14,0,0,21,4.258333333333333
精度,0,0,0,0,3,0,0,3,0.725
armadillo模型,0,0,0,0,3,2,0,5,1.2083333333333333
平均高斯权重,0,0,0,0,2,0,0,2,0.48333333333333334
曲率,0,0,0,0,2,0,0,2,0.48333333333333334
特征,0,0,0,0,2,0,0,2,0.48333333333333334
gl,0,0,0,0,2,0,0,2,0.48333333333333334
像素数,0,0,0,0,3,0,0,3,0.725
屏幕坐标系,0,0,0,0,3,0,0,3,0.725
宽高比,0,0,0,0,2,0,0,2,0.48333333333333334
像素,0,0,0,3,2,0,0,5,0.8583333333333334
平均面部,0,0,0,0,2,0,0,2,0.48333333333333334
模型边缘盒,0,0,0,0,2,0,0,2,0.48333333333333334
包围盒,0,0,0,0,3,0,0,3,0.725
三维网格模型,1,0,4,8,4,1,0,18,3.708333333333333
对角线长度,0,0,0,0,2,0,0,2,0.48333333333333334
顶点,0,0,2,15,5,1,0,23,3.575
视觉机制,0,0,0,0,2,0,0,2,0.48333333333333334
平滑,0,0,0,0,1,0,0,1,0.24166666666666667
著性区域,0,0,0,0,1,0,0,1,0.24166666666666667
模型网格,0,0,0,0,3,0,0,3,0.725
截止尺度,0,0,0,0,1,0,0,1,0.24166666666666667
尺度,1,0,3,1,1,2,1,9,2.466666666666667
中心-周围机制,0,0,0,0,1,0,0,1,0.24166666666666667
均值曲率,0,0,0,0,1,0,0,1,0.24166666666666667
oint,0,0,0,0,1,0,0,1,0.24166666666666667
mes,0,0,0,0,1,0,0,1,0.24166666666666667
均值,0,0,0,0,1,0,0,1,0.24166666666666667
维度,0,0,0,0,1,1,0,2,0.48333333333333334
显著性,0,0,0,0,1,0,0,1,0.24166666666666667
视觉感知特征,0,0,0,0,1,0,0,1,0.24166666666666667
视觉感知质量,0,0,0,0,1,0,0,1,0.24166666666666667
分辨率,0,0,5,3,7,2,0,17,3.175
显示设备,0,0,0,0,1,0,0,1,0.24166666666666667
相机参数,0,0,0,0,2,0,0,2,0.48333333333333334
areacamera,0,0,0,0,1,0,0,1,0.24166666666666667
边缘盒顶点坐标,0,0,0,0,1,0,0,1,0.24166666666666667
areanear,0,0,0,0,1,0,0,1,0.24166666666666667
areaobj,0,0,0,0,1,0,0,1,0.24166666666666667
显示屏幕,0,0,0,0,1,0,0,1,0.24166666666666667
pscr,0,0,0,0,1,0,0,1,0.24166666666666667
远裁剪平面,0,0,0,0,1,0,0,1,0.24166666666666667
near,0,0,0,0,1,0,0,1,0.24166666666666667
投影平面,0,0,0,0,1,0,0,1,0.24166666666666667
开角角度,0,0,0,0,1,0,0,1,0.24166666666666667
视锥体,0,0,0,0,8,0,0,8,1.9333333333333333
视场,0,0,0,0,1,0,0,1,0.24166666666666667
参数,0,0,0,0,2,1,0,3,0.725
ne,0,0,0,0,1,0,0,1,0.24166666666666667
erspective,0,0,0,0,1,0,0,1,0.24166666666666667
透视矩阵,0,0,0,0,1,0,0,1,0.24166666666666667
函数,0,0,0,0,2,0,0,2,0.48333333333333334
3dapis,0,0,0,0,1,0,0,1,0.24166666666666667
d3d,0,0,0,0,1,0,0,1,0.24166666666666667
投影后,0,0,0,0,1,0,0,1,0.24166666666666667
世界坐标系,0,0,0,0,10,0,0,10,2.4166666666666665
中心轴向偏移,0,0,0,0,1,0,0,1,0.24166666666666667
成像平面,0,0,0,0,2,0,0,2,0.48333333333333334
焦距,0,0,0,0,1,0,0,1,0.24166666666666667
内参,0,0,0,0,2,0,0,2,0.48333333333333334
3d渲染,0,0,0,0,1,0,0,1,0.24166666666666667
视觉系统,0,0,1,0,1,0,0,2,0.3666666666666667
正交投影,0,0,0,0,1,0,0,1,0.24166666666666667
投影过,0,0,0,0,1,0,0,1,0.24166666666666667
质量,0,0,0,1,1,1,0,3,0.6083333333333334
面部区域,0,0,0,0,1,0,0,1,0.24166666666666667
像素面积,0,0,0,0,1,0,0,1,0.24166666666666667
