parent_url,parent_name,this_url,name,level
下一代移动通信系统高频信道建模与仿真_1级_1,绪论1,下一代移动通信系统高频信道建模与仿真_2级_1,研究的背景和意义1,2
下一代移动通信系统高频信道建模与仿真_1级_1,绪论1,下一代移动通信系统高频信道建模与仿真_2级_2,本文主要内容2,2
下一代移动通信系统高频信道建模与仿真_1级_1,绪论1,下一代移动通信系统高频信道建模与仿真_2级_3,本文结构安排3,2
下一代移动通信系统高频信道建模与仿真_1级_1,绪论1,下一代移动通信系统高频信道建模与仿真_2级_4,m,2
下一代移动通信系统高频信道建模与仿真_1级_2,高频信道模型研究概述5,下一代移动通信系统高频信道建模与仿真_2级_5,信道建模方法概述5,2
下一代移动通信系统高频信道建模与仿真_1级_2,高频信道模型研究概述5,下一代移动通信系统高频信道建模与仿真_2级_6,常用信道模型6,2
下一代移动通信系统高频信道建模与仿真_1级_2,高频信道模型研究概述5,下一代移动通信系统高频信道建模与仿真_2级_7,高频信道模型10,2
下一代移动通信系统高频信道建模与仿真_1级_2,高频信道模型研究概述5,下一代移动通信系统高频信道建模与仿真_2级_8,本章小结13,2
下一代移动通信系统高频信道建模与仿真_1级_3,高频信道建模方法15,下一代移动通信系统高频信道建模与仿真_2级_9,高频信道的天线坐标系统15,2
下一代移动通信系统高频信道建模与仿真_1级_3,高频信道建模方法15,下一代移动通信系统高频信道建模与仿真_2级_10,高频信道的基本特性研究18,2
下一代移动通信系统高频信道建模与仿真_1级_3,高频信道建模方法15,下一代移动通信系统高频信道建模与仿真_2级_11,高频信道的新特性研究31,2
下一代移动通信系统高频信道建模与仿真_1级_3,高频信道建模方法15,下一代移动通信系统高频信道建模与仿真_2级_12,本章小结40,2
下一代移动通信系统高频信道建模与仿真_1级_4,高频信道校准41,下一代移动通信系统高频信道建模与仿真_2级_13,大尺度参数校准41,2
下一代移动通信系统高频信道建模与仿真_1级_4,高频信道校准41,下一代移动通信系统高频信道建模与仿真_2级_14,小尺度参数校准48,2
下一代移动通信系统高频信道建模与仿真_1级_4,高频信道校准41,下一代移动通信系统高频信道建模与仿真_2级_15,信道新特性校准56,2
下一代移动通信系统高频信道建模与仿真_1级_4,高频信道校准41,下一代移动通信系统高频信道建模与仿真_2级_16,本章小结60,2
下一代移动通信系统高频信道建模与仿真_1级_5,总结61,下一代移动通信系统高频信道建模与仿真_2级_17,本文主要工作总结61,2
下一代移动通信系统高频信道建模与仿真_1级_5,总结61,下一代移动通信系统高频信道建模与仿真_2级_18,未来研究方向61,2
