,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
高频信道,4,0,16,6,16,11,4,57,14.241666666666667
建模,1,0,7,6,5,1,3,23,4.8
信道模型,1,0,9,30,11,3,5,59,10.466666666666667
校准仿真结,0,0,1,0,0,0,0,1,0.125
新特性模型,0,0,1,0,0,0,0,1,0.125
小尺度参数,1,0,5,2,18,25,1,52,12.508333333333333
大尺度参数,1,0,4,7,31,23,1,67,15.666666666666666
高频信道模型,3,0,2,6,2,2,1,16,5.208333333333333
信道传输系数,0,0,1,1,0,0,0,2,0.25
参数,1,0,3,12,8,23,1,48,10.608333333333334
信道建模,3,1,3,12,9,2,2,32,10.016666666666666
高频,1,1,5,1,1,2,5,16,5.683333333333334
无线通信技术,0,0,2,2,0,0,0,4,0.5
空间,0,0,1,5,11,9,1,27,5.825
校准,0,0,0,0,2,18,2,22,5.316666666666666
信道,0,0,2,18,14,19,7,60,12.166666666666666
时延,0,0,1,3,5,8,0,17,3.6416666666666666
曲线,0,0,0,0,0,11,0,11,2.658333333333333
耦合路损,0,0,0,0,0,8,0,8,1.9333333333333333
信道响应,0,0,0,4,0,4,0,8,1.4666666666666668
时间,0,0,0,5,3,5,0,13,2.5583333333333336
drop,0,0,0,1,4,3,0,8,1.8166666666666667
校准曲线,0,0,0,0,0,2,0,2,0.48333333333333334
仿真值,0,0,0,0,0,2,0,2,0.48333333333333334
信噪比,0,0,0,0,0,2,0,2,0.48333333333333334
空间一致性,0,0,0,2,9,4,1,16,3.6333333333333333
变化率曲线,0,0,0,0,0,2,0,2,0.48333333333333334
功率,0,0,0,8,7,11,0,26,5.35
校准结,0,0,0,0,0,2,0,2,0.48333333333333334
无线通信环境,1,0,0,1,0,1,0,3,1.3666666666666667
nlos,0,0,1,2,9,2,0,14,3.033333333333333
信道测量,0,0,0,10,3,1,0,14,2.216666666666667
nlos状态,0,0,0,0,0,1,0,1,0.24166666666666667
los,0,0,0,2,6,4,0,12,2.6666666666666665
ue间距离,0,0,0,0,0,1,0,1,0.24166666666666667
相关系数曲线,0,0,0,0,0,1,0,1,0.24166666666666667
平均值,0,0,0,0,0,2,0,2,0.48333333333333334
仿真结,0,0,1,0,0,3,0,4,0.85
系数曲线,0,0,0,0,0,1,0,1,0.24166666666666667
los/nlos状态,0,0,0,0,0,1,0,1,0.24166666666666667
水平到达角,0,0,0,0,0,1,0,1,0.24166666666666667
基本性能,0,0,0,0,0,1,0,1,0.24166666666666667
路损模型,0,0,2,0,0,1,0,3,0.4916666666666667
天线,0,0,2,5,14,24,0,45,10.058333333333334
准参考曲线,0,0,0,0,0,1,0,1,0.24166666666666667
校准数据,0,0,0,0,0,3,0,3,0.725
考值,0,0,0,0,0,1,0,1,0.24166666666666667
sinr,0,0,0,0,0,2,0,2,0.48333333333333334
系数,0,0,0,0,0,2,0,2,0.48333333333333334
参量,0,0,0,0,0,6,0,6,1.45
信道特性,1,0,0,3,0,2,0,6,1.8583333333333334
频段,0,0,0,2,0,5,0,7,1.4583333333333333
参数校准,0,0,0,0,0,2,1,3,0.725
致性,0,0,0,0,1,1,0,2,0.48333333333333334
一致性功率,0,0,0,0,0,1,0,1,0.24166666666666667
avgva,0,0,0,0,0,1,0,1,0.24166666666666667
时延平均变化率曲线,0,0,0,0,0,1,0,1,0.24166666666666667
功率平均変化?率曲絞,0,0,0,0,0,1,0,1,0.24166666666666667
水平到达,0,0,0,0,1,1,0,2,0.48333333333333334
校准参量,0,0,0,0,0,22,0,22,5.316666666666666
连续性,0,0,0,2,0,1,0,3,0.4916666666666667
信道参数,0,0,0,5,0,3,0,8,1.35
角度参数,0,0,0,0,4,4,0,8,1.9333333333333333
仿真,2,1,3,6,7,7,4,30,9.475
dropbased,0,0,0,0,0,1,0,1,0.24166666666666667
快照法,0,0,0,0,0,1,0,1,0.24166666666666667
ue移动模型,0,0,0,0,0,1,0,1,0.24166666666666667
高频新特性校准仿真,0,0,0,0,0,1,0,1,0.24166666666666667
信号,0,0,2,6,3,2,0,13,2.208333333333333
散射,0,0,0,6,1,0,0,7,0.9916666666666667
空间分辨率,0,0,0,2,0,0,0,2,0.25
大规模天线,0,0,0,2,0,0,0,2,0.25
天线阵列,0,0,0,3,2,4,0,9,1.825
电磁波,0,0,0,5,3,0,0,8,1.35
阴影衰落,0,0,2,3,4,1,0,10,1.8333333333333333
3dmimo信道模型,1,0,1,3,1,0,0,6,1.7416666666666667
3gpp信道模型,0,0,0,1,0,0,0,1,0.125
低频信道,0,0,0,1,1,0,0,2,0.3666666666666667
向下兼容性,0,0,0,3,1,0,0,4,0.6166666666666667
球面波模型,0,0,0,1,0,0,0,1,0.125
极化模型,0,0,0,1,0,1,0,2,0.3666666666666667
3d模型,0,0,0,2,0,0,0,2,0.25
兆赫,0,0,0,1,0,0,0,1,0.125
带宽,0,0,2,7,0,11,0,20,3.783333333333333
测量,0,0,0,3,0,0,0,3,0.375
高频段无线传输信道,0,0,0,1,0,0,0,1,0.125
tis,0,0,0,1,0,0,0,1,0.125
无线信道模型,0,0,0,1,0,0,0,1,0.125
大带宽,0,0,0,2,0,1,0,3,0.4916666666666667
高频段,2,0,3,4,0,0,0,9,2.875
可靠传输,0,0,0,1,0,0,0,1,0.125
干扰,0,0,0,1,1,2,0,4,0.85
用户,0,0,0,2,8,0,0,10,2.1833333333333336
强度,0,0,0,1,0,0,0,1,0.125
传输信号,0,0,0,1,2,1,0,4,0.85
波束赋形技术,0,0,0,1,0,0,0,1,0.125
导频污染,0,0,0,1,0,0,0,1,0.125
大规模天线技术,0,0,0,1,0,0,0,1,0.125
mimo系统,0,0,0,2,0,0,0,2,0.25
频谱效率,1,0,0,1,0,0,0,2,1.125
频域,0,0,0,2,0,0,0,2,0.25
时域,0,0,0,2,0,0,0,2,0.25
大规模天线阵列,0,0,0,1,0,1,0,2,0.3666666666666667
天线系统,0,0,0,1,1,0,0,2,0.3666666666666667
3dmimo信道,0,0,0,6,0,0,0,6,0.75
波束赋形,0,0,0,2,0,0,0,2,0.25
毫米波段,0,0,0,1,0,0,0,1,0.125
多径,0,0,0,1,20,2,0,23,5.441666666666666
反射,0,0,0,4,0,0,0,4,0.5
电磁波传播,0,0,0,1,0,0,0,1,0.125
粒子特性,0,0,0,1,0,0,0,1,0.125
衍射特性,0,0,0,2,1,0,0,3,0.4916666666666667
粒子性,0,0,0,2,1,0,0,3,0.4916666666666667
高频信号,0,0,0,1,0,0,0,1,0.125
衍射,0,0,0,3,0,0,0,3,0.375
直射路径,0,0,0,1,0,0,0,1,0.125
低频段,0,0,2,1,1,0,0,4,0.6166666666666667
额外损耗,0,0,0,1,0,0,0,1,0.125
建筑物,0,0,0,1,0,0,0,1,0.125
损耗,0,0,4,1,0,0,0,5,0.625
穿透建筑材料,0,0,0,1,0,0,0,1,0.125
扰动,0,0,0,1,0,0,0,1,0.125
穿透损耗,0,0,7,1,0,4,0,12,1.9666666666666668
人体遮挡,0,0,0,1,0,0,0,1,0.125
支持频率,0,0,0,1,0,0,0,1,0.125
移动速度,0,0,0,4,3,0,0,7,1.225
ue端,0,0,0,1,2,2,0,5,1.0916666666666668
街道,0,0,0,1,1,0,0,2,0.3666666666666667
广场,0,0,0,1,0,0,0,1,0.125
办公室,0,0,0,2,0,0,0,2,0.25
室内,0,0,0,3,1,2,0,6,1.1
micro,0,0,0,1,0,0,0,1,0.125
都市微小区,0,0,0,3,0,0,0,3,0.375
urbanmacro,0,0,0,1,0,0,0,1,0.125
都市宏小区,0,0,0,3,0,0,0,3,0.375
3dmemo模型,0,0,0,1,0,0,0,1,0.125
场景,0,0,1,3,4,3,0,11,2.1916666666666664
无线传输环境,0,0,0,2,0,0,0,2,0.25
无线信道建模,0,0,0,1,0,0,0,1,0.125
随机变量,0,0,0,0,15,0,0,15,3.625
多径功率,0,0,0,0,16,0,0,16,3.8666666666666667
过渡区域,0,0,0,0,8,0,0,8,1.9333333333333333
距离,0,0,2,1,20,2,0,25,5.691666666666666
ue,0,0,1,4,21,12,0,38,8.6
均匀分布,0,0,0,0,12,0,0,12,2.9
离开角,0,0,0,3,7,3,0,13,2.7916666666666665
延迟,0,0,0,3,9,1,0,13,2.7916666666666665
los概率,0,0,0,0,4,0,0,4,0.9666666666666667
基站,0,0,0,3,27,7,0,37,8.591666666666667
多径时延,0,0,0,0,3,0,0,3,0.725
到达角,0,0,0,4,9,3,0,16,3.4
随机数,0,0,0,0,3,0,0,3,0.725
相关距离,0,0,0,0,4,0,0,4,0.9666666666666667
变量,0,0,0,0,4,0,0,4,0.9666666666666667
角度,0,0,0,4,12,3,0,19,4.125
信道矩阵,0,0,0,2,2,6,0,10,2.1833333333333336
状态变量,0,0,0,0,2,0,0,2,0.48333333333333334
状态,0,0,0,0,2,0,0,2,0.48333333333333334
水平面,0,0,0,1,2,0,0,3,0.6083333333333334
角度变量,0,0,0,0,2,0,0,2,0.48333333333333334
zod,0,0,0,0,5,0,0,5,1.2083333333333333
aoa,0,0,0,0,6,0,0,6,1.45
突变,0,0,0,0,2,0,0,2,0.48333333333333334
轨迹,0,0,0,0,2,0,0,2,0.48333333333333334
插值,0,0,0,0,2,0,0,2,0.48333333333333334
随机角度,0,0,0,0,6,0,0,6,1.45
多径延迟,0,0,0,0,2,1,0,3,0.725
空间一致性变量,0,0,0,0,2,0,0,2,0.48333333333333334
动态ue模型,0,0,0,0,1,0,0,1,0.24166666666666667
静态,0,0,0,0,1,0,0,1,0.24166666666666667
hnlos,0,0,0,0,1,0,0,1,0.24166666666666667
花破,0,0,0,0,1,0,0,1,0.24166666666666667
路径损耗模型,0,0,1,0,3,0,0,4,0.85
路径损耗,0,0,2,1,5,5,0,13,2.7916666666666665
los概率公式,0,0,0,0,1,0,0,1,0.24166666666666667
高斯分布,0,0,0,0,3,0,0,3,0.725
ss,0,0,0,0,1,1,0,2,0.48333333333333334
浮点数,0,0,0,0,1,0,0,1,0.24166666666666667
qs,0,0,0,0,1,0,0,1,0.24166666666666667
nlo,0,0,0,0,2,0,0,2,0.48333333333333334
景相关距离,0,0,0,0,1,0,0,1,0.24166666666666667
softlos,0,0,0,0,1,0,0,1,0.24166666666666667
室内概率,0,0,0,0,1,0,0,1,0.24166666666666667
传播场景,0,0,1,1,1,0,0,3,0.4916666666666667
概率,0,0,0,1,1,0,0,2,0.3666666666666667
失心,0,0,0,0,1,0,0,1,0.24166666666666667
傀心,0,0,0,0,1,0,0,1,0.24166666666666667
朔皿,0,0,0,0,1,0,0,1,0.24166666666666667
最大时延,0,0,0,0,1,0,0,1,0.24166666666666667
多径时延生成,0,0,0,0,1,0,0,1,0.24166666666666667
仙和心,0,0,0,0,1,0,0,1,0.24166666666666667
非直射径,0,0,0,0,2,0,0,2,0.48333333333333334
直射径,0,0,0,0,4,0,0,4,0.9666666666666667
表面反射角度,0,0,0,0,1,0,0,1,0.24166666666666667
垂直高度,0,0,0,0,1,0,0,1,0.24166666666666667
水平距离,0,0,0,0,1,0,0,1,0.24166666666666667
偽血,0,0,0,0,1,0,0,1,0.24166666666666667
t时刻,0,0,0,0,1,0,0,1,0.24166666666666667
水平,0,0,0,0,8,3,0,11,2.658333333333333
qtzoa,0,0,0,0,1,0,0,1,0.24166666666666667
速率,0,0,0,0,1,0,0,1,0.24166666666666667
速度矢量,0,0,0,0,2,0,0,2,0.48333333333333334
真空中光速,0,0,0,0,1,0,0,1,0.24166666666666667
速度,0,0,0,0,4,2,0,6,1.45
刻信道,0,0,0,0,1,0,0,1,0.24166666666666667
to+t时刻,0,0,0,0,1,0,0,1,0.24166666666666667
ue移动特性,0,0,0,0,1,0,0,1,0.24166666666666667
空间一致性仿真假设,0,0,0,0,1,0,0,1,0.24166666666666667
移动,0,0,0,1,1,0,0,2,0.3666666666666667
3gpp,0,0,1,3,1,4,1,10,1.95
静止状态,0,0,0,0,1,1,0,2,0.48333333333333334
多径功率月,0,0,0,0,1,0,0,1,0.24166666666666667
zoa,0,0,0,0,6,0,0,6,1.45
aod,0,0,0,0,4,0,0,4,0.9666666666666667
欢血,0,0,0,0,1,0,0,1,0.24166666666666667
中簇,0,0,0,0,1,0,0,1,0.24166666666666667
绝对值符号,0,0,0,0,1,0,0,1,0.24166666666666667
相位,0,0,0,1,2,0,0,3,0.6083333333333334
复正态随机数,0,0,0,0,1,0,0,1,0.24166666666666667
孩叶,0,0,0,0,1,0,0,1,0.24166666666666667
正态随机变量,0,0,0,0,1,0,0,1,0.24166666666666667
网格,0,0,0,0,3,0,0,3,0.725
复杂度,0,0,1,3,2,1,0,7,1.225
独立随机变量,0,0,0,0,2,0,0,2,0.48333333333333334
复正态分布,0,0,0,0,1,0,0,1,0.24166666666666667
长宽,0,0,0,0,1,0,0,1,0.24166666666666667
室外,0,0,0,1,2,1,0,4,0.85
多径系数,0,0,0,0,1,0,0,1,0.24166666666666667
or,0,0,0,1,1,2,0,4,0.85
umiuma,0,0,0,0,1,0,0,1,0.24166666666666667
随机相位,0,0,0,0,1,0,0,1,0.24166666666666667
交叉极化功率比,0,0,0,0,5,1,0,6,1.45
随机耦合,0,0,0,0,1,1,0,2,0.48333333333333334
子径,0,0,0,9,15,10,0,34,7.166666666666667
子径特性,0,0,0,0,1,0,0,1,0.24166666666666667
空间一致性随机变量,0,0,0,0,1,0,0,1,0.24166666666666667
随机正负角,0,0,0,0,2,0,0,2,0.48333333333333334
角度偏移,0,0,0,0,3,0,0,3,0.725
阴影参数,0,0,0,0,2,0,0,2,0.48333333333333334
子径模型,0,0,0,0,1,0,0,1,0.24166666666666667
延退,0,0,0,0,1,0,0,1,0.24166666666666667
自相关,0,0,0,0,4,0,0,4,0.9666666666666667
cdf曲线,0,0,0,0,0,12,0,12,2.9
平均变化率,0,0,0,0,0,4,0,4,0.9666666666666667
服务小区,0,0,0,0,0,7,0,7,1.6916666666666667
rsrp,0,0,0,0,0,7,0,7,1.6916666666666667
crs0端口,0,0,0,0,0,4,0,4,0.9666666666666667
天线元素,0,0,0,0,0,2,0,2,0.48333333333333334
3d空间,0,0,0,0,0,3,0,3,0.725
校准参数,0,0,0,0,0,3,0,3,0.725
关系数,0,0,0,0,0,2,0,2,0.48333333333333334
耦合损耗,0,0,0,0,0,10,0,10,2.4166666666666665
中心频率,0,0,2,2,0,15,0,19,4.125
高频新特性,0,0,1,0,0,2,0,3,0.6083333333333334
变化率,0,0,0,0,0,1,0,1,0.24166666666666667
