,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
语音合成,0,1,0,3,1,3,7,0,15,4.36875
声码器模型,3,0,0,3,7,4,5,1,23,6.45625
音频质量,0,0,0,0,0,0,2,0,2,0.3625
语速,0,0,0,0,0,0,2,0,2,0.3625
耗时,0,0,0,1,0,0,3,0,4,0.66875
性能,0,0,0,2,0,1,6,0,9,1.51875
吐字,0,0,0,0,1,0,1,0,2,0.3625
语音,1,0,9,2,18,7,2,1,40,7.45
断句,0,0,0,0,0,0,1,0,1,0.18125
音调发音,0,0,0,0,0,0,1,0,1,0.18125
训练文本,0,0,0,0,0,0,1,0,1,0.18125
语音模型,2,0,0,3,1,2,1,0,9,3.1
语音质量,1,0,0,2,1,1,1,0,6,1.79375
切换,0,0,0,0,1,0,1,0,2,0.3625
后端请求服务,0,0,0,0,0,0,1,0,1,0.18125
训练损失值,0,0,0,0,0,0,1,0,1,0.18125
训练参数,0,0,1,0,0,0,1,0,2,0.30625
声码器,0,1,2,1,6,7,2,0,19,5.09375
语音合成功能,0,0,0,0,0,0,1,0,1,0.18125
服务器,0,0,0,3,9,8,0,0,20,3.45625
语音生成模块,0,0,3,1,6,1,0,0,11,1.76875
rasa服务器,0,0,0,1,0,0,0,0,1,0.125
前端,0,0,0,2,1,7,0,0,10,1.7
服务端程序,0,0,0,1,0,0,0,0,1,0.125
跳转访问,0,0,0,1,0,0,0,0,1,0.125
静态资源,0,0,0,1,1,0,0,0,2,0.30625
高并发,0,0,0,1,0,1,0,0,2,0.30625
路由分发,0,0,0,1,0,0,0,0,1,0.125
框架,0,0,0,1,0,0,0,0,1,0.125
客户端,0,0,0,1,0,2,0,0,3,0.4875
异步特性,0,0,0,1,0,0,0,0,1,0.125
python网络请求库,0,0,0,1,0,0,0,0,1,0.125
异步,0,0,0,1,0,0,0,0,1,0.125
aiohttp,1,0,0,1,0,2,0,1,5,1.66875
iohttp后端库,0,0,0,1,0,0,0,0,1,0.125
rasa,0,0,1,4,5,5,1,2,18,2.9812499999999997
结构,0,0,0,0,0,1,0,1,2,0.3625
语音框架,0,0,0,0,0,0,0,1,1,0.18125
waveflow,1,0,0,0,1,2,0,1,5,1.725
mekjan,0,0,0,0,0,0,0,1,1,0.18125
lheotron,0,0,0,0,0,0,0,1,1,0.18125
lensorflow,0,0,0,0,0,0,0,1,1,0.18125
pytorch,0,0,0,0,0,0,0,1,1,0.18125
react,0,0,0,5,1,0,0,1,7,0.9875
智能客服机器人,1,0,6,1,3,1,0,1,13,2.78125
实时,0,0,0,0,1,1,0,1,3,0.54375
语音生成,0,0,0,0,1,0,0,1,2,0.3625
回复,1,0,1,1,6,2,4,1,16,3.6062499999999997
智能点餐机器人,0,0,0,0,0,2,0,1,3,0.54375
上下文对话信息存储,0,0,0,0,0,0,0,1,1,0.18125
语音客服系统,0,0,0,0,0,0,0,1,1,0.18125
多轮对话,2,1,3,1,1,0,2,1,11,5.225
任务型对话,0,0,1,1,1,0,0,1,4,0.6125
深度学习,0,1,2,1,0,0,0,1,5,2.55625
语音数据,3,0,0,1,5,6,0,0,15,5.11875
数据集,1,0,0,0,6,1,0,0,8,2.26875
迁移,1,0,0,0,2,3,0,0,6,1.90625
周星驰,1,0,0,0,2,1,0,0,4,1.54375
声音,0,0,1,3,2,0,0,0,6,0.8625
语音合成模块,3,0,0,0,5,3,1,0,12,4.63125
特色语音,0,0,0,0,6,1,0,0,7,1.26875
高保真数据集,0,0,0,0,1,0,0,0,1,0.18125
语音识别,0,0,0,0,3,0,0,0,3,0.54375
音频清晰度,0,0,0,0,1,0,0,0,1,0.18125
wavefbw声码器,0,0,0,0,1,0,0,0,1,0.18125
melgan声码器,0,0,0,0,2,0,0,0,2,0.3625
开源数据集,1,0,0,0,1,1,0,0,3,1.3625
高保真,0,0,0,0,1,0,0,0,1,0.18125
aishell-3,0,0,0,0,2,0,0,0,2,0.3625
thchs30,0,0,0,0,1,0,0,0,1,0.18125
普通话语音数据集,0,0,0,0,1,0,0,0,1,0.18125
30小时,0,0,0,0,1,0,0,0,1,0.18125
自录音,0,0,0,0,2,0,0,0,2,0.3625
训练数据集,0,0,0,0,1,0,0,0,1,0.18125
录音,0,0,0,0,2,1,0,0,3,0.54375
语音信息,0,0,0,0,6,1,0,0,7,1.26875
模拟数据,0,0,0,0,1,0,0,0,1,0.18125
点餐机器人,0,0,0,1,5,1,0,0,7,1.2125
词向量模型结构,0,0,0,0,1,0,0,0,1,0.18125
词向量模型,0,0,1,1,8,1,0,0,11,1.8812499999999999
nlu模块数据集,0,0,0,0,1,0,0,0,1,0.18125
声码器模块,0,0,0,0,1,1,0,0,2,0.3625
对话语料数据,0,0,0,0,1,0,0,0,1,0.18125
nlu模块,0,0,2,2,2,2,0,0,8,1.225
数据采集,0,0,0,0,2,0,0,0,2,0.3625
高维特征,0,0,0,0,1,0,0,0,1,0.18125
数据标准化,0,0,0,0,1,0,0,0,1,0.18125
特征编码,0,0,0,0,1,0,0,0,1,0.18125
缺失值,0,0,0,0,1,0,0,0,1,0.18125
重复值,0,0,0,0,1,0,0,0,1,0.18125
数据预处理,0,0,0,0,2,0,0,0,2,0.3625
中转服务器,0,0,0,0,1,5,0,0,6,1.0875
rasanlu,1,0,0,1,4,3,0,0,9,2.39375
信息,1,0,1,8,11,8,2,0,31,5.93125
后端服务,0,0,0,0,0,3,7,0,10,1.8125
action动作服务器,0,0,0,0,0,5,1,0,6,1.0875
rasanlu模块,2,0,0,0,5,9,5,0,21,5.44375
服务,0,0,0,0,0,7,0,0,7,1.26875
对话管理模块,2,0,4,4,12,4,0,0,26,5.9
实体,0,0,1,2,13,8,5,0,29,5.0874999999999995
nlu模型,0,0,0,0,1,2,0,0,3,0.54375
后端,2,0,0,1,3,5,1,0,12,3.7562499999999996
action服务器,1,0,0,0,13,18,2,0,34,6.98125
调用,0,0,0,0,0,1,0,0,1,0.18125
文本信息,0,0,0,1,7,8,9,0,25,4.475
webhook,0,0,0,0,0,2,0,0,2,0.3625
webhooks,0,0,0,0,0,2,0,0,2,0.3625
alhost,0,0,0,0,0,1,0,0,1,0.18125
业务接口,0,0,0,0,0,1,0,0,1,0.18125
5005端口,0,0,0,0,0,1,0,0,1,0.18125
对话管理,1,0,0,1,2,3,0,0,7,2.03125
后端端口,0,0,0,0,0,1,0,0,1,0.18125
服务启动函数,0,0,0,0,0,1,0,0,1,0.18125
后端业务服务,0,0,0,0,0,2,0,0,2,0.3625
用户社区,0,0,0,1,0,0,0,0,1,0.125
antd组件库,0,0,0,2,0,0,0,0,2,0.25
设计元素,0,0,0,1,0,0,0,0,1,0.125
图标,0,0,0,1,0,0,0,0,1,0.125
头像,0,0,0,1,1,1,0,0,3,0.4875
页面应用,0,0,0,1,0,0,0,0,1,0.125
组件资源,0,0,0,1,0,0,0,0,1,0.125
react框架,1,0,0,2,0,0,0,0,3,1.25
react前端框架,0,0,0,2,0,1,0,0,3,0.43125
中后台产品,0,0,0,1,0,0,0,0,1,0.125
企业级,0,0,0,1,0,0,0,0,1,0.125
reactui组件,0,0,0,1,0,0,0,0,1,0.125
antdesign,0,0,0,1,0,0,0,0,1,0.125
antd,0,0,0,1,0,0,0,0,1,0.125
ntdesign组件库,0,0,0,1,0,0,0,0,1,0.125
界面,0,0,0,0,4,0,2,0,6,1.0875
对话显示框,0,0,0,0,0,3,1,0,4,0.725
工具栏,0,0,0,0,3,4,1,0,8,1.45
文本输入栏,0,0,0,0,0,0,1,0,1,0.18125
乱码,0,0,0,0,0,0,1,0,1,0.18125
界面字体,0,0,0,0,0,0,1,0,1,0.18125
操作系统,0,0,0,0,0,0,2,0,2,0.3625
窗口,0,0,0,0,0,0,1,0,1,0.18125
错位,0,0,0,0,0,0,1,0,1,0.18125
分辨率屏幕,0,0,0,0,0,0,1,0,1,0.18125
数据侧边栏,0,0,0,0,0,0,1,0,1,0.18125
图片区域,0,0,0,0,0,0,1,0,1,0.18125
导航栏,0,0,0,0,0,0,1,0,1,0.18125
界面呈现,0,0,0,0,0,0,1,0,1,0.18125
交互界面,1,0,0,0,3,0,1,0,5,1.725
对话回复策略,0,0,0,0,3,0,0,0,3,0.54375
语音回复生成模块,0,0,0,0,3,0,0,0,3,0.54375
模型,0,0,1,4,8,9,1,0,23,3.8874999999999997
插槽信息,0,0,0,3,5,0,4,0,12,2.0062499999999996
对话,2,0,6,4,4,13,5,0,34,7.2375
模块,1,0,0,3,8,3,0,0,15,3.36875
对话数据,1,0,0,0,2,0,0,0,3,1.3625
rasax,0,0,0,2,3,0,4,0,9,1.51875
action对话处理服务器,0,0,0,0,2,0,0,0,2,0.3625
nlu对话理解模块,0,0,0,0,2,0,0,0,2,0.3625
前端交互界面,0,0,1,0,6,0,0,0,7,1.2125
文本,1,0,0,0,6,1,1,0,9,2.45
回复信息,0,0,0,0,2,1,0,0,3,0.54375
数据,0,0,1,3,6,6,0,0,16,2.675
语音音色,0,0,0,0,4,0,0,0,4,0.725
智能客服机器人系统,0,0,0,0,3,0,0,0,3,0.54375
语音合成模型,1,0,0,0,4,2,4,0,11,2.8125
模型持久层,0,0,0,0,2,0,0,0,2,0.3625
数据处理,0,0,0,2,2,0,0,0,4,0.6125
前端请求,0,0,0,0,2,1,0,0,3,0.54375
波形,0,0,0,2,3,0,0,0,5,0.79375
声码器算法,0,0,0,1,3,0,0,0,4,0.66875
语音克隆,0,0,1,3,3,1,0,0,8,1.225
小样本,0,0,0,0,1,0,0,0,1,0.18125
用户语音编码器,0,0,0,0,1,0,0,0,1,0.18125
iacotron2模型,0,0,0,0,1,0,0,0,1,0.18125
语音波形,1,0,0,1,4,0,0,0,6,1.85
nlu训练,0,0,0,0,1,0,0,0,1,0.18125
训练,0,0,0,1,2,1,0,0,4,0.66875
逻辑,0,0,0,1,2,3,0,0,6,1.03125
好界面,0,0,0,0,1,0,0,0,1,0.18125
训练集,0,0,0,0,1,6,0,0,7,1.26875
对话驱动,0,0,0,1,1,0,0,0,2,0.30625
rasa框架,0,0,0,2,5,2,0,0,9,1.51875
可视化对话驱动,0,0,0,1,1,0,0,0,2,0.30625
可视化对话,0,0,0,0,1,0,0,0,1,0.18125
答策,0,0,0,0,1,0,0,0,1,0.18125
置信度,0,0,0,2,1,5,3,0,11,1.8812499999999999
action对话,0,0,0,0,1,0,0,0,1,0.18125
传递回对话管理模块,0,0,0,0,1,0,0,0,1,0.18125
底层知识图谱信息,0,0,0,0,1,0,0,0,1,0.18125
逻辑判断,0,0,0,0,1,0,0,0,1,0.18125
对话处理服务器,0,0,0,0,1,0,0,0,1,0.18125
后端服务器,0,0,0,0,4,0,0,0,4,0.725
意图信息,0,0,0,2,7,0,1,0,10,1.7
实体信息,1,0,0,8,5,0,1,0,15,3.0875
nlu对话,0,0,0,0,1,0,0,0,1,0.18125
结果信息,0,0,0,0,1,0,0,0,1,0.18125
意图分类器,0,0,0,1,1,1,0,0,3,0.4875
实体提取器,1,0,0,6,9,10,0,0,26,5.19375
语义解构,0,0,0,0,1,0,0,0,1,0.18125
向量模型,0,0,0,0,2,0,0,0,2,0.3625
语义表达解析,0,0,0,0,1,0,0,0,1,0.18125
单句对话,0,0,0,0,1,0,0,0,1,0.18125
前端界面,0,0,0,1,2,1,1,0,5,0.85
连接算法模型,0,0,0,0,1,0,0,0,1,0.18125
后端逻辑业务,0,0,0,0,1,0,0,0,1,0.18125
对话处理模块,0,0,0,0,1,0,0,0,1,0.18125
连接,0,0,0,0,2,0,0,0,2,0.3625
后端请求处理,0,0,0,0,1,0,0,0,1,0.18125
中转请求,0,0,0,0,1,0,0,0,1,0.18125
后台,0,0,1,0,5,0,0,0,6,1.03125
语音选择,0,0,0,0,1,0,0,0,1,0.18125
语音消息,0,0,0,0,7,2,0,0,9,1.6312499999999999
文字消息,0,0,0,0,3,0,0,0,3,0.54375
前端页面,0,0,0,0,1,0,0,0,1,0.18125
可视化,0,0,0,0,1,0,0,0,1,0.18125
交互,0,0,0,0,1,0,0,0,1,0.18125
交互流程,0,0,0,2,1,0,0,0,3,0.43125
协同工作模式,0,0,0,0,1,0,0,0,1,0.18125
功能模块,0,0,0,0,1,0,2,0,3,0.54375
迁移训练,0,0,0,0,2,3,0,0,5,0.90625
监督训练,0,0,0,0,2,0,0,0,2,0.3625
高保真开源数据集,0,0,0,0,1,0,0,0,1,0.18125
thchs3o数据集,0,0,0,0,1,0,0,0,1,0.18125
rasax对话驱动,0,0,0,0,1,0,0,0,1,0.18125
智能点餐对话数据,0,0,0,0,1,0,0,0,1,0.18125
ihcotron2模型,0,0,0,0,1,0,0,0,1,0.18125
分词器,1,0,0,3,3,0,0,0,7,1.91875
中文,0,0,0,1,2,1,0,0,4,0.66875
中文音调,0,0,0,0,1,0,0,0,1,0.18125
上下文,0,0,0,0,1,2,0,0,3,0.54375
知识图谱数据信息,0,0,0,0,1,0,0,0,1,0.18125
实时性生成,0,0,0,0,1,0,0,0,1,0.18125
中文语音,0,0,0,0,1,0,0,0,1,0.18125
音色模型,0,0,0,1,1,0,0,0,2,0.30625
上下文信息,0,0,1,5,5,1,3,0,15,2.3812499999999996
插槽,1,0,2,7,5,12,18,0,45,8.46875
关键信息,1,0,1,0,3,0,0,0,5,1.66875
对话策略,0,0,0,0,1,1,0,0,2,0.3625
rasa策略执行器模块,0,0,0,0,1,0,0,0,1,0.18125
应对逻辑,0,0,0,0,1,0,0,0,1,0.18125
rasaaction,0,0,0,2,1,0,0,0,3,0.43125
轮对话,0,0,0,0,1,0,0,0,1,0.18125
rasanlu对话,0,0,0,0,1,0,0,0,1,0.18125
用户请求,0,0,0,0,1,0,0,0,1,0.18125
后端业务,0,0,0,0,1,0,0,0,1,0.18125
前端模块,1,0,0,0,1,0,0,0,2,1.18125
rasa模块,0,0,0,0,1,1,0,0,2,0.3625
文字处理,0,0,0,0,1,0,0,0,1,0.18125
路由,0,0,0,0,1,0,0,0,1,0.18125
信息请求,0,0,0,0,1,0,0,0,1,0.18125
后端中转层,0,0,0,0,1,0,0,0,1,0.18125
本库,0,0,0,0,1,0,0,0,1,0.18125
异步请求库,0,0,0,0,1,0,0,0,1,0.18125
axios,0,0,0,0,1,0,0,0,1,0.18125
播放,0,0,0,0,2,0,0,0,2,0.3625
语音回复消息,0,0,0,0,1,0,0,0,1,0.18125
文字信息,0,0,0,0,2,0,0,0,2,0.3625
在线录音,0,0,0,0,1,0,0,0,1,0.18125
气泡信息,0,0,0,0,1,0,0,0,1,0.18125
文本输入,1,0,0,0,1,1,0,0,3,1.3625
聊天框,0,0,0,0,1,0,0,0,1,0.18125
业务功能,0,0,0,0,1,0,0,0,1,0.18125
前端业务,0,0,0,0,1,0,0,0,1,0.18125
基本页面样式,0,0,0,0,1,0,0,0,1,0.18125
antidesign,0,0,0,0,1,0,0,0,1,0.18125
前端样式库,0,0,0,0,1,0,0,0,1,0.18125
ts语言,0,0,0,2,1,1,0,0,4,0.6125
前端技术,0,0,0,1,1,0,0,0,2,0.30625
视图显示,0,0,0,0,1,0,0,0,1,0.18125
前端视图层,0,0,0,0,1,0,0,0,1,0.18125
tacotron2,2,0,0,1,4,0,0,0,7,2.85
后端业务层,0,0,0,0,1,0,0,0,1,0.18125
语音生成服务器,0,0,0,0,1,0,0,0,1,0.18125
接收路由,0,0,0,0,1,0,0,0,1,0.18125
对话服务器,0,0,0,0,1,0,0,0,1,0.18125
中转层,0,0,0,0,3,0,0,0,3,0.54375
语音消息播,0,0,0,0,1,0,0,0,1,0.18125
语音转换文字,0,0,0,0,1,0,0,0,1,0.18125
音色,1,0,3,1,6,12,0,0,23,4.762499999999999
丈子,0,0,0,0,1,0,0,0,1,0.18125
前端业务层,0,0,0,0,1,0,0,0,1,0.18125
前端视图,0,0,0,0,1,0,0,0,1,0.18125
层级,0,0,0,0,1,0,0,0,1,0.18125
调用关系,0,0,0,0,1,0,0,0,1,0.18125
解耦,0,0,0,0,2,0,0,0,2,0.3625
高度解耦系统,0,0,0,0,1,0,0,0,1,0.18125
信息跟踪器,0,0,0,5,0,0,0,0,5,0.625
意图,0,0,1,3,2,4,0,0,10,1.5875
slot,0,0,0,2,0,0,0,0,2,0.25
entities,0,0,0,2,0,0,0,0,2,0.25
