,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
测度函数,0,0,4,0,0,25,8,0,37,6.48125
除法器,0,0,0,0,0,0,7,0,7,1.26875
延迟,0,0,0,6,0,0,13,0,19,3.1062499999999997
数据块,2,0,0,0,2,3,22,0,29,6.89375
模块,0,0,3,0,0,0,22,0,25,4.3625
移位寄存器,0,0,0,0,0,0,3,0,3,0.54375
吞吐率,0,0,0,0,0,0,5,0,5,0.90625
时钟周期,0,0,0,0,0,0,5,0,5,0.90625
除法,0,0,0,0,0,0,3,0,3,0.54375
同步,2,0,6,0,1,17,11,1,38,8.1875
流程,0,0,0,0,0,0,2,0,2,0.3625
噪声能量,0,0,0,0,0,0,5,0,5,0.90625
能量,0,0,0,0,0,0,10,0,10,1.8125
信号,1,0,8,6,13,5,9,0,42,7.64375
clk,0,0,0,0,0,0,4,0,4,0.725
32级流水,0,0,0,0,0,0,1,0,1,0.18125
采样延迟,0,0,0,0,0,0,1,0,1,0.18125
sop,0,0,0,0,0,0,5,0,5,0.90625
32位无符号,0,0,0,0,0,0,1,0,1,0.18125
流水线,0,0,0,0,0,0,1,0,1,0.18125
时序,0,0,0,0,0,0,1,0,1,0.18125
模块计算,0,0,0,0,0,0,1,0,1,0.18125
同步位置,0,0,1,0,0,2,1,0,4,0.66875
同步标志位,0,0,0,0,0,0,3,0,3,0.54375
判定模块,0,0,0,0,0,0,1,0,1,0.18125
滑动窗,0,0,2,0,0,44,13,2,61,10.94375
同步头,1,0,0,0,0,5,6,0,12,2.99375
仿真,0,0,1,2,1,12,6,1,23,4.0
signal,0,0,0,0,0,0,1,0,1,0.18125
除法运算,0,0,0,0,1,0,1,0,2,0.3625
总能量,0,0,0,0,0,0,3,0,3,0.54375
能量计算,0,0,0,0,0,0,1,0,1,0.18125
同步判断模块,0,0,0,0,0,0,2,0,2,0.3625
功率,0,0,0,0,0,0,3,0,3,0.54375
模块延迟,0,0,0,0,0,0,4,0,4,0.725
模块吞吐率,0,0,0,0,0,0,2,0,2,0.3625
系数,1,0,1,1,1,0,1,0,5,1.6125
加法器,0,0,0,1,0,0,5,0,6,1.03125
乘法器,0,0,1,0,1,0,3,0,5,0.85
模块资源,0,0,0,0,0,0,1,0,1,0.18125
握手信号,0,0,0,0,0,0,12,0,12,2.175
功率计算模块,0,0,0,0,0,0,2,0,2,0.3625
fpga,0,0,0,0,0,1,9,0,10,1.8125
数字通信系统,0,0,0,0,1,4,2,0,7,1.26875
sc-fde,1,0,7,0,1,0,8,2,19,3.86875
算法性能,0,0,0,0,0,1,1,0,2,0.3625
fpga系统,0,0,0,0,0,0,3,0,3,0.54375
复杂算法,0,0,0,0,0,0,1,0,1,0.18125
电路特性,0,0,0,0,0,0,1,0,1,0.18125
fpga器件,0,0,0,0,0,0,1,0,1,0.18125
数据,0,0,3,0,7,10,36,0,56,9.98125
时延,0,0,1,1,1,0,4,0,7,1.15625
传输信号,1,0,1,1,0,0,1,0,4,1.43125
数据吞吐率,0,0,0,0,0,0,2,0,2,0.3625
处理速度,0,0,0,0,0,0,1,0,1,0.18125
sc.fde,0,0,0,0,0,0,1,0,1,0.18125
信道,1,0,4,19,21,1,12,1,59,10.21875
uw,0,0,0,0,2,0,2,0,4,0.725
数据分支模块,0,0,0,0,0,0,1,0,1,0.18125
幅值,0,0,0,0,0,1,4,0,5,0.90625
amplitu,0,0,0,0,0,0,2,0,2,0.3625
频率泄露,0,0,0,0,0,0,2,0,2,0.3625
有效信号,0,0,0,0,0,0,2,0,2,0.3625
能量统计模块,0,0,0,0,0,0,1,0,1,0.18125
amplitude,0,0,0,0,0,0,1,0,1,0.18125
模块处理,0,0,0,0,0,0,1,0,1,0.18125
峰值,0,0,4,0,0,31,3,0,38,6.6625
signalsum,0,0,0,0,0,0,1,0,1,0.18125
fft,0,0,2,0,8,3,22,1,36,6.4125
能量计算模块,0,0,0,0,0,0,2,0,2,0.3625
同步码字,1,0,9,0,1,21,5,0,37,7.01875
数据流,0,0,0,0,1,4,2,0,7,1.26875
位同步,0,0,0,0,0,18,1,4,23,4.16875
帧同步,0,0,1,0,0,12,2,1,16,2.84375
同步算法,1,0,7,0,0,9,2,2,21,4.231249999999999
突发传输,0,0,0,0,0,3,0,0,3,0.54375
比特,0,0,0,0,0,2,0,0,2,0.3625
帧结构,0,0,0,0,1,3,3,0,7,1.26875
定时同步算法,0,0,1,0,0,1,0,0,2,0.30625
采样法,0,0,0,0,0,1,0,0,1,0.18125
数据帧,0,0,0,0,0,4,0,0,4,0.725
长度,0,0,0,1,3,19,5,0,28,5.01875
复杂度,0,0,2,0,9,6,0,2,19,3.33125
处理能,0,0,0,0,0,1,0,0,1,0.18125
二进制,0,0,0,0,0,1,0,0,1,0.18125
处理能力,0,0,0,0,0,2,0,0,2,0.3625
传统系统,0,0,0,0,0,1,0,0,1,0.18125
旁瓣,0,0,0,0,0,1,0,0,1,0.18125
相关器,0,0,0,0,0,1,0,0,1,0.18125
接收端,0,0,4,1,7,13,0,0,25,4.25
无线信道环境,0,0,0,1,0,1,0,0,2,0.30625
sc-fde系统,6,0,13,1,19,3,10,3,55,14.09375
帧标记法,0,0,0,0,0,1,0,0,1,0.18125
帧同步系统,0,0,0,0,0,1,0,0,1,0.18125
通信系统,1,0,3,3,1,4,2,0,14,3.01875
接收机,0,0,2,0,0,2,0,0,4,0.6125
帧同步算法,0,0,0,0,0,1,0,0,1,0.18125
性能,1,0,2,1,14,4,3,1,26,5.3625
有效数据,0,0,0,0,0,2,6,0,8,1.45
同步模块,0,0,0,0,0,0,2,0,2,0.3625
同步系统,0,0,0,0,0,2,4,1,7,1.26875
信号处理模块,0,0,0,0,0,0,1,0,1,0.18125
采样判决,0,0,0,0,0,0,1,0,1,0.18125
频带处理,0,0,0,0,0,0,1,0,1,0.18125
同步系统模块,0,0,0,0,0,0,1,0,1,0.18125
信噪比,0,0,0,2,1,1,9,0,13,2.24375
标志位,0,0,0,0,0,0,1,0,1,0.18125
同步子系统,1,0,2,0,0,0,27,0,30,6.14375
a序列,0,0,0,0,0,9,0,0,9,1.6312499999999999
峰值点,0,0,0,0,0,2,1,0,3,0.54375
峰值平台,0,0,2,0,0,10,0,0,12,2.0625
峰值位置函数,0,0,0,0,0,2,0,0,2,0.3625
偏移,0,0,0,0,1,2,0,0,3,0.54375
峰值位置,0,0,0,0,0,3,0,0,3,0.54375
相位,0,0,0,0,0,3,0,0,3,0.54375
chu序列,0,0,0,0,0,3,2,0,5,0.90625
滑动长度,0,0,0,0,0,2,0,0,2,0.3625
信息,0,0,0,0,0,3,0,0,3,0.54375
门限,0,0,0,0,0,4,0,0,4,0.725
距离,0,0,0,0,0,2,0,0,2,0.3625
频域同步,4,0,0,0,0,6,1,1,12,5.45
定位准,0,0,0,0,0,1,0,0,1,0.18125
同步位置搜索,0,0,0,0,0,1,0,0,1,0.18125
同步判决准则,0,0,1,0,0,1,0,0,2,0.30625
序列信息,0,0,0,0,0,1,0,0,1,0.18125
递增关系,0,0,0,0,0,1,0,0,1,0.18125
递增,0,0,1,0,0,1,0,0,2,0.30625
工学,0,0,0,0,0,1,0,0,1,0.18125
邮电大,0,0,0,0,0,1,0,0,1,0.18125
误判峰值,0,0,0,0,0,1,0,0,1,0.18125
波形变化,0,0,0,0,0,1,0,0,1,0.18125
仿真时,0,0,0,0,0,1,0,0,1,0.18125
门限规则,0,0,0,0,0,1,0,0,1,0.18125
干扰,0,0,1,2,7,2,0,1,13,2.1875
噪声,0,0,0,3,11,1,4,0,19,3.275
同步判定,0,0,0,0,0,1,0,0,1,0.18125
数据位,0,0,0,0,0,1,0,0,1,0.18125
时刻,0,0,0,1,0,1,0,0,2,0.30625
cp点数,0,0,0,0,0,1,0,0,1,0.18125
滑动窗偏移,0,0,0,0,0,1,1,0,2,0.3625
cp长度,0,0,0,0,0,3,1,0,4,0.725
ft,0,0,0,0,0,1,0,0,1,0.18125
cp长,0,0,0,0,0,1,1,0,2,0.3625
自然数,0,0,0,0,0,1,0,0,1,0.18125
共轴序列,0,0,0,0,0,1,0,0,1,0.18125
本地序列,0,0,0,0,0,2,0,0,2,0.3625
序列,0,0,0,2,4,8,0,0,14,2.425
互相关函数,0,0,0,0,0,1,0,0,1,0.18125
共辗傅里叶变换,0,0,0,0,0,1,0,0,1,0.18125
