parent_url,parent_name,this_url,name,level
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_2,国内外研究现状2,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_1,国外研究2,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_2,国内外研究现状2,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_2,国内研究8,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_3,论文研究内容9,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_3,NGSO系统对GSO系统的同频干扰分析9,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_3,论文研究内容9,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_4,NGSO系统对GSO系统的下行干扰减缓9,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_3,论文研究内容9,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_5,NGSO系统对GSO系统的上行干扰减缓9,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_8,同频干扰的关键点研究16,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_6,同频干扰的引发因素16,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_8,同频干扰的关键点研究16,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_7,干扰场景建模的关键因素19,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_8,同频干扰的关键点研究16,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_8,干扰评价指标与计算24,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_8,同频干扰的关键点研究16,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_9,干扰统计与分析27,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_10,禁区32,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_10,禁区定义32,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_10,禁区32,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_11,禁区数学建模34,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_12,仿真设置41,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_12,GSO卫星仿真参数41,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_12,仿真设置41,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_13,GSO地球站仿真参数42,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_12,仿真设置41,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_14,NGSO卫星仿真参数43,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_12,仿真设置41,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_15,天线方向图实现44,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_13,仿真结果与讨论47,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_16,干扰减缓前47,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_13,仿真结果与讨论47,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_17,干扰减缓后51,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_16,仿真设置59,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_18,GSO地球站仿真参数59,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_16,仿真设置59,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_19,GSO卫星仿真参数59,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_16,仿真设置59,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_20,NGSO卫星仿真参数59,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_16,仿真设置59,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_21,NGSO地球站仿真参数60,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_17,仿真结果与讨论61,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_22,干扰减缓前61,3
低轨卫星互联网星座与对地系统之间的频率兼容共存研究_2级_17,仿真结果与讨论61,低轨卫星互联网星座与对地系统之间的频率兼容共存研究_3级_23,干扰减缓后65,3
