parent_url,parent_name,this_url,name,level
分布式移动性管理切换机制的优化与实现_1级_1,绪论1,分布式移动性管理切换机制的优化与实现_2级_1,移动性管理的产生和发展1,2
分布式移动性管理切换机制的优化与实现_1级_1,绪论1,分布式移动性管理切换机制的优化与实现_2级_2,传统网络中移动性管理相关研究2,2
分布式移动性管理切换机制的优化与实现_1级_1,绪论1,分布式移动性管理切换机制的优化与实现_2级_3,移动性管理面临的挑战5,2
分布式移动性管理切换机制的优化与实现_1级_1,绪论1,分布式移动性管理切换机制的优化与实现_2级_4,论文的组织结构7,2
分布式移动性管理切换机制的优化与实现_1级_2,分布式移动性管理关键技术研究9,分布式移动性管理切换机制的优化与实现_2级_5,分布式移动性管理协议概述9,2
分布式移动性管理切换机制的优化与实现_1级_2,分布式移动性管理关键技术研究9,分布式移动性管理切换机制的优化与实现_2级_6,下一代网络移动性管理相关研究13,2
分布式移动性管理切换机制的优化与实现_1级_2,分布式移动性管理关键技术研究9,分布式移动性管理切换机制的优化与实现_2级_7,本章小结18,2
分布式移动性管理切换机制的优化与实现_1级_3,分布式移动性管理切换优化方法设计19,分布式移动性管理切换机制的优化与实现_2级_8,移动性管理切换优化方法设计(VDMM)19,2
分布式移动性管理切换机制的优化与实现_1级_3,分布式移动性管理切换优化方法设计19,分布式移动性管理切换机制的优化与实现_2级_9,移动性管理切换过程中的流量优化(ALB)39,2
分布式移动性管理切换机制的优化与实现_1级_3,分布式移动性管理切换优化方法设计19,分布式移动性管理切换机制的优化与实现_2级_10,本章小结45,2
分布式移动性管理切换机制的优化与实现_1级_4,性能分析和验证47,分布式移动性管理切换机制的优化与实现_2级_11,VDMM方法性能分析与讨论47,2
分布式移动性管理切换机制的优化与实现_1级_4,性能分析和验证47,分布式移动性管理切换机制的优化与实现_2级_12,本章小结57,2
分布式移动性管理切换机制的优化与实现_1级_5,结束语59,分布式移动性管理切换机制的优化与实现_2级_13,论文总结59,2
分布式移动性管理切换机制的优化与实现_1级_5,结束语59,分布式移动性管理切换机制的优化与实现_2级_14,论文展望60,2
