parent_url,parent_name,this_url,name,level
口碑认知需求对顾客忠诚度的影响机制研究_2级_2,研究意义2,口碑认知需求对顾客忠诚度的影响机制研究_3级_1,理论意义2,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_2,研究意义2,口碑认知需求对顾客忠诚度的影响机制研究_3级_2,实践意义2,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_4,研究思路和研究框架4,口碑认知需求对顾客忠诚度的影响机制研究_3级_3,研究思路4,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_4,研究思路和研究框架4,口碑认知需求对顾客忠诚度的影响机制研究_3级_4,研究方法4,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_4,研究思路和研究框架4,口碑认知需求对顾客忠诚度的影响机制研究_3级_5,研究框架及技术路线：5,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_5,口碑的认知需求7,口碑认知需求对顾客忠诚度的影响机制研究_3级_6,口碑：7,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_5,口碑的认知需求7,口碑认知需求对顾客忠诚度的影响机制研究_3级_7,认知需求9,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_6,顾客忠诚:11,口碑认知需求对顾客忠诚度的影响机制研究_3级_8,顾客忠诚的产生发展11,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_6,顾客忠诚:11,口碑认知需求对顾客忠诚度的影响机制研究_3级_9,顾客忠诚的定义11,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_6,顾客忠诚:11,口碑认知需求对顾客忠诚度的影响机制研究_3级_10,顾客忠诚的分类12,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_6,顾客忠诚:11,口碑认知需求对顾客忠诚度的影响机制研究_3级_11,顾客忠诚的形成14,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_7,顾客满意度15,口碑认知需求对顾客忠诚度的影响机制研究_3级_12,顾客满意度的定义15,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_7,顾客满意度15,口碑认知需求对顾客忠诚度的影响机制研究_3级_13,顾客满意度的研究模型16,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_8,品牌形象20,口碑认知需求对顾客忠诚度的影响机制研究_3级_14,品牌形象的定义20,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_8,品牌形象20,口碑认知需求对顾客忠诚度的影响机制研究_3级_15,品牌形象的研究模型21,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_9,假设提出24,口碑认知需求对顾客忠诚度的影响机制研究_3级_16,口碑的认知需求对忠诚度的直接效应24,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_9,假设提出24,口碑认知需求对顾客忠诚度的影响机制研究_3级_17,满意度的中介效应24,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_9,假设提出24,口碑认知需求对顾客忠诚度的影响机制研究_3级_18,品牌形象的中介效应25,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_11,变量测量与问卷设计27,口碑认知需求对顾客忠诚度的影响机制研究_3级_19,口碑的认知需求的测量27,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_11,变量测量与问卷设计27,口碑认知需求对顾客忠诚度的影响机制研究_3级_20,品牌形象的测量27,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_11,变量测量与问卷设计27,口碑认知需求对顾客忠诚度的影响机制研究_3级_21,顾客满意度的测量28,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_11,变量测量与问卷设计27,口碑认知需求对顾客忠诚度的影响机制研究_3级_22,顾客忠诚度的测量29,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_11,变量测量与问卷设计27,口碑认知需求对顾客忠诚度的影响机制研究_3级_23,问卷设计29,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_12,预调研及正式量表30,口碑认知需求对顾客忠诚度的影响机制研究_3级_24,信度分析30,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_12,预调研及正式量表30,口碑认知需求对顾客忠诚度的影响机制研究_3级_25,探索性因子分析31,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_12,预调研及正式量表30,口碑认知需求对顾客忠诚度的影响机制研究_3级_26,正式问卷结构32,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_13,样本收集33,口碑认知需求对顾客忠诚度的影响机制研究_3级_27,调研领域33,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_13,样本收集33,口碑认知需求对顾客忠诚度的影响机制研究_3级_28,调研对象33,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_13,样本收集33,口碑认知需求对顾客忠诚度的影响机制研究_3级_29,调研方法33,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_13,样本收集33,口碑认知需求对顾客忠诚度的影响机制研究_3级_30,样本数量34,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_14,数据统计方法34,口碑认知需求对顾客忠诚度的影响机制研究_3级_31,-描述性统计分析34,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_14,数据统计方法34,口碑认知需求对顾客忠诚度的影响机制研究_3级_32,信度分析34,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_14,数据统计方法34,口碑认知需求对顾客忠诚度的影响机制研究_3级_33,效度分析35,3
口碑认知需求对顾客忠诚度的影响机制研究_2级_14,数据统计方法34,口碑认知需求对顾客忠诚度的影响机制研究_3级_34,回归分析35,3
