,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
基站,2,0,10,55,26,25,4,122,23.416666666666664
视距信号,0,0,4,0,0,0,0,4,0.5
单基站,8,1,15,16,3,11,3,57,17.983333333333334
定位精度,3,0,10,8,0,5,3,29,7.183333333333334
视距,0,0,4,5,2,1,0,12,1.85
定位,8,0,29,25,7,6,3,78,18.616666666666667
参数,2,0,5,4,13,4,0,28,7.233333333333333
信号,1,0,8,20,20,25,0,74,15.375
虚拟基站,1,0,5,0,0,15,1,22,5.491666666666667
距离,0,0,4,5,7,6,0,22,4.266666666666667
pdr,1,0,4,0,0,13,1,19,4.883333333333333
nlos基站,0,0,4,0,2,4,0,10,1.95
pdr约束,1,0,3,0,0,6,1,11,3.0666666666666664
接收模型,0,0,3,0,5,0,0,8,1.5833333333333333
频域信号,0,0,3,0,1,0,0,4,0.6166666666666667
角度,1,0,3,8,11,16,2,41,9.383333333333333
远近场角度时延估计算法,0,0,2,0,1,0,0,3,0.4916666666666667
遮挡物,0,0,2,0,0,0,0,2,0.25
非视距,1,0,7,2,1,6,0,17,3.8166666666666664
定位终端,0,0,2,0,0,0,0,2,0.25
时延,1,0,2,6,19,18,2,48,11.425
5g网络,2,0,12,9,3,0,3,29,6.075
定位服务,1,0,4,5,4,2,0,16,3.575
终端,0,0,4,32,17,26,2,81,15.375
全球卫星导航系统,0,0,3,0,0,0,1,4,0.6166666666666667
亚米,0,0,1,0,0,1,0,2,0.3666666666666667
非视距环境,0,0,1,0,0,0,1,2,0.3666666666666667
加权定位,0,0,1,0,0,0,0,1,0.125
识别,0,0,1,0,0,0,0,1,0.125
仿真实,0,0,1,0,0,0,0,1,0.125
位置,1,0,2,0,0,2,2,7,2.216666666666667
nlos,0,0,2,0,0,20,0,22,5.083333333333333
二次加权,1,0,2,0,0,0,0,3,1.25
移动速度矢量,0,0,1,0,0,0,0,1,0.125
冗余信息,0,0,2,0,0,0,0,2,0.25
nlos路径,0,0,1,0,0,10,0,11,2.5416666666666665
解算,0,0,1,0,0,0,0,1,0.125
路径参数,0,0,1,0,0,0,0,1,0.125
nlos信号,0,0,1,0,0,13,0,14,3.2666666666666666
los信号路径,0,0,1,0,0,0,0,1,0.125
nlos信号路径,0,0,1,0,0,0,0,1,0.125
建筑平面结构,0,0,2,0,0,0,0,2,0.25
误差点,0,0,1,0,0,1,0,2,0.3666666666666667
时延参数,0,0,1,0,3,4,0,8,1.8166666666666667
聚类算法,0,0,3,0,0,5,0,8,1.5833333333333333
dbscan,0,0,1,0,0,2,0,3,0.6083333333333334
角度时延数据集,0,0,1,0,0,0,0,1,0.125
非视距环,0,0,1,0,0,0,0,1,0.125
估计精度,0,0,1,0,0,0,0,1,0.125
近场,0,0,1,4,2,0,0,7,1.1083333333333334
时延估计,3,0,3,0,5,0,1,12,4.825
远近场角度,1,0,3,0,5,0,1,10,2.825
仿真,0,0,3,0,4,7,2,16,3.5166666666666666
时域信号,0,0,2,0,2,0,0,4,0.7333333333333334
远场时延,0,0,1,0,0,0,0,1,0.125
混合阶,1,0,2,0,4,0,1,8,2.458333333333333
传输模型,0,0,1,0,0,0,0,1,0.125
时域,0,0,1,0,11,0,1,13,3.025
频谱搜索,1,0,1,0,0,0,0,2,1.125
角度时延估计算,0,0,1,0,0,0,0,1,0.125
复杂度,0,0,1,1,10,0,0,12,2.6666666666666665
响应时间,0,0,1,0,2,0,0,3,0.6083333333333334
视距基站,1,0,4,5,4,0,2,16,3.575
波形,0,0,1,1,0,0,0,2,0.25
定位架构,0,0,2,0,5,1,1,9,1.9416666666666667
5g波束,0,0,1,0,3,0,0,4,0.85
参数量,0,0,1,0,0,0,0,1,0.125
空旷区,0,0,1,0,0,0,0,1,0.125
遮挡,0,0,1,0,0,0,0,1,0.125
室内场所,0,0,1,0,0,0,0,1,0.125
地下停车场,0,0,1,1,0,0,0,2,0.25
城市拐角,0,0,1,0,0,0,0,1,0.125
室外,0,0,1,1,0,0,0,2,0.25
公园,0,0,1,0,0,0,0,1,0.125
体育场,0,0,1,1,0,0,0,2,0.25
环境复杂度,0,0,1,0,0,0,0,1,0.125
定位能力,0,0,2,2,0,0,0,4,0.5
定位算法,0,0,1,0,0,1,1,3,0.6083333333333334
阵列孔径,0,0,1,0,2,0,0,3,0.6083333333333334
天线阵元,0,0,1,4,4,1,0,10,1.8333333333333333
定位性能,1,0,8,0,0,0,2,11,2.4833333333333334
非视距基站,0,0,1,1,0,0,2,4,0.7333333333333334
测量,0,0,1,0,1,0,0,2,0.3666666666666667
基站信号,0,0,1,8,2,2,0,13,2.091666666666667
多基站定位算法,0,0,2,0,0,0,0,2,0.25
定位信号源,0,0,1,0,0,0,0,1,0.125
超密集网络,0,0,5,3,3,0,1,12,1.9666666666666668
定位技术,1,0,7,7,0,0,0,15,2.75
数据传输速率,0,0,1,0,0,0,0,1,0.125
时空连接,0,0,1,0,0,0,0,1,0.125
智慧城市,1,0,1,0,0,0,0,2,1.125
无线医疗,0,0,1,0,0,0,0,1,0.125
智能制造,0,0,1,0,0,0,0,1,0.125
车辆网,0,0,1,0,0,0,0,1,0.125
新位置服务,0,0,1,0,0,0,0,1,0.125
性能,0,0,2,1,3,0,0,6,1.1
服务等级,0,0,1,0,0,0,0,1,0.125
接收信号,0,0,1,1,7,1,0,10,2.1833333333333336
卫星信号,0,0,2,0,0,0,0,2,0.25
位置服务,1,0,5,0,0,0,3,9,2.35
gps,0,0,1,0,0,0,0,1,0.125
北斗,0,0,2,0,0,0,0,2,0.25
单基站定位,1,0,4,5,3,1,1,15,3.333333333333333
通导融合,0,0,2,2,2,0,0,6,0.9833333333333334
角度时延估计,0,1,1,0,0,0,0,2,2.125
基站覆盖,0,0,1,1,0,0,0,2,0.25
5g网络技术,0,0,1,0,0,0,0,1,0.125
数据集,0,0,0,0,0,4,0,4,0.9666666666666667
minpt,0,0,0,0,0,3,0,3,0.725
半径参数,0,0,0,0,0,3,0,3,0.725
干扰点,0,0,1,0,0,4,1,6,1.3333333333333333
组数,0,0,0,0,0,3,0,3,0.725
反射次数,0,0,0,0,0,6,0,6,1.45
聚类,0,0,1,0,0,3,1,5,1.0916666666666668
集合,0,0,0,0,0,2,0,2,0.48333333333333334
visited,0,0,0,0,0,2,0,2,0.48333333333333334
密度阈值,0,0,0,0,0,2,0,2,0.48333333333333334
密度,0,0,0,2,0,2,0,4,0.7333333333333334
中心点,0,0,0,0,0,2,0,2,0.48333333333333334
数据点,0,0,0,0,0,2,0,2,0.48333333333333334
k-means算法,0,0,0,0,0,2,0,2,0.48333333333333334
样本数据集,0,0,0,0,0,2,0,2,0.48333333333333334
传输距离,0,0,0,1,1,5,0,7,1.575
反射,1,0,0,1,0,15,0,17,4.75
聚烁,0,0,0,0,0,1,0,1,0.24166666666666667
噪声干扰点,0,0,0,0,0,1,0,1,0.24166666666666667
聚类效,0,0,0,0,0,1,0,1,0.24166666666666667
nlos误差点,0,0,0,0,0,1,0,1,0.24166666666666667
角度参数,0,0,0,2,2,4,0,8,1.7
site,0,0,0,0,0,1,0,1,0.24166666666666667
