parent_url,parent_name,this_url,name,level
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_1,绪论1,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_1,项目研究背景及意义1,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_1,绪论1,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_2,课题研究现状及趋势1,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_1,绪论1,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_3,论文主要工作及组织结构3,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_2,宽带频谱感知算法研究7,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_4,宽带频谱感知技术研究意义7,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_2,宽带频谱感知算法研究7,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_5,宽带频谱感知能量检测算法8,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_2,宽带频谱感知算法研究7,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_6,算法实现与应用的方案技术研究17,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_2,宽带频谱感知算法研究7,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_7,本章小结18,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_3,频谱感知系统总体设计19,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_8,系统实现的技术与平台选择19,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_3,频谱感知系统总体设计19,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_9,频谱感知系统框架设计20,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_3,频谱感知系统总体设计19,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_10,开发环境与开发流程介绍22,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_3,频谱感知系统总体设计19,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_11,本章小结：27,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_4,频谱感知系统详细设计与实现29,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_12,基于AP-FMCOMMS1的射频前端子系统设计29,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_4,频谱感知系统详细设计与实现29,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_13,基于FPGA的基带处理子系统设计35,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_4,频谱感知系统详细设计与实现29,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_14,基于Microblaze的SOC系统设计与实现;52,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_4,频谱感知系统详细设计与实现29,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_15,基于LinuxC++的控制子系统设计58,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_4,频谱感知系统详细设计与实现29,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_16,基于MATLAB的能量检测与实时演示系统设计59,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_4,频谱感知系统详细设计与实现29,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_17,本章小结60,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_5,系统仿真与测试61,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_18,射频子板模块性能测试与验证61,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_5,系统仿真与测试61,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_19,基带处理子系统各模块榜真与测试63,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_5,系统仿真与测试61,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_20,频谱感知系统结果展示72,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_6,总结与展望75,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_21,论文工作总结75,2
基于FPGA软件无线电平台的频谱感知系统研究与实现_1级_6,总结与展望75,基于FPGA软件无线电平台的频谱感知系统研究与实现_2级_22,论文进一步研究方向76,2
