,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
乘法器,0,0,0,0,0,12,0,0,12,2.175
信号,0,0,1,14,1,47,2,0,65,10.9375
输入信号,0,0,0,0,0,3,0,0,3,0.54375
输出信号,0,0,0,0,0,3,0,0,3,0.54375
mult18x18,0,0,0,0,0,2,0,0,2,0.3625
乘法器模块,0,0,0,0,0,3,0,0,3,0.54375
xilinx,0,0,1,0,8,8,0,0,17,3.025
逻辑,0,0,0,0,0,1,0,0,1,0.18125
lt,0,0,0,0,0,1,0,0,1,0.18125
时钟节,0,0,0,0,0,1,0,0,1,0.18125
延迟,0,0,0,0,0,2,0,0,2,0.3625
数据,0,0,1,0,6,47,6,0,60,10.81875
流式计算过,0,0,0,0,0,1,0,0,1,0.18125
中间数据,0,0,0,0,0,1,0,0,1,0.18125
暂停,0,0,0,0,0,1,0,0,1,0.18125
待命状态,0,0,0,0,0,1,0,0,1,0.18125
中间结果,0,0,0,0,0,2,0,0,2,0.3625
流式计算,0,0,0,0,0,1,0,0,1,0.18125
阻塞能力,0,0,0,0,0,1,0,0,1,0.18125
逻辑运算,0,0,0,0,0,1,0,0,1,0.18125
muu18x18s,0,0,0,0,0,1,0,0,1,0.18125
使能信号,0,0,0,0,0,1,0,0,1,0.18125
运算速率,0,0,0,0,0,1,0,0,1,0.18125
时钟信号,0,0,0,0,0,2,0,0,2,0.3625
有符号数,0,0,0,0,0,4,1,0,5,0.90625
内部寄存器,0,0,0,0,0,1,0,0,1,0.18125
复位信号,0,0,0,0,0,4,0,0,4,0.725
gsr脉冲,0,0,0,0,0,1,0,0,1,0.18125
ro寄存器,0,0,0,0,0,1,0,0,1,0.18125
信号接口,0,0,0,0,0,1,0,0,1,0.18125
有符号数乘法器,0,0,0,0,0,1,0,0,1,0.18125
mult18x18s,0,0,0,0,0,3,0,0,3,0.54375
内置乘法器,0,0,0,0,0,1,0,0,1,0.18125
部乘法器,0,0,0,0,0,1,0,0,1,0.18125
乘法原语,0,0,0,0,0,1,0,0,1,0.18125
原语操,0,0,0,0,0,1,0,0,1,0.18125
virtex-6,0,0,0,0,0,1,0,0,1,0.18125
fpga资源,0,0,0,0,0,1,0,0,1,0.18125
频谱感知系统,1,0,5,3,8,6,2,4,29,5.625
处理子系统,0,0,0,0,4,2,0,1,7,1.26875
射频驱动子系统,0,0,0,0,6,0,0,0,6,1.0875
射频前端,0,0,3,0,4,0,1,0,8,1.28125
ad-fmcomms1,1,0,1,0,4,6,0,0,12,2.9375
软件无线电平台,0,0,2,0,4,0,0,0,6,0.975
ptmurarn,0,0,0,0,1,0,0,0,1,0.18125
energydetection,0,0,0,0,1,0,0,0,1,0.18125
info,0,0,0,0,1,0,0,0,1,0.18125
thernet,0,0,0,0,1,0,0,0,1,0.18125
空中信号,0,0,1,0,1,0,0,0,2,0.30625
控制流,0,0,0,0,1,0,0,0,1,0.18125
数据流,0,0,0,0,1,0,0,0,1,0.18125
ebz射频板,0,0,0,0,1,0,0,0,1,0.18125
ad-fmc,0,0,0,0,1,0,0,0,1,0.18125
fpgasocsystem,0,0,0,0,1,0,0,0,1,0.18125
sweepfrequency,0,0,0,0,1,0,0,0,1,0.18125
pchostserver,0,0,0,0,1,0,0,0,1,0.18125
处理单元,1,0,0,0,2,5,1,0,9,2.45
基带,0,0,0,0,2,1,2,0,5,0.90625
控制,0,0,1,0,1,1,0,0,3,0.4875
频谱感知基带信号,0,0,0,0,1,0,0,0,1,0.18125
实时演示子系统,0,0,0,0,1,0,0,0,1,0.18125
宽带能量检测算法,0,0,0,1,1,0,0,0,2,0.30625
软件控制系统,0,0,0,0,1,0,0,0,1,0.18125
软硬件控制系统,0,0,0,0,1,0,0,0,1,0.18125
microblazesoc,0,0,0,0,1,0,0,0,1,0.18125
rtl级基带信号,0,0,0,0,1,0,0,0,1,0.18125
频率,0,0,1,5,3,13,0,0,22,3.65
扫频,1,0,1,1,2,0,1,0,6,1.79375
扫频感知,0,0,0,1,1,0,0,0,2,0.30625
增益控制,0,0,0,0,2,0,0,0,2,0.3625
射频接收,0,0,0,0,1,0,0,0,1,0.18125
延时控制,0,0,0,0,1,1,0,0,2,0.3625
信号捕捉,0,0,0,0,3,0,0,0,3,0.54375
