parent_url,parent_name,this_url,name,level
基于NB-IoT的热力监测系统设计与实现_1级_1,绪论,基于NB-IoT的热力监测系统设计与实现_2级_1,论文研究背景及意义,2
基于NB-IoT的热力监测系统设计与实现_1级_1,绪论,基于NB-IoT的热力监测系统设计与实现_2级_2,论文研究内容,2
基于NB-IoT的热力监测系统设计与实现_1级_1,绪论,基于NB-IoT的热力监测系统设计与实现_2级_3,论文结构安排,2
基于NB-IoT的热力监测系统设计与实现_1级_2,低功耗物联网关键技术,基于NB-IoT的热力监测系统设计与实现_2级_4,NB-IOT通信技术,2
基于NB-IoT的热力监测系统设计与实现_1级_2,低功耗物联网关键技术,基于NB-IoT的热力监测系统设计与实现_2级_5,COAP协议,2
基于NB-IoT的热力监测系统设计与实现_1级_2,低功耗物联网关键技术,基于NB-IoT的热力监测系统设计与实现_2级_6,功耗管理技术,2
基于NB-IoT的热力监测系统设计与实现_1级_2,低功耗物联网关键技术,基于NB-IoT的热力监测系统设计与实现_2级_7,实时操作系统技术研究,2
基于NB-IoT的热力监测系统设计与实现_1级_2,低功耗物联网关键技术,基于NB-IoT的热力监测系统设计与实现_2级_8,本章小结,2
基于NB-IoT的热力监测系统设计与实现_1级_3,基于NBIOT的热力监测系统设计,基于NB-IoT的热力监测系统设计与实现_2级_9,系统架构设计,2
基于NB-IoT的热力监测系统设计与实现_1级_3,基于NBIOT的热力监测系统设计,基于NB-IoT的热力监测系统设计与实现_2级_10,硬件设备选型,2
基于NB-IoT的热力监测系统设计与实现_1级_3,基于NBIOT的热力监测系统设计,基于NB-IoT的热力监测系统设计与实现_2级_11,实时操作系统的移植,2
基于NB-IoT的热力监测系统设计与实现_1级_3,基于NBIOT的热力监测系统设计,基于NB-IoT的热力监测系统设计与实现_2级_12,基于DPM的低功耗解决方案设计,2
基于NB-IoT的热力监测系统设计与实现_1级_3,基于NBIOT的热力监测系统设计,基于NB-IoT的热力监测系统设计与实现_2级_13,数据传输及处理,2
基于NB-IoT的热力监测系统设计与实现_1级_3,基于NBIOT的热力监测系统设计,基于NB-IoT的热力监测系统设计与实现_2级_14,本章小结,2
基于NB-IoT的热力监测系统设计与实现_1级_4,基于NBIOT的热力监测系统实现,基于NB-IoT的热力监测系统设计与实现_2级_15,系统概述,2
基于NB-IoT的热力监测系统设计与实现_1级_4,基于NBIOT的热力监测系统实现,基于NB-IoT的热力监测系统设计与实现_2级_16,设备端实现,2
基于NB-IoT的热力监测系统设计与实现_1级_4,基于NBIOT的热力监测系统实现,基于NB-IoT的热力监测系统设计与实现_2级_17,基于DPM的低功耗解决方案实现,2
基于NB-IoT的热力监测系统设计与实现_1级_4,基于NBIOT的热力监测系统实现,基于NB-IoT的热力监测系统设计与实现_2级_18,服务端实现,2
基于NB-IoT的热力监测系统设计与实现_1级_4,基于NBIOT的热力监测系统实现,基于NB-IoT的热力监测系统设计与实现_2级_19,系统验证,2
基于NB-IoT的热力监测系统设计与实现_1级_4,基于NBIOT的热力监测系统实现,基于NB-IoT的热力监测系统设计与实现_2级_20,本章小结,2
基于NB-IoT的热力监测系统设计与实现_1级_5,总结与展望,基于NB-IoT的热力监测系统设计与实现_2级_21,论文工作总结,2
基于NB-IoT的热力监测系统设计与实现_1级_5,总结与展望,基于NB-IoT的热力监测系统设计与实现_2级_22,进一步研究工作,2
