parent_url,parent_name,this_url,name,level
基于OFDM的VLC系统调光技术研究_2级_5,可见光通信(VLC)系统概述,基于OFDM的VLC系统调光技术研究_3级_1,VLC系统,3
基于OFDM的VLC系统调光技术研究_2级_5,可见光通信(VLC)系统概述,基于OFDM的VLC系统调光技术研究_3级_2,VLC特点,3
基于OFDM的VLC系统调光技术研究_2级_5,可见光通信(VLC)系统概述,基于OFDM的VLC系统调光技术研究_3级_3,VLC应用与发展,3
基于OFDM的VLC系统调光技术研究_2级_5,可见光通信(VLC)系统概述,基于OFDM的VLC系统调光技术研究_3级_4,VLC关键技术,3
基于OFDM的VLC系统调光技术研究_2级_6,基于OFDM的VLC(OFDM-VLC)系统,基于OFDM的VLC系统调光技术研究_3级_5,O-OFDM调制,3
基于OFDM的VLC系统调光技术研究_2级_6,基于OFDM的VLC(OFDM-VLC)系统,基于OFDM的VLC系统调光技术研究_3级_6,OFDM-VLC系统调光技术,3
基于OFDM的VLC系统调光技术研究_2级_11,AAD-OFDM调制方案及其系统调光研究,基于OFDM的VLC系统调光技术研究_3级_7,AAD-OFDM,3
基于OFDM的VLC系统调光技术研究_2级_11,AAD-OFDM调制方案及其系统调光研究,基于OFDM的VLC系统调光技术研究_3级_8,调光参数求解,3
基于OFDM的VLC系统调光技术研究_2级_12,仿真结果与分析,基于OFDM的VLC系统调光技术研究_3级_9,仿真参数设置,3
基于OFDM的VLC系统调光技术研究_2级_12,仿真结果与分析,基于OFDM的VLC系统调光技术研究_3级_10,结果分析,3
基于OFDM的VLC系统调光技术研究_2级_17,仿真结果与分析,基于OFDM的VLC系统调光技术研究_3级_11,仿真参数设置,3
基于OFDM的VLC系统调光技术研究_2级_17,仿真结果与分析,基于OFDM的VLC系统调光技术研究_3级_12,对比方案选择,3
基于OFDM的VLC系统调光技术研究_2级_17,仿真结果与分析,基于OFDM的VLC系统调光技术研究_3级_13,结果分析,3
