,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
vlc,4,0,11,22,0,2,1,40,8.85
vlc系统,8,0,8,5,1,0,0,22,9.866666666666667
调光,1,1,16,17,7,12,3,57,12.441666666666666
o-ofdm调制,1,0,5,16,6,1,1,30,5.558333333333334
ofdm,4,0,7,14,6,4,1,36,9.283333333333333
通信,2,0,4,15,3,2,0,26,5.583333333333333
数字调光,0,0,3,9,0,0,0,12,1.5
模拟调光,2,0,6,9,5,6,2,30,7.016666666666667
o-ofdm,1,0,3,3,0,0,0,7,1.75
频谱效率,1,0,10,21,13,7,0,52,9.708333333333332
调光功能,1,0,3,3,0,0,0,7,1.75
调光技术,6,0,11,16,1,4,9,47,12.758333333333333
性能,1,0,6,13,8,5,2,35,7.0
led,1,0,3,5,4,6,0,19,4.416666666666666
发光亮度,1,0,2,1,8,0,1,13,3.55
调光技,0,0,4,3,0,0,0,7,0.875
照明,1,0,3,8,0,1,0,13,2.6166666666666667
dm,3,0,2,1,1,0,0,7,3.6166666666666667
ofdm调制,1,0,4,5,1,1,0,12,2.6083333333333334
信号,1,0,11,49,30,25,1,117,22.03333333333333
rf-ofdm,1,0,2,1,0,0,0,4,1.375
亮度,5,0,9,13,21,16,2,66,17.175
无线射频频谱资源,0,0,2,0,0,0,0,2,0.25
系统调光技术,0,0,3,0,1,0,1,5,0.8583333333333334
多链路,1,0,8,4,0,7,1,21,4.433333333333334
单链路,0,0,6,6,6,3,2,23,4.158333333333333
调制,5,0,2,22,14,10,3,56,14.525
调光性能,2,0,2,1,4,0,2,11,3.825
多链路系统,0,0,4,0,0,8,3,15,3.158333333333333
单链路vlc,0,0,1,0,0,0,0,1,0.125
模拟调光性能,0,0,2,1,1,0,0,4,0.6166666666666667
系统,0,0,3,4,3,5,4,19,3.775
速率,0,0,1,5,0,0,0,6,0.75
复杂度,0,0,1,4,1,0,0,6,0.8666666666666667
快速开关特性,0,0,1,1,0,0,0,2,0.25
通信性能,3,0,5,3,14,6,2,33,9.316666666666666
调制信号,0,0,1,3,0,0,0,4,0.5
幅度,0,0,1,10,1,0,0,12,1.6166666666666667
占空比,0,0,1,8,0,0,0,9,1.125
正向电流,0,0,1,1,0,0,0,2,0.25
正向驱动电流,0,0,1,1,0,0,0,2,0.25
ofdm-vlc系统,3,0,10,13,6,5,6,43,9.983333333333334
ofdm-vlc,0,0,3,1,0,1,1,6,0.9833333333333334
单极化,0,0,1,1,0,0,0,2,0.25
发送信号,0,0,3,3,11,6,0,23,4.858333333333333
调制方案,0,0,1,0,0,0,0,1,0.125
opticalofdm,2,0,1,3,0,0,0,6,2.5
flip-ofdmu,0,0,1,0,0,0,0,1,0.125
unipolarofdm,0,0,1,1,0,0,0,2,0.25
u-ofdm,0,0,1,4,0,0,0,5,0.625
clippedoptical,0,0,1,0,0,0,0,1,0.125
asymmetrically,0,0,1,1,0,0,0,2,0.25
aco-ofdm,1,0,6,10,29,3,1,50,10.975
