parent_url,parent_name,this_url,name,level
基于OFDM的雷达通信一体化波形设计_2级_2,国内外研究现状及主要研究内容2,基于OFDM的雷达通信一体化波形设计_3级_1,一体化波形复用研究现状3,3
基于OFDM的雷达通信一体化波形设计_2级_2,国内外研究现状及主要研究内容2,基于OFDM的雷达通信一体化波形设计_3级_2,一体化波形融合研究现状4,3
基于OFDM的雷达通信一体化波形设计_2级_2,国内外研究现状及主要研究内容2,基于OFDM的雷达通信一体化波形设计_3级_3,关键问题7,3
基于OFDM的雷达通信一体化波形设计_2级_2,国内外研究现状及主要研究内容2,基于OFDM的雷达通信一体化波形设计_3级_4,主要工作及内容安排8,3
基于OFDM的雷达通信一体化波形设计_2级_4,雷达通信一体化波形融合可行性分析11,基于OFDM的雷达通信一体化波形设计_3级_5,雷达系统与通信系统相似性11,3
基于OFDM的雷达通信一体化波形设计_2级_4,雷达通信一体化波形融合可行性分析11,基于OFDM的雷达通信一体化波形设计_3级_6,雷达系统与通信系统差异性12,3
基于OFDM的雷达通信一体化波形设计_2级_4,雷达通信一体化波形融合可行性分析11,基于OFDM的雷达通信一体化波形设计_3级_7,雷达通信一体化工作体制14,3
基于OFDM的雷达通信一体化波形设计_2级_5,OFDM技术和系统14,基于OFDM的雷达通信一体化波形设计_3级_8,基于OFDM的雷达通信一体化系统架构14,3
基于OFDM的雷达通信一体化波形设计_2级_5,OFDM技术和系统14,基于OFDM的雷达通信一体化波形设计_3级_9,基于OFDM导频信号的雷达测速测距17,3
基于OFDM的雷达通信一体化波形设计_2级_9,短距离目标雷达接收机处理方法24,基于OFDM的雷达通信一体化波形设计_3级_10,基于脉冲压缩的多目标检测方法24,3
基于OFDM的雷达通信一体化波形设计_2级_9,短距离目标雷达接收机处理方法24,基于OFDM的雷达通信一体化波形设计_3级_11,基于二维傅里叶变换的雷达测速测距方法25,3
基于OFDM的雷达通信一体化波形设计_2级_10,通信性能和雷达性能制约关系分析26,基于OFDM的雷达通信一体化波形设计_3级_12,基于脉冲压缩的多目标检测方法,3
基于OFDM的雷达通信一体化波形设计_2级_10,通信性能和雷达性能制约关系分析26,基于OFDM的雷达通信一体化波形设计_3级_13,基于二维傅里叶变换的雷达测速测距方法,3
基于OFDM的雷达通信一体化波形设计_2级_16,远距离目标雷达接收机处理方法36,基于OFDM的雷达通信一体化波形设计_3级_14,基于匹配滤波器的测速测距方法36,3
基于OFDM的雷达通信一体化波形设计_2级_16,远距离目标雷达接收机处理方法36,基于OFDM的雷达通信一体化波形设计_3级_15,基于调制符号域的测速测距方法37,3
基于OFDM的雷达通信一体化波形设计_2级_16,远距离目标雷达接收机处理方法36,基于OFDM的雷达通信一体化波形设计_3级_16,基于重构导频脉冲压缩矩阵的测速测距方法38,3
