dissertation,name,this_url,language,word_frequency
基于OFDM的雷达通信一体化波形设计,雷达,基于OFDM的雷达通信一体化波形设计_摘要_1,中文,4
基于OFDM的雷达通信一体化波形设计,imp-ofdm,基于OFDM的雷达通信一体化波形设计_摘要_2,中文,3
基于OFDM的雷达通信一体化波形设计,雷达探测,基于OFDM的雷达通信一体化波形设计_摘要_3,中文,3
基于OFDM的雷达通信一体化波形设计,雷达通信一体化,基于OFDM的雷达通信一体化波形设计_摘要_4,中文,3
基于OFDM的雷达通信一体化波形设计,一体化波形,基于OFDM的雷达通信一体化波形设计_摘要_5,中文,2
基于OFDM的雷达通信一体化波形设计,索引调制,基于OFDM的雷达通信一体化波形设计_摘要_6,中文,2
基于OFDM的雷达通信一体化波形设计,脉冲压缩,基于OFDM的雷达通信一体化波形设计_摘要_7,中文,2
基于OFDM的雷达通信一体化波形设计,速度,基于OFDM的雷达通信一体化波形设计_摘要_8,中文,2
基于OFDM的雷达通信一体化波形设计,距离,基于OFDM的雷达通信一体化波形设计_摘要_9,中文,2
基于OFDM的雷达通信一体化波形设计,通信性能,基于OFDM的雷达通信一体化波形设计_摘要_10,中文,2
基于OFDM的雷达通信一体化波形设计,短距离,基于OFDM的雷达通信一体化波形设计_摘要_11,中文,2
基于OFDM的雷达通信一体化波形设计,波形设计,基于OFDM的雷达通信一体化波形设计_摘要_12,中文,2
基于OFDM的雷达通信一体化波形设计,远距离目标,基于OFDM的雷达通信一体化波形设计_摘要_13,中文,1
基于OFDM的雷达通信一体化波形设计,无模糊距离,基于OFDM的雷达通信一体化波形设计_摘要_14,中文,1
基于OFDM的雷达通信一体化波形设计,导频个数,基于OFDM的雷达通信一体化波形设计_摘要_15,中文,1
基于OFDM的雷达通信一体化波形设计,远距离目标探测,基于OFDM的雷达通信一体化波形设计_摘要_16,中文,1
基于OFDM的雷达通信一体化波形设计,脉冲分组,基于OFDM的雷达通信一体化波形设计_摘要_17,中文,1
基于OFDM的雷达通信一体化波形设计,pimp-ofdm雷达通信,基于OFDM的雷达通信一体化波形设计_摘要_18,中文,1
基于OFDM的雷达通信一体化波形设计,接收端,基于OFDM的雷达通信一体化波形设计_摘要_19,中文,1
基于OFDM的雷达通信一体化波形设计,导频矩阵,基于OFDM的雷达通信一体化波形设计_摘要_20,中文,1
基于OFDM的雷达通信一体化波形设计,步进型导频,基于OFDM的雷达通信一体化波形设计_摘要_21,中文,1
基于OFDM的雷达通信一体化波形设计,一体化波形方案,基于OFDM的雷达通信一体化波形设计_摘要_22,中文,1
基于OFDM的雷达通信一体化波形设计,标运动,基于OFDM的雷达通信一体化波形设计_摘要_23,中文,1
基于OFDM的雷达通信一体化波形设计,距离测量,基于OFDM的雷达通信一体化波形设计_摘要_24,中文,1
基于OFDM的雷达通信一体化波形设计,数据比特,基于OFDM的雷达通信一体化波形设计_摘要_25,中文,1
基于OFDM的雷达通信一体化波形设计,短距离目,基于OFDM的雷达通信一体化波形设计_摘要_26,中文,1
基于OFDM的雷达通信一体化波形设计,智能驾驶,基于OFDM的雷达通信一体化波形设计_摘要_27,中文,1
基于OFDM的雷达通信一体化波形设计,ofdm,基于OFDM的雷达通信一体化波形设计_摘要_28,中文,1
基于OFDM的雷达通信一体化波形设计,子载波传输,基于OFDM的雷达通信一体化波形设计_摘要_29,中文,1
基于OFDM的雷达通信一体化波形设计,导频信号,基于OFDM的雷达通信一体化波形设计_摘要_30,中文,1
基于OFDM的雷达通信一体化波形设计,子载波,基于OFDM的雷达通信一体化波形设计_摘要_31,中文,1
基于OFDM的雷达通信一体化波形设计,通信数据传输,基于OFDM的雷达通信一体化波形设计_摘要_32,中文,1
基于OFDM的雷达通信一体化波形设计,导频子载波,基于OFDM的雷达通信一体化波形设计_摘要_33,中文,1
基于OFDM的雷达通信一体化波形设计,频谱效率,基于OFDM的雷达通信一体化波形设计_摘要_34,中文,1
基于OFDM的雷达通信一体化波形设计,ofdm导频,基于OFDM的雷达通信一体化波形设计_摘要_35,中文,1
基于OFDM的雷达通信一体化波形设计,短距离目标,基于OFDM的雷达通信一体化波形设计_摘要_36,中文,1
基于OFDM的雷达通信一体化波形设计,雷达性能,基于OFDM的雷达通信一体化波形设计_摘要_37,中文,1
基于OFDM的雷达通信一体化波形设计,数据传输速率,基于OFDM的雷达通信一体化波形设计_摘要_38,中文,1
基于OFDM的雷达通信一体化波形设计,频谱资源利用率,基于OFDM的雷达通信一体化波形设计_摘要_39,中文,1
基于OFDM的雷达通信一体化波形设计,计精度,基于OFDM的雷达通信一体化波形设计_摘要_40,中文,1
基于OFDM的雷达通信一体化波形设计,目标检测,基于OFDM的雷达通信一体化波形设计_摘要_41,中文,1
基于OFDM的雷达通信一体化波形设计,二维傅里叶变换,基于OFDM的雷达通信一体化波形设计_摘要_42,中文,1
基于OFDM的雷达通信一体化波形设计,距离分辨率,基于OFDM的雷达通信一体化波形设计_摘要_43,中文,1
