,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
一体化波形设计,0,0,7,0,1,1,0,9,1.3583333333333334
雷达通信,0,0,28,8,6,4,1,47,7.158333333333333
波形复用技术,0,0,1,0,0,0,0,1,0.125
波形融合技术,0,0,1,0,0,0,0,1,0.125
雷达系统,0,0,4,32,0,0,1,37,4.741666666666666
无线通信系统,0,0,1,15,0,0,2,18,2.4833333333333334
通信一体化技术,0,0,1,0,0,0,0,1,0.125
雷达,4,0,37,16,19,5,2,83,16.90833333333333
ofdm信号,1,0,14,12,0,3,2,32,5.458333333333333
子载波,1,0,4,10,14,7,0,36,7.825
ofdm符号,0,0,0,10,5,6,0,21,3.908333333333333
ofdm,1,0,15,10,4,3,3,36,6.541666666666666
一体化系统,0,0,2,5,6,0,1,14,2.5666666666666664
信号,0,0,7,20,7,1,1,36,5.55
时域基带信号,0,0,0,4,0,0,0,4,0.5
ofdm脉冲,0,0,0,4,1,10,0,15,3.158333333333333
雷达信号,0,0,9,7,0,0,0,16,2.0
通信,0,0,17,7,1,0,0,25,3.2416666666666667
循环前缀,0,0,2,3,4,1,0,10,1.8333333333333333
符号间隔,0,0,0,3,0,0,0,3,0.375
通信信号,0,0,7,5,1,0,0,13,1.7416666666666667
源一体化系统,0,0,0,2,0,0,0,2,0.25
通信信息,1,0,5,3,1,0,0,10,2.2416666666666667
持续时间,0,0,2,2,4,2,0,10,1.95
矩阵,0,0,1,2,2,4,0,9,1.825
符号,0,0,3,2,6,3,0,14,2.8
频率,0,0,4,4,0,0,0,8,1.0
子数据流,0,0,0,2,0,0,0,2,0.25
解码,0,0,0,3,0,0,0,3,0.375
数据流,0,0,0,2,0,0,0,2,0.25
ifft,0,0,0,2,0,0,0,2,0.25
数据,0,0,5,2,6,1,0,14,2.5666666666666664
串并变换,0,0,0,2,0,0,0,2,0.25
频谱效率,1,0,4,2,6,0,0,13,3.2
子载波间隔,0,0,0,2,0,0,0,2,0.25
符号速率,0,0,2,2,0,0,0,4,0.5
雷达回波信号,0,0,0,1,0,0,0,1,0.125
一体化信号,0,0,3,2,3,3,0,11,2.075
雷达序列,0,0,0,1,0,0,0,1,0.125
波形设计,2,0,1,2,0,1,0,6,2.6166666666666667
运动状态,0,0,0,1,2,0,0,3,0.6083333333333334
距离,2,0,11,3,16,24,1,57,13.658333333333333
下变频,0,0,0,1,0,0,0,1,0.125
天线阵列,0,0,0,1,1,0,0,2,0.3666666666666667
回波信号,0,0,2,3,2,0,0,7,1.1083333333333334
待测雷达,0,0,0,1,0,0,0,1,0.125
融合信号,1,0,0,1,0,0,0,2,1.125
ofdm解调,0,0,0,1,0,0,0,1,0.125
同步,0,0,0,2,2,0,0,4,0.7333333333333334
变频,0,0,0,1,0,1,0,2,0.3666666666666667
空间,0,0,0,5,0,0,0,5,0.625
高载频频段,0,0,0,1,0,0,0,1,0.125
射频,0,0,0,1,0,0,0,1,0.125
ofdm基带时域信号,0,0,0,1,0,0,0,1,0.125
雷达通信一体化通用系统,0,0,0,1,0,0,0,1,0.125
一体化通用系统架构,0,0,0,1,0,0,0,1,0.125
通信数据传输速率,0,0,1,1,2,0,0,4,0.7333333333333334
参数信息,0,0,0,1,0,0,0,1,0.125
目标,0,0,0,1,0,1,0,2,0.3666666666666667
目标探测,0,0,5,1,0,2,0,8,1.2333333333333334
波形,0,0,12,3,0,6,2,23,3.8083333333333336
雷达通信一体化系统,0,0,4,1,3,0,1,9,1.5916666666666668
接收机,0,0,3,1,2,3,0,9,1.7083333333333333
数据子载波,0,0,4,1,5,7,0,17,3.525
雷达子载波,0,0,0,1,23,7,0,31,7.375
正交性,0,0,2,1,1,0,0,4,0.6166666666666667
模糊函数,0,0,1,1,0,0,0,2,0.25
多路复用增益处理,0,0,0,1,0,0,0,1,0.125
频率正交性,0,0,0,1,0,0,0,1,0.125
带宽,0,0,6,7,12,6,0,31,5.975
0fdm雷达信号,0,0,0,1,0,0,0,1,0.125
inversefastfouriertransform,0,0,0,1,0,0,0,1,0.125
快速逆傅里叶变换,0,0,0,1,0,0,0,1,0.125
多载波相位编码,0,0,0,1,0,0,0,1,0.125
子载波间干扰,0,0,0,1,0,0,0,1,0.125
符号间干扰,0,0,0,1,1,0,0,2,0.3666666666666667
数据传输速率,1,0,5,1,2,0,0,9,2.2333333333333334
一体化波形,2,0,16,2,2,8,4,34,7.633333333333333
循环,0,0,0,1,0,0,0,1,0.125
复数数据,0,0,0,1,0,0,0,1,0.125
二进制数据调,0,0,0,1,0,0,0,1,0.125
phaseshiftkeying,0,0,0,1,0,0,0,1,0.125
相移键控,0,0,0,1,0,0,0,1,0.125
qam,0,0,0,1,0,0,0,1,0.125
quadratureamplitudemodulation,0,0,0,1,0,0,0,1,0.125
正交幅度调制,0,0,0,1,0,0,0,1,0.125
ofdm子载波,0,0,0,1,1,0,0,2,0.3666666666666667
行向量,0,0,0,1,0,1,0,2,0.3666666666666667
列向量,0,0,0,1,0,2,0,3,0.6083333333333334
矩形窗函数,0,0,0,1,0,0,0,1,0.125
符号索引,0,0,0,1,0,1,0,2,0.3666666666666667
子载波索引,0,0,0,1,0,1,0,2,0.3666666666666667
子载波数量,0,0,0,1,1,0,0,2,0.3666666666666667
上调制,0,0,0,1,0,0,0,1,0.125
频资源格,0,0,0,1,0,0,0,1,0.125
时频资源,0,0,1,1,1,3,0,6,1.2166666666666668
ofdm调制信号,0,0,0,1,0,0,0,1,0.125
子数据流调制,0,0,0,1,0,0,0,1,0.125
正交子载波,0,0,0,1,0,0,0,1,0.125
串并变化器,0,0,0,1,0,0,0,1,0.125
比特速率,0,0,0,1,0,0,0,1,0.125
信息流速率,0,0,0,1,0,0,0,1,0.125
时频,0,0,0,1,0,0,0,1,0.125
载波,0,0,0,1,1,1,0,3,0.6083333333333334
频域信号,0,0,0,1,0,0,0,1,0.125
时域信号,0,0,0,1,0,1,0,2,0.3666666666666667
fft,0,0,0,1,0,0,0,1,0.125
接收端,1,0,8,1,0,3,0,13,2.85
发送链路调制,0,0,0,1,0,0,0,1,0.125
解调过程,0,0,0,1,0,0,0,1,0.125
接收链路,0,0,0,1,0,0,0,1,0.125
相干时间长度,0,0,0,1,0,0,0,1,0.125
信道,0,0,1,2,0,0,0,3,0.375
长度,0,0,0,1,1,1,0,3,0.6083333333333334
载波间干扰,0,0,1,1,1,0,0,3,0.4916666666666667
多径效应,0,0,0,1,0,0,0,1,0.125
时间间隔,0,0,0,1,0,0,0,1,0.125
保护,0,0,0,1,0,0,0,1,0.125
发射数据,0,0,0,1,0,0,0,1,0.125
时域离散信号,0,0,0,1,0,0,0,1,0.125
频域离散信号,0,0,0,1,0,0,0,1,0.125
分路,0,0,0,1,0,0,0,1,0.125
信道编码,0,0,0,1,0,0,0,1,0.125
信源编码,0,0,0,1,0,0,0,1,0.125
基带数据比特,0,0,0,1,0,0,0,1,0.125
发射链路,0,0,0,1,0,0,0,1,0.125
干扰,0,0,7,2,0,0,0,9,1.125
选择性衰落,0,0,0,1,0,0,0,1,0.125
多载波,0,0,1,1,0,0,0,2,0.25
重叠,0,0,0,1,0,0,0,1,0.125
频谱,0,0,2,1,1,1,0,5,0.8583333333333334
单载波,0,0,1,1,0,0,0,2,0.25
传输速率,0,0,2,2,1,1,0,6,0.9833333333333334
传输比特速率,0,0,0,1,0,0,0,1,0.125
数据传输,0,0,4,3,0,0,0,7,0.875
多载波调制,0,0,0,1,0,0,0,1,0.125
子信道,0,0,0,1,0,0,0,1,0.125
宽带信道,0,0,0,1,0,0,0,1,0.125
ofdm技术,0,0,1,1,0,0,0,2,0.25
雷达通信一体化系统架构,0,0,0,1,0,0,0,1,0.125
脉冲,0,0,0,1,13,25,1,40,9.55
子块,0,0,0,0,6,0,0,6,1.45
通信子载波,0,0,0,0,7,0,0,7,1.6916666666666667
数据符号,0,0,0,0,2,0,0,2,0.48333333333333334
导频符号,0,0,0,0,2,0,0,2,0.48333333333333334
导频序列,0,0,0,0,3,5,0,8,1.9333333333333333
位置,0,0,0,0,2,0,0,2,0.48333333333333334
imp-ofdm,3,0,2,0,33,3,0,41,11.95
