parent_url,parent_name,this_url,name,level
基于OpenFlow的网络节能技术研究_2级_5,OpenFlow协议6,基于OpenFlow的网络节能技术研究_3级_1,OpenFlow流表7,3
基于OpenFlow的网络节能技术研究_2级_5,OpenFlow协议6,基于OpenFlow的网络节能技术研究_3级_2,流表的匹配9,3
基于OpenFlow的网络节能技术研究_2级_5,OpenFlow协议6,基于OpenFlow的网络节能技术研究_3级_3,OpenFlow消息类型11,3
基于OpenFlow的网络节能技术研究_2级_5,OpenFlow协议6,基于OpenFlow的网络节能技术研究_3级_4,OpenFlow协议在网络节能方面的优势12,3
基于OpenFlow的网络节能技术研究_2级_6,OpenFlow控制器14,基于OpenFlow的网络节能技术研究_3级_5,主流控制器14,3
基于OpenFlow的网络节能技术研究_2级_6,OpenFlow控制器14,基于OpenFlow的网络节能技术研究_3级_6,Floodlight控制器15,3
基于OpenFlow的网络节能技术研究_2级_7,OpenFlow网络仿真平台17,基于OpenFlow的网络节能技术研究_3级_7,Mininet概述17,3
基于OpenFlow的网络节能技术研究_2级_7,OpenFlow网络仿真平台17,基于OpenFlow的网络节能技术研究_3级_8,Mininet库文件18,3
基于OpenFlow的网络节能技术研究_2级_11,基于网络实时流量的节能算法（RTT-ES）23,基于OpenFlow的网络节能技术研究_3级_9,RTT-ES算法概述24,3
基于OpenFlow的网络节能技术研究_2级_11,基于网络实时流量的节能算法（RTT-ES）23,基于OpenFlow的网络节能技术研究_3级_10,负载均衡算法24,3
基于OpenFlow的网络节能技术研究_2级_11,基于网络实时流量的节能算法（RTT-ES）23,基于OpenFlow的网络节能技术研究_3级_11,基于固定阕值的RTPES算法25,3
基于OpenFlow的网络节能技术研究_2级_11,基于网络实时流量的节能算法（RTT-ES）23,基于OpenFlow的网络节能技术研究_3级_12,基于动态阈值的RITES改进算法26,3
基于OpenFlow的网络节能技术研究_2级_17,仿真环境和评价标准36,基于OpenFlow的网络节能技术研究_3级_13,流量模型36,3
基于OpenFlow的网络节能技术研究_2级_17,仿真环境和评价标准36,基于OpenFlow的网络节能技术研究_3级_14,评价标准36,3
基于OpenFlow的网络节能技术研究_2级_18,仿真结果分析37,基于OpenFlow的网络节能技术研究_3级_15,动态链路权重对网络服务质量的影响37,3
基于OpenFlow的网络节能技术研究_2级_18,仿真结果分析37,基于OpenFlow的网络节能技术研究_3级_16,RTPES算法性能仿真分析39,3
基于OpenFlow的网络节能技术研究_2级_18,仿真结果分析37,基于OpenFlow的网络节能技术研究_3级_17,固定阈值与动态阈值策略对网络服务质量影响40,3
