parent_url,parent_name,this_url,name,level
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_1,绪论,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_1,无线通信发展与LTE-Advanced项目1,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_1,绪论,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_2,SDR发展概况2,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_1,绪论,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_3,D2D发展概况3,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_1,绪论,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_4,本文的研究内容与结构4,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_2,D2D验证平台需求分析7,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_5,系统功能需求与设计目标7,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_2,D2D验证平台需求分析7,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_6,D2D通信中的关键技术8,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_2,D2D验证平台需求分析7,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_7,基本场景与假设11,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_3,D2D通信技术方案设计15,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_8,D2D通信整体流程设计15,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_3,D2D通信技术方案设计15,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_9,D2D关键技术流程设计16,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_3,D2D通信技术方案设计15,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_10,D2D专用控制信令与信道映射23,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_4,D2D验证平台软件系统设计27,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_11,整体设计27,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_4,D2D验证平台软件系统设计27,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_12,层2设计29,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_4,D2D验证平台软件系统设计27,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_13,层1设计46,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_4,D2D验证平台软件系统设计27,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_14,层。设计57,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_5,实时处理保障技术61,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_15,流水线模式的多核多线程系统架构61,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_5,实时处理保障技术61,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_16,轻耦合的通信接口设计63,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_5,实时处理保障技术61,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_17,基于SSE指令集的单模块优化64,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_5,实时处理保障技术61,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_18,基于多线程负载均衡的单模块并行优化65,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_5,实时处理保障技术61,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化67,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_5,实时处理保障技术61,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_20,操作系统实时性增强68,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_6,系统性能与结果分析71,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_21,终端通信与业务演示71,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_6,系统性能与结果分析71,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_22,干扰协同性能分析74,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_6,系统性能与结果分析71,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_23,中继通信80,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_6,系统性能与结果分析71,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸81,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_7,总结与展望83,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_25,论文工作总结83,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_1级_7,总结与展望83,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_26,未来研究展望84,2
