parent_url,parent_name,this_url,name,level,word_frequency
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_1,ue1,4,6
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_2,蜂窝网络,4,3
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_3,d2d终端,4,3
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_4,bs,4,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_5,d2d通信,4,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_6,蜂窝覆盖延伸业务,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_7,移动4g网络,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_8,internet页面,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_9,ue2,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_10,模拟,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_11,复合d2d终端,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_12,interneto,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_13,d2d链路,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_14,链路,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_15,复合终端,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_16,通信,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_17,d2d网络,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_18,代理,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_19,桥接,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_20,蜂窝终端,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_21,d2d验证平台系统,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_22,边缘覆盖,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_23,蜂窝小区,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_24,d2d技术,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_25,蜂窝覆盖延伸,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_24,覆盖延伸,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_26,覆盖延伸,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_27,延时,4,18
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_28,子帧,4,6
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_29,数据,4,5
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_30,packet,4,5
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_31,接收链路,4,5
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_32,时延,4,3
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_33,处理粒度,4,3
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_34,处理时间,4,3
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_35,滤波运算,4,3
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_36,实时性,4,3
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_37,usrp,4,3
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_38,packetn,4,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_39,线程,4,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_40,总延时,4,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_41,物理层,4,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_42,样值,4,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_43,处理,4,2
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_44,运算延时,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_45,运算操作,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_46,io操作,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_47,设备访问,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_48,数据运算,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_49,门限,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_50,三段延时,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_51,段延时,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_52,流水线处,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_53,模块,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_54,接收数据流,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_55,延时累积,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_56,变采样率波,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_57,三段式处理逻辑,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_58,处理逻辑,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_59,单段式,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_60,系统,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_61,链路,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_62,持续累积,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_63,信号,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_64,变样滤波运算,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_65,1packet,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_66,变采样滤波运算,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_67,程序调用,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_68,量级,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_69,单次滤波运算,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_70,物理层接收链路,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_71,sse指令集,4,1
基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_2级_19,基于流水线的单模块并行优化,基于SDR的D2D验证平台系统架构与实时处理保障技术.txt_知识点_72,算法效率,4,1
