,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
volte测试,2,0,6,8,2,0,6,24,5.683333333333334
测试,0,0,14,17,21,8,6,66,12.333333333333334
volte测试例,0,0,0,1,1,0,0,2,0.3666666666666667
ttcn,0,0,0,4,0,9,0,13,2.675
测试例,1,1,5,8,6,0,2,23,6.558333333333334
td-lte系统,0,0,0,4,0,0,0,4,0.5
volte测试平台,0,0,0,3,0,0,1,4,0.6166666666666667
sip&sdp技,0,0,0,1,0,0,0,1,0.125
volte网络架构,1,0,1,4,0,0,1,7,1.8666666666666667
模块,0,0,7,7,1,0,0,15,1.9916666666666667
软硬件架构,1,0,0,1,0,0,0,2,1.125
td-lte业务测试仪,0,0,2,4,1,0,0,7,0.9916666666666667
sdp,0,0,0,1,15,3,0,19,4.475
sip,0,0,0,10,1,3,0,14,2.216666666666667
volte架构,0,0,0,1,0,0,0,1,0.125
平台,1,0,7,2,0,1,0,11,2.3666666666666667
开发,0,0,0,1,0,0,0,1,0.125
业务测试系统,0,0,0,3,0,0,0,3,0.375
td.lte,0,0,0,1,0,0,0,1,0.125
prack,0,0,0,1,12,6,0,19,4.475
消息结构,0,0,0,0,0,13,0,13,3.1416666666666666
invite,0,0,0,5,17,11,0,33,7.391666666666667
ue,0,0,0,0,41,10,0,51,12.325
ack,0,0,0,2,4,5,0,11,2.425
视频主叫测试,1,0,2,0,4,3,1,11,3.1833333333333336
tsmanager软件,0,0,0,0,0,3,0,3,0.725
fifej,0,0,0,0,0,1,0,1,0.24166666666666667
storpointtsmanage,0,0,0,0,0,1,0,1,0.24166666666666667
ts_manager软件,0,0,0,0,0,1,0,1,0.24166666666666667
测试点,1,0,3,3,14,4,0,25,6.1
ue会话,0,0,0,0,0,1,0,1,0.24166666666666667
挂机请求,0,0,0,0,1,2,0,3,0.725
proxr,0,0,0,0,0,1,0,1,0.24166666666666667
netwo,0,0,0,0,0,1,0,1,0.24166666666666667
rk,0,0,0,0,0,2,0,2,0.48333333333333334
fppnet,0,0,0,0,0,2,0,2,0.48333333333333334
rnicool,0,0,0,0,0,1,0,1,0.24166666666666667
cootenx,0,0,0,0,0,1,0,1,0.24166666666666667
ebeader,0,0,0,0,0,1,0,1,0.24166666666666667
if,0,0,0,0,0,1,0,1,0.24166666666666667
na-iocaii,0,0,0,0,0,1,0,1,0.24166666666666667
dstpert,0,0,0,0,0,1,0,1,0.24166666666666667
srcfort,0,0,0,0,0,1,0,1,0.24166666666666667
ag,0,0,0,0,0,1,0,1,0.24166666666666667
视频通话,0,0,0,0,6,1,0,7,1.6916666666666667
cs,0,0,0,0,2,8,0,10,2.4166666666666665
最终响应,0,0,0,6,0,1,0,7,0.9916666666666667
prack消息,0,0,0,0,0,1,0,1,0.24166666666666667
prsxy,0,0,0,0,0,1,0,1,0.24166666666666667
警峯峯,0,0,0,0,0,1,0,1,0.24166666666666667
ringing,0,0,0,0,1,1,0,2,0.48333333333333334
update请求,0,0,0,0,0,1,0,1,0.24166666666666667
sdp消息体,0,0,0,2,0,2,0,4,0.7333333333333334
终端,1,0,10,22,36,12,0,81,16.6
progresssession,0,0,0,0,0,1,0,1,0.24166666666666667
ing,0,0,0,0,4,2,0,6,1.45
sessioaids,0,0,0,0,0,1,0,1,0.24166666666666667
ers,0,0,0,0,0,1,0,1,0.24166666666666667
co,0,0,0,0,0,2,0,2,0.48333333333333334
iption,0,0,0,0,0,1,0,1,0.24166666666666667
