parent_url,parent_name,this_url,name,level
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_1,绪论1,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_1,研究背景与意义1,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_1,绪论1,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_2,基于Wi-Fi的行为感知研究现状3,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_1,绪论1,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_3,论文主要研究内容4,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_1,绪论1,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_4,论文结构安排6,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_2,基于Wi-Fi行为感知的理论基础8,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_5,无线信道状态信息简介8,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_2,基于Wi-Fi行为感知的理论基础8,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_6,基于Wi-Fi的目标行为感知11,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_2,基于Wi-Fi行为感知的理论基础8,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_7,基于神经网络的活动识别方法13,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_2,基于Wi-Fi行为感知的理论基础8,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_8,强化学习技术16,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_2,基于Wi-Fi行为感知的理论基础8,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_9,本章小结19,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_3,基于Wi-Fi的行为感知分辨率提升机制20,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_10,分辨率提升机制的意义20,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_3,基于Wi-Fi的行为感知分辨率提升机制20,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_11,机制设计21,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_3,基于Wi-Fi的行为感知分辨率提升机制20,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_12,信道切换和聚合算法23,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_3,基于Wi-Fi的行为感知分辨率提升机制20,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_13,场景设置24,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_3,基于Wi-Fi的行为感知分辨率提升机制20,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_14,结果分析28,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_3,基于Wi-Fi的行为感知分辨率提升机制20,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_15,本章小结35,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_4,多Wi-Fi协作下最佳感知链路选择机制36,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_16,密集Wi-Fi场景下最佳感知链路选择的意义36,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_4,多Wi-Fi协作下最佳感知链路选择机制36,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_17,3基于CNN的分类网络39,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_4,多Wi-Fi协作下最佳感知链路选择机制36,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_18,基于强化学习的智能链路选择策略40,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_4,多Wi-Fi协作下最佳感知链路选择机制36,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_19,场景设置41,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_4,多Wi-Fi协作下最佳感知链路选择机制36,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_20,结果分析43,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_4,多Wi-Fi协作下最佳感知链路选择机制36,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_21,本章小结50,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_5,总结和展望51,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_22,论文工作成果总结51,2
基于Wi-Fi的行为感知系统中精度提升技术研究_1级_5,总结和展望51,基于Wi-Fi的行为感知系统中精度提升技术研究_2级_23,未来工作展望52,2
