dissertation,name,this_url,language
基于Wi-Fi的行为感知系统中精度提升技术研究,Wi-Fi信道状态信息,基于Wi-Fi的行为感知系统中精度提升技术研究_关键词_1,中文
基于Wi-Fi的行为感知系统中精度提升技术研究,行为感知,基于Wi-Fi的行为感知系统中精度提升技术研究_关键词_2,中文
基于Wi-Fi的行为感知系统中精度提升技术研究,精度提升,基于Wi-Fi的行为感知系统中精度提升技术研究_关键词_3,中文
基于Wi-Fi的行为感知系统中精度提升技术研究,信道切换和聚合,基于Wi-Fi的行为感知系统中精度提升技术研究_关键词_4,中文
基于Wi-Fi的行为感知系统中精度提升技术研究,最优链路选择,基于Wi-Fi的行为感知系统中精度提升技术研究_关键词_5,中文
基于Wi-Fi的行为感知系统中精度提升技术研究,Wi-Fi CSI,基于Wi-Fi的行为感知系统中精度提升技术研究_keyword_6,英文
基于Wi-Fi的行为感知系统中精度提升技术研究,behavior sensing,基于Wi-Fi的行为感知系统中精度提升技术研究_keyword_7,英文
基于Wi-Fi的行为感知系统中精度提升技术研究,precision improvement,基于Wi-Fi的行为感知系统中精度提升技术研究_keyword_8,英文
基于Wi-Fi的行为感知系统中精度提升技术研究,channel switching and aggregation,基于Wi-Fi的行为感知系统中精度提升技术研究_keyword_9,英文
基于Wi-Fi的行为感知系统中精度提升技术研究,optimal link selection,基于Wi-Fi的行为感知系统中精度提升技术研究_keyword_10,英文
