,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
wi-fi信号,0,0,20,15,7,6,4,52,8.483333333333334
分辨率,0,0,11,2,19,0,6,38,7.666666666666667
wi-fi,2,0,33,12,19,40,13,119,25.025
带宽,3,0,8,10,14,0,5,40,9.841666666666667
wi-fi信道,6,0,4,2,10,0,4,26,10.133333333333333
行为感知技术,1,0,10,1,2,3,2,19,4.066666666666666
链路,4,0,18,1,0,52,8,83,20.875
csi,3,0,10,20,13,7,5,58,12.791666666666668
信号,0,0,6,4,7,1,4,22,4.15
多径分辨率,0,0,6,0,2,0,2,10,1.7166666666666668
神经网络,0,0,6,3,2,7,4,22,4.266666666666667
聚合信道,1,0,2,0,9,0,2,14,3.908333333333333
聚合机制,1,0,2,0,1,0,2,6,1.975
快速切换,0,0,2,0,1,0,2,5,0.975
多信道,0,0,2,1,2,0,2,7,1.3416666666666668
信号带宽,0,0,3,0,2,0,2,7,1.3416666666666668
感知链路,1,0,7,2,0,18,2,30,6.958333333333333
目标行,0,0,3,0,1,1,1,6,1.1
感知效果,0,0,4,0,0,0,0,4,0.5
子载波,0,0,6,11,2,2,2,23,3.575
行为感知精度,0,0,2,0,0,0,1,3,0.4916666666666667
目标,1,0,8,1,4,0,3,17,3.8166666666666664
wi-fi设备,1,0,20,2,0,12,3,38,7.375
感知,0,0,7,0,2,3,1,13,2.325
高时间分辨率信号,0,0,1,0,1,0,1,3,0.6083333333333334
神经网络模块,0,0,2,0,1,0,2,5,0.975
特征图像,0,0,2,4,2,1,2,11,1.9583333333333333
空间域特征,0,0,2,0,1,1,2,6,1.2166666666666668
频域特征,0,0,2,0,1,1,2,6,1.2166666666666668
时域特征,0,0,2,0,1,1,2,6,1.2166666666666668
特征,0,0,2,0,9,0,1,12,2.6666666666666665
相位,0,0,2,8,3,1,2,16,2.7
csi幅度,0,0,2,6,4,3,2,17,3.175
特征提取模块,1,0,2,0,6,1,2,12,3.425
空间域,1,0,2,0,1,1,2,7,2.216666666666667
频域,1,0,2,3,1,1,2,10,2.591666666666667
时域,1,0,2,2,1,2,2,10,2.708333333333333
可切换信道,1,0,2,1,2,0,1,7,2.1
丢包,0,0,1,0,3,0,1,5,1.0916666666666668
信道切换,0,0,2,1,12,0,1,16,3.5166666666666666
重传机制,0,0,1,0,1,0,1,3,0.6083333333333334
确认,0,0,1,0,2,0,1,4,0.85
csi数据,0,0,2,1,2,2,1,8,1.5833333333333333
时间,0,0,1,1,5,1,1,9,1.9416666666666667
切换,0,0,1,0,0,0,1,2,0.3666666666666667
聚合算法,0,0,2,1,9,0,1,13,2.7916666666666665
感知分辨率提升机,0,0,1,1,1,0,0,3,0.4916666666666667
目标状态,1,0,2,0,0,0,1,4,1.4916666666666667
信道带宽,1,0,2,0,2,0,1,6,1.975
wi-fi网卡,0,0,2,2,2,0,1,7,1.225
状态,0,0,5,8,2,5,2,22,3.8
活动目标,0,0,1,0,1,0,1,3,0.6083333333333334
多径长度,0,0,1,0,1,0,1,3,0.6083333333333334
时间分辨率,0,0,1,5,1,0,1,8,1.2333333333333334
多径到达时间,0,0,2,0,0,0,1,3,0.4916666666666667
目标行为感知,0,0,5,0,1,3,0,9,1.5916666666666668
多径信号,0,0,1,0,1,0,0,2,0.3666666666666667
择机制,0,0,2,0,0,4,0,6,1.2166666666666668
最佳感知链路,0,0,1,0,0,0,0,1,0.125
