,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
二元组,2,0,2,1,10,3,0,0,18,4.731249999999999
恶意代码,4,0,10,81,11,0,6,0,112,18.45625
特征矩阵,0,0,1,0,2,0,0,0,3,0.4875
恶意家族,1,0,0,1,24,4,8,1,39,7.83125
迭代,0,0,0,0,2,0,0,0,2,0.3625
二元组矩阵,1,0,0,0,2,0,0,0,3,1.3625
winapi,0,0,0,1,1,0,0,0,2,0.30625
识库,1,0,0,0,2,0,0,0,3,1.3625
恶意样本特征,1,0,0,0,2,0,0,0,3,1.3625
调用信息,2,0,0,0,3,1,0,0,6,2.725
api调用信息,1,0,0,0,2,0,0,0,3,1.3625
windowsapi调用信息,0,0,0,0,1,0,0,0,1,0.18125
windowsapi调用序列,0,0,0,0,2,0,0,0,2,0.3625
反汇编,1,0,3,9,5,0,0,0,18,3.40625
样本,1,0,1,2,15,5,2,4,30,6.0874999999999995
特征知识库,1,0,0,0,3,0,0,0,4,1.54375
特征,0,0,2,1,3,0,0,0,6,0.91875
解密,0,0,0,0,3,0,0,0,3,0.54375
脱壳,0,0,0,3,7,0,0,0,10,1.64375
加密,0,0,0,6,2,0,0,0,8,1.1125
加壳,0,0,0,3,3,0,0,0,6,0.91875
恶意样本,0,0,0,0,5,2,4,1,12,2.175
恶意代祖检测系统,0,0,0,0,1,0,0,0,1,0.18125
windowsapi,2,0,2,11,9,0,4,0,28,5.981249999999999
恶意代码伪装技术,0,0,0,7,0,0,2,0,9,1.2375
相似性,0,0,0,1,14,3,2,0,20,3.56875
恶意代码分析技术,0,0,0,1,0,0,1,0,2,0.30625
反恶意代码技术,0,0,0,0,0,0,1,0,1,0.18125
恶意代码技术,0,0,0,0,0,0,1,0,1,0.18125
软性,0,0,0,0,0,0,1,0,1,0.18125
反病毒,0,0,0,1,0,0,1,0,2,0.30625
恶意程序,0,0,1,12,1,0,3,0,17,2.35
反恶意技术,0,0,0,0,0,0,1,0,1,0.18125
恶意代码分析,0,0,1,2,0,0,1,0,4,0.55625
数据,0,0,0,2,1,6,2,0,11,1.8812499999999999
自动分析技术,0,0,0,0,0,0,1,0,1,0.18125
手工分析,0,0,0,0,0,0,1,0,1,0.18125
恶意代码检测系统,1,0,2,1,3,0,4,0,11,2.64375
系统测试,0,0,0,0,0,1,1,0,2,0.3625
