parent_url,parent_name,this_url,name,level
基于co-training与核函数的关系抽取技术研究_1级_1,绪论1,基于co-training与核函数的关系抽取技术研究_2级_1,引言1,2
基于co-training与核函数的关系抽取技术研究_1级_1,绪论1,基于co-training与核函数的关系抽取技术研究_2级_2,关系抽取的历史3,2
基于co-training与核函数的关系抽取技术研究_1级_1,绪论1,基于co-training与核函数的关系抽取技术研究_2级_3,关系抽取研究现状4,2
基于co-training与核函数的关系抽取技术研究_1级_1,绪论1,基于co-training与核函数的关系抽取技术研究_2级_4,论文主要工作及研究成果8,2
基于co-training与核函数的关系抽取技术研究_1级_1,绪论1,基于co-training与核函数的关系抽取技术研究_2级_5,论文结构安排9,2
基于co-training与核函数的关系抽取技术研究_1级_2,半监督关系抽取的相关技术与理论11,基于co-training与核函数的关系抽取技术研究_2级_6,关系抽取理论研究11,2
基于co-training与核函数的关系抽取技术研究_1级_2,半监督关系抽取的相关技术与理论11,基于co-training与核函数的关系抽取技术研究_2级_7,半监督关系抽取技术12,2
基于co-training与核函数的关系抽取技术研究_1级_2,半监督关系抽取的相关技术与理论11,基于co-training与核函数的关系抽取技术研究_2级_8,语料集和评价标准:15,2
基于co-training与核函数的关系抽取技术研究_1级_2,半监督关系抽取的相关技术与理论11,基于co-training与核函数的关系抽取技术研究_2级_9,本章小结16,2
基于co-training与核函数的关系抽取技术研究_1级_3,防止语义漂移的cotraining关系抽取改进算法17,基于co-training与核函数的关系抽取技术研究_2级_10,算法分析与流程17,2
基于co-training与核函数的关系抽取技术研究_1级_3,防止语义漂移的cotraining关系抽取改进算法17,基于co-training与核函数的关系抽取技术研究_2级_11,算法设计20,2
基于co-training与核函数的关系抽取技术研究_1级_3,防止语义漂移的cotraining关系抽取改进算法17,基于co-training与核函数的关系抽取技术研究_2级_12,防止语义漂移公式23,2
基于co-training与核函数的关系抽取技术研究_1级_3,防止语义漂移的cotraining关系抽取改进算法17,基于co-training与核函数的关系抽取技术研究_2级_13,实验设计25,2
基于co-training与核函数的关系抽取技术研究_1级_3,防止语义漂移的cotraining关系抽取改进算法17,基于co-training与核函数的关系抽取技术研究_2级_14,实验结果分析26,2
基于co-training与核函数的关系抽取技术研究_1级_3,防止语义漂移的cotraining关系抽取改进算法17,基于co-training与核函数的关系抽取技术研究_2级_15,本章小结26,2
基于co-training与核函数的关系抽取技术研究_1级_4,基于wordembedding的cotraining关系抽取算法27,基于co-training与核函数的关系抽取技术研究_2级_16,Wordembedding与关系抽取27,2
基于co-training与核函数的关系抽取技术研究_1级_4,基于wordembedding的cotraining关系抽取算法27,基于co-training与核函数的关系抽取技术研究_2级_17,WordEmbedding的应用29,2
基于co-training与核函数的关系抽取技术研究_1级_4,基于wordembedding的cotraining关系抽取算法27,基于co-training与核函数的关系抽取技术研究_2级_18,实验设计33,2
基于co-training与核函数的关系抽取技术研究_1级_4,基于wordembedding的cotraining关系抽取算法27,基于co-training与核函数的关系抽取技术研究_2级_19,结果分析:34,2
基于co-training与核函数的关系抽取技术研究_1级_5,基于核函数的cotraining关系抽取算法35,基于co-training与核函数的关系抽取技术研究_2级_20,核函数的模型建立35,2
基于co-training与核函数的关系抽取技术研究_1级_5,基于核函数的cotraining关系抽取算法35,基于co-training与核函数的关系抽取技术研究_2级_21,有监督与co-training关系抽取算法结合37,2
基于co-training与核函数的关系抽取技术研究_1级_5,基于核函数的cotraining关系抽取算法35,基于co-training与核函数的关系抽取技术研究_2级_22,实验结果分析39,2
基于co-training与核函数的关系抽取技术研究_1级_5,基于核函数的cotraining关系抽取算法35,基于co-training与核函数的关系抽取技术研究_2级_23,本章小结40,2
基于co-training与核函数的关系抽取技术研究_1级_6,KBP关系抽取系统搭建41,基于co-training与核函数的关系抽取技术研究_2级_24,关系抽取任务介绍41,2
基于co-training与核函数的关系抽取技术研究_1级_6,KBP关系抽取系统搭建41,基于co-training与核函数的关系抽取技术研究_2级_25,KBP关系抽取系统搭建44,2
基于co-training与核函数的关系抽取技术研究_1级_6,KBP关系抽取系统搭建41,基于co-training与核函数的关系抽取技术研究_2级_26,系统成果与总结47,2
基于co-training与核函数的关系抽取技术研究_1级_7,总结和展望48,基于co-training与核函数的关系抽取技术研究_2级_27,成果总结48,2
基于co-training与核函数的关系抽取技术研究_1级_7,总结和展望48,基于co-training与核函数的关系抽取技术研究_2级_28,不足与展望49,2
