,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
运营商,4,0,10,5,6,3,1,4,33,8.4125
用户,3,0,21,16,19,8,11,2,80,14.875
数据,0,0,7,4,2,6,0,0,19,2.825
网络,2,0,12,10,2,1,13,1,41,7.83125
聚类算法,0,0,6,14,7,0,0,1,28,3.95
携号转网,0,0,4,0,0,0,0,0,4,0.5
投诉用户,2,0,3,0,0,5,3,1,14,4.00625
分类算法,0,0,4,10,0,3,0,0,17,2.29375
用户感知,1,0,2,0,0,0,0,0,3,1.25
数据挖掘,0,0,3,2,0,0,0,0,5,0.625
电信业,0,0,2,0,0,0,0,0,2,0.25
数据挖掘技术,0,0,3,0,0,0,0,0,3,0.375
投诉预警,0,1,5,0,1,0,0,2,9,3.16875
服务,0,0,2,2,1,1,0,0,6,0.8625
业务,0,0,2,2,0,0,1,0,5,0.68125
用户满意度,1,1,3,4,0,0,0,0,9,3.875
用户关怀体系,1,0,3,0,0,0,0,0,4,1.375
优先级,2,0,2,0,0,0,5,1,10,3.3375
大数据技,0,0,1,0,0,0,0,0,1,0.125
数据挖掘算法,1,0,4,0,3,0,0,1,9,2.225
网络投诉预警,1,0,2,0,0,4,0,0,7,1.975
用户网络满意度,0,0,1,1,0,0,0,1,3,0.43125
智能信息服务,0,0,1,0,0,0,0,0,1,0.125
限量套餐,0,0,1,0,0,0,0,0,1,0.125
低价套餐,0,0,1,0,0,0,0,0,1,0.125
提速降费,0,0,1,0,0,0,0,0,1,0.125
复杂模型,0,0,1,0,0,0,0,0,1,0.125
算法时间复杂度,0,0,1,0,0,0,0,0,1,0.125
数据量,0,0,3,0,0,1,0,0,4,0.55625
性能,0,0,3,8,5,8,11,0,35,5.725
精度,0,0,1,2,0,0,0,0,3,0.375
组合模型,0,0,1,0,0,0,0,0,1,0.125
模型,1,0,3,5,1,4,0,0,14,2.90625
用户流失预测,0,0,1,0,0,0,0,0,1,0.125
分类模型,0,0,1,11,0,3,0,0,15,2.04375
生产经营,0,0,1,0,0,0,0,0,1,0.125
聚类,0,0,7,6,17,0,0,0,30,4.70625
标记数据,0,0,1,1,0,0,0,0,2,0.25
无监督学习过程,0,0,1,1,0,0,0,0,2,0.25
无标记数据,0,0,1,0,0,0,0,0,1,0.125
内在结构,0,0,1,0,0,0,0,0,1,0.125
智能商务,0,0,1,0,0,0,0,0,1,0.125
生物医学,0,0,1,0,0,0,0,0,1,0.125
信息检索,0,0,1,0,0,0,0,0,1,0.125
聚类分析,0,0,1,2,0,0,0,0,3,0.375
特征构造,1,0,3,1,5,0,0,0,10,2.40625
奇异值,0,0,2,0,6,0,0,0,8,1.3375
预处理过程,0,0,1,0,0,0,0,0,1,0.125
图像识别,0,0,1,0,0,0,0,0,1,0.125
用户分群,1,0,6,2,7,1,0,2,19,3.8125
分布结构,0,0,1,0,0,0,0,0,1,0.125
基础算法,0,0,1,1,0,0,0,0,2,0.25
数字化,0,0,1,0,0,0,0,0,1,0.125
智慧化运营,0,0,1,0,0,0,0,0,1,0.125
精细化运营,0,0,1,0,0,0,0,0,1,0.125
群组,0,0,1,1,1,0,0,0,3,0.43125
个性化,0,0,1,0,1,0,0,0,2,0.30625
投诉行,0,0,1,0,0,0,0,0,1,0.125
预警用户,0,0,1,0,0,0,0,0,1,0.125
分销策略,0,0,1,0,0,0,0,0,1,0.125
用户消费,0,0,1,0,0,0,0,0,1,0.125
服务质量,0,0,1,1,0,0,0,0,2,0.25
资源,0,0,1,0,0,0,0,0,1,0.125
商业动向,0,0,1,0,0,0,0,0,1,0.125
电信运营商,0,0,2,2,0,0,0,0,4,0.5
上网行为数据,0,0,1,0,0,0,0,0,1,0.125
通话行为数据,0,0,1,0,0,0,0,0,1,0.125
app使用信息,0,0,1,0,0,0,0,0,1,0.125
消费信息,0,0,1,0,0,0,0,0,1,0.125
终端信息,0,0,1,0,2,0,0,0,3,0.4875
基本信息,0,0,1,0,2,1,0,0,4,0.66875
运营商大数据平台,0,0,1,0,0,0,0,0,1,0.125
移动用户,0,0,1,0,0,1,0,0,2,0.30625
事后,0,0,1,0,0,0,0,0,1,0.125
投诉管理,1,0,1,0,0,1,0,1,4,1.4875
资费,0,0,1,0,3,0,0,0,4,0.66875
内容应用,0,0,1,0,0,0,0,0,1,0.125
移动互联网,0,0,1,0,0,0,0,0,1,0.125
通信,0,0,1,0,0,0,0,0,1,0.125
移动用户基数,0,0,1,0,0,0,0,0,1,0.125
价值模式,0,0,1,0,0,0,0,0,1,0.125
用户体验,1,0,1,6,0,1,1,1,11,2.41875
存量经营,0,0,1,0,0,0,0,0,1,0.125
获客,0,0,1,0,0,0,0,0,1,0.125
数据业务,0,0,1,0,0,0,0,0,1,0.125
携号转网服务,0,0,1,0,0,0,0,0,1,0.125
工信部,0,0,1,0,0,0,0,0,1,0.125
约束,0,0,7,0,1,0,0,1,9,1.2375
半监督聚类,1,1,4,1,0,0,0,0,7,3.625
基聚类,0,0,3,0,0,0,0,0,3,0.375
ml-elm,0,0,3,0,0,0,0,0,3,0.375
seeds集,0,0,3,0,0,0,0,0,3,0.375
监督信息,0,0,3,0,5,0,0,0,8,1.28125
先验信息,0,0,2,0,1,0,0,0,3,0.43125
种子k-means,0,0,2,0,0,0,0,0,2,0.25
k-means,0,0,2,0,4,0,0,0,6,0.975
特征空间,0,0,2,0,0,0,0,0,2,0.25
中心点,0,0,2,0,0,0,0,0,2,0.25
聚类过程,0,0,2,0,1,0,0,0,3,0.43125
聚类中心,0,0,3,1,27,0,0,0,31,5.39375
快速聚类,0,0,2,0,1,0,0,0,3,0.43125
密度峰值,1,0,2,0,1,0,0,0,4,1.43125
cop-kmeans算法,0,0,2,0,0,0,0,0,2,0.25
模糊聚类,0,0,2,0,0,0,0,0,2,0.25
半监督学习,0,0,2,2,0,0,0,0,4,0.5
半监督聚类算法,0,0,8,4,6,0,0,1,19,2.76875
高维数据,0,0,1,1,0,2,0,0,4,0.6125
分层特征抽样,0,0,1,0,0,0,0,0,1,0.125
半监督集成聚类算法,0,0,1,0,0,0,0,0,1,0.125
聚类性能,0,0,1,0,0,0,0,0,1,0.125
约束集,0,0,1,0,0,0,0,0,1,0.125
损耗,0,0,1,0,0,0,0,0,1,0.125
聚类框架,0,0,1,0,0,0,0,0,1,0.125
非参数神经网络,0,0,1,0,0,0,0,0,1,0.125
聚类结,0,0,3,0,9,0,0,1,13,2.1875
无监督,0,0,1,0,0,0,0,0,1,0.125
多层极限学习机,0,0,1,0,0,0,0,0,1,0.125
边界,0,0,1,2,0,0,0,0,3,0.375
相似性,0,0,1,0,0,0,0,0,1,0.125
贝叶斯,0,0,1,0,0,0,0,0,1,0.125
类标签,0,0,1,0,0,0,0,0,1,0.125
相似度矩阵,0,0,1,0,0,0,0,0,1,0.125
贝叶斯信息,0,0,1,0,0,0,0,0,1,0.125
聚类质量,0,0,1,0,0,0,0,0,1,0.125
注释,0,0,1,0,0,0,0,0,1,0.125
约束传播,0,0,1,0,0,0,0,0,1,0.125
无监督谱聚类,0,0,1,0,0,0,0,0,1,0.125
成对约束,0,0,1,1,1,0,0,0,3,0.43125
成对约束条件,0,0,1,0,0,0,0,0,1,0.125
本质特征,0,0,1,0,0,0,0,0,1,0.125
样本,0,0,3,11,7,15,3,0,39,6.28125
非负矩阵分解,0,0,1,0,0,0,0,0,1,0.125
nmf,0,0,1,0,0,0,0,0,1,0.125
fcm,0,0,1,0,0,0,0,0,1,0.125
陶性留,0,0,1,0,0,0,0,0,1,0.125
决策图,0,0,1,0,2,0,0,0,3,0.4875
节点密度,0,0,1,0,0,0,0,0,1,0.125
相对密度度量,0,0,1,0,0,0,0,0,1,0.125
半监督,0,0,1,0,0,0,0,0,1,0.125
数量,0,0,1,0,0,0,1,0,2,0.30625
聚簇中心,0,0,1,0,0,0,0,0,1,0.125
距离,0,0,1,8,9,0,0,0,18,2.7562499999999996
密度,0,0,1,0,4,0,0,0,5,0.85
聚类过,0,0,1,0,0,0,0,0,1,0.125
标记样本,0,0,1,0,0,0,0,0,1,0.125
性能口,0,0,1,0,0,0,0,0,1,0.125
加权关联,0,0,1,0,0,0,0,0,1,0.125
约束冲突,0,0,1,0,0,0,0,0,1,0.125
cop-kmeans,0,0,1,0,0,0,0,0,1,0.125
icop-kmeans算法,0,0,1,0,0,0,0,0,1,0.125
约束条件,0,0,1,0,5,0,0,0,6,1.03125
cannot-link,0,0,1,0,0,0,0,0,1,0.125
must-link约束,0,0,1,0,1,0,0,0,2,0.30625
agstaffk,0,0,1,0,0,0,0,0,1,0.125
约束口,0,0,1,0,0,0,0,0,1,0.125
数据集,0,0,1,2,2,2,0,0,7,1.1
k-means算法,0,0,1,6,20,0,0,0,27,4.5
信息,0,0,3,0,1,2,3,0,9,1.4625
无监督学习算法,0,0,1,2,0,0,0,0,3,0.375
