,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
观测值,12,0,50,32,53,29,20,0,196,40.7375
传感器,5,0,39,20,8,43,7,0,122,22.8875
能量,1,0,4,0,1,3,4,0,13,2.95
通信,2,0,15,10,10,0,6,0,43,8.025
目标通信,1,0,3,0,8,1,13,0,26,5.3625
测量噪声,0,0,4,6,5,2,8,0,25,3.96875
信号,0,0,4,0,1,0,1,0,6,0.8625
有用信号,0,0,10,0,0,0,0,0,10,1.25
噪声分量,0,0,5,4,1,2,0,0,12,1.66875
状态,0,0,1,1,0,0,1,0,3,0.43125
损害,0,0,1,0,0,0,0,0,1,0.125
噪声,0,0,4,2,3,1,3,0,13,2.01875
能量利用率,0,0,3,0,0,0,0,0,3,0.375
传感器电池,0,0,1,0,0,0,0,0,1,0.125
水下车辆口,0,0,1,0,0,0,0,0,1,0.125
有效性,1,0,2,0,0,0,0,0,3,1.25
能源效率,0,0,4,0,0,0,0,0,4,0.5
处理中心,3,0,9,5,3,2,6,0,28,6.74375
纯噪声分量,0,0,1,0,0,0,0,0,1,0.125
位置信息,0,0,4,1,2,0,3,0,10,1.53125
动态移动特性,0,0,1,0,0,0,0,0,1,0.125
通信状态,1,0,10,15,7,0,7,0,40,6.6625
可靠性,1,0,2,0,0,1,1,0,5,1.6125
定位,1,1,5,0,0,1,3,0,11,4.35
目标状态,0,0,1,0,0,0,0,0,1,0.125
无用信号,0,0,1,0,0,0,0,0,1,0.125
纯噪声,0,0,1,0,0,0,0,0,1,0.125
时隙,2,0,11,13,24,1,9,0,60,11.1625
噪声污染,2,0,1,0,0,0,0,0,3,2.125
无人驾驶车辆,2,0,4,2,0,0,0,0,8,2.75
mde,0,0,7,0,0,0,0,0,7,0.875
定位算法,0,0,3,0,0,0,0,0,3,0.375
不通信,0,0,4,1,1,0,5,0,11,1.7125
检测,0,0,6,2,1,3,4,0,16,2.45
时隙不通信,0,0,3,0,0,0,0,0,3,0.375
目标通信状态,1,0,2,2,0,0,1,0,6,1.68125
能量消耗,0,0,2,1,0,0,7,0,10,1.64375
估计性能,0,0,2,0,0,0,0,0,2,0.25
snr,0,0,4,1,0,0,0,0,5,0.625
信噪比,0,0,1,0,0,0,0,0,1,0.125
序贯贝叶斯,0,0,1,0,0,0,0,0,1,0.125
动态位置,0,0,1,0,0,0,0,0,1,0.125
占用状态,0,0,1,0,0,0,0,0,1,0.125
信道,0,0,1,3,0,0,0,0,4,0.5
序贯贝叶斯过程,1,0,1,0,0,0,0,0,2,1.125
无线电网络,0,0,1,1,0,0,0,0,2,0.25
到达率,0,0,1,0,0,0,0,0,1,0.125
目标信号,0,0,1,0,0,0,0,0,1,0.125
故障,0,0,1,0,0,0,0,0,1,0.125
观测信号,0,0,1,0,0,0,0,0,1,0.125
环境,0,0,1,0,0,0,0,0,1,0.125
间歇问,0,0,1,0,0,0,0,0,1,0.125
间歇测量,0,0,1,0,0,0,0,0,1,0.125
定位误差,0,0,1,0,0,0,1,0,2,0.30625
自适应网络,0,0,1,0,0,0,0,0,1,0.125
卡尔曼滤波,0,0,1,0,0,0,0,0,1,0.125
物体,0,0,1,0,0,0,0,0,1,0.125
权重,0,0,2,0,23,0,2,0,27,4.78125
rss信号,0,0,1,0,0,0,0,0,1,0.125
耳标,0,0,1,0,0,0,0,0,1,0.125
均方误差,0,0,1,0,0,0,0,0,1,0.125
估计,0,0,2,0,0,0,3,0,5,0.79375
动态移动,0,0,1,0,0,0,0,0,1,0.125
二元检测算法,0,0,1,0,0,0,0,0,1,0.125
能量检测器口,0,0,1,0,0,0,0,0,1,0.125
无人驾驶网络,0,0,1,0,0,0,0,0,1,0.125
