parent_url,parent_name,this_url,name,level
基于时空融合的多媒体事件检测_2级_4,当前主流框架,基于时空融合的多媒体事件检测_3级_1,基于语义表达的多媒体事件检测,3
基于时空融合的多媒体事件检测_2级_4,当前主流框架,基于时空融合的多媒体事件检测_3级_2,基于平均帧方法的多媒体事件检测,3
基于时空融合的多媒体事件检测_2级_6,优势与创新点,基于时空融合的多媒体事件检测_3级_3,框架优势,3
基于时空融合的多媒体事件检测_2级_6,优势与创新点,基于时空融合的多媒体事件检测_3级_4,创新点,3
基于时空融合的多媒体事件检测_2级_7,DT/IDT特征,基于时空融合的多媒体事件检测_3级_5,光流图的计算,3
基于时空融合的多媒体事件检测_2级_7,DT/IDT特征,基于时空融合的多媒体事件检测_3级_6,轨迹跟踪,3
基于时空融合的多媒体事件检测_2级_7,DT/IDT特征,基于时空融合的多媒体事件检测_3级_7,轨迹特征计算,3
基于时空融合的多媒体事件检测_2级_7,DT/IDT特征,基于时空融合的多媒体事件检测_3级_8,IDT与CNN对比实验,3
基于时空融合的多媒体事件检测_2级_8,基于CNN的密集局部特征,基于时空融合的多媒体事件检测_3级_9,卷积神经网络,3
基于时空融合的多媒体事件检测_2级_8,基于CNN的密集局部特征,基于时空融合的多媒体事件检测_3级_10,CNN特征图响应机制,3
基于时空融合的多媒体事件检测_2级_8,基于CNN的密集局部特征,基于时空融合的多媒体事件检测_3级_11,图像与网络尺寸的适配,3
基于时空融合的多媒体事件检测_2级_8,基于CNN的密集局部特征,基于时空融合的多媒体事件检测_3级_12,密集局部特征,3
基于时空融合的多媒体事件检测_2级_8,基于CNN的密集局部特征,基于时空融合的多媒体事件检测_3级_13,网络模型对比实验,3
基于时空融合的多媒体事件检测_2级_8,基于CNN的密集局部特征,基于时空融合的多媒体事件检测_3级_14,,3
基于时空融合的多媒体事件检测_2级_8,基于CNN的密集局部特征,基于时空融合的多媒体事件检测_3级_15,优化策略,3
基于时空融合的多媒体事件检测_2级_9,基于CNN的显著区域特征,基于时空融合的多媒体事件检测_3级_16,显著性思想,3
基于时空融合的多媒体事件检测_2级_9,基于CNN的显著区域特征,基于时空融合的多媒体事件检测_3级_17,Iception结构,3
