,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
自注意机制,2,0,5,0,12,43,8,70,17.85
注意力机制,3,1,11,16,10,24,0,65,16.59166666666667
复合测度,0,0,3,0,4,0,0,7,1.3416666666666668
单通道语音增强,0,0,4,0,1,0,0,5,0.7416666666666667
卷积网络,1,0,5,3,13,10,5,37,8.766666666666666
全卷积神经网络,1,1,6,0,17,6,3,34,10.033333333333333
语音质量,1,0,4,0,7,8,0,20,5.125
损失函数,0,0,4,0,14,2,2,22,4.85
二维,1,0,2,0,8,5,4,20,5.358333333333333
aaunet,3,0,3,0,27,13,1,47,13.283333333333333
注意力,2,0,3,7,17,6,2,37,9.291666666666668
通道数,1,0,3,3,10,5,3,25,6.1
卷积运算,2,0,5,9,11,18,3,48,11.483333333333334
语音质量感知评价,0,0,2,0,0,0,0,2,0.25
stoi,1,0,2,0,14,9,0,26,6.808333333333334
网络参数,0,0,3,0,0,4,1,8,1.5833333333333333
模型性能,0,0,2,0,1,3,0,6,1.2166666666666668
ovl,0,0,1,0,4,8,0,13,3.025
bak,0,0,1,0,8,5,0,14,3.2666666666666666
噪声失真,0,0,1,0,1,0,0,2,0.3666666666666667
sig,0,0,1,0,6,2,0,9,2.0583333333333336
信号失真,0,0,1,0,1,0,0,2,0.3666666666666667
短时客观可懂度,0,0,1,0,1,0,0,2,0.3666666666666667
性能提升,0,0,1,0,0,0,0,1,0.125
未知噪声抑制,1,0,1,0,0,0,0,2,1.125
可懂度,1,0,2,0,3,1,0,7,2.216666666666667
感知能力,1,0,1,0,0,1,1,4,1.6083333333333334
距离,1,0,1,1,0,1,1,5,1.7333333333333334
多值矩阵,1,0,1,0,0,2,1,5,1.85
运算区域,1,0,1,0,0,0,1,3,1.3666666666666667
saunet,1,0,3,0,0,34,0,38,9.591666666666667
语音增强模型,1,0,5,0,1,11,2,20,5.008333333333333
性能,2,0,6,1,18,11,3,41,10.608333333333334
语音,1,0,13,0,27,7,2,50,11.325
全注意力机制,0,0,1,0,0,1,1,3,0.6083333333333334
自注意力机制,0,0,2,5,14,1,3,25,5.225
网络模型,0,0,2,1,10,4,2,19,4.241666666666667
鲁棒性,0,0,1,0,3,2,1,7,1.575
噪声,0,0,13,0,14,3,1,31,5.975
huberloss,0,0,1,0,11,3,3,18,4.233333333333333
局语境,1,0,1,0,4,0,1,7,2.333333333333333
卷积,1,0,1,2,7,9,3,23,5.966666666666667
注意力通道,1,0,1,0,9,1,0,12,3.5416666666666665
通道,1,0,3,1,10,2,4,21,5.366666666666667
全卷积网络,1,0,2,0,0,1,1,5,1.7333333333333334
目标检测,0,0,2,0,1,0,0,3,0.4916666666666667
图像识别,0,0,1,0,1,0,0,2,0.3666666666666667
位置编码,0,0,1,0,1,2,0,4,0.85
数据,0,0,3,3,2,1,0,9,1.475
自注意力,0,0,1,0,6,1,1,9,2.0583333333333336
二维相对自注意机制,0,0,2,0,2,0,0,4,0.7333333333333334
谷歌大脑团队,0,0,1,0,0,0,0,1,0.125
骨干网络,0,0,1,0,2,4,0,7,1.575
unet,0,0,2,0,24,15,1,42,9.916666666666666
unet架构,0,0,1,0,2,0,0,3,0.6083333333333334
自我注意力,0,0,1,0,0,0,0,1,0.125
局部注意力,0,0,2,1,0,0,0,3,0.375
