,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
清洁度,1,0,2,0,0,17,2,22,5.841666666666667
fasterr-cnn,1,0,14,11,20,14,2,62,12.825
fasterr,0,0,0,2,4,8,0,14,3.15
cnn,0,0,2,3,2,7,0,14,2.8
性能,1,0,7,2,6,10,2,28,6.475
baseline,0,0,0,0,11,8,0,19,4.591666666666667
rpn,0,0,4,7,0,11,1,23,4.275
数据,0,0,0,0,1,13,0,14,3.3833333333333333
ghmloss,1,0,1,0,0,9,2,13,3.783333333333333
anchor,0,0,3,41,0,44,0,88,16.133333333333333
数据增强,0,1,2,0,0,9,1,13,4.666666666666666
测试集,0,0,1,0,4,3,0,8,1.8166666666666667
缺陷,0,0,0,0,0,16,0,16,3.8666666666666667
不平衡,0,0,0,3,0,4,0,7,1.3416666666666668
样本,0,0,1,8,1,23,0,33,6.925
增强数据,0,0,0,0,0,5,0,5,1.2083333333333333
验证集,0,0,0,0,0,2,0,2,0.48333333333333334
训练集,0,0,0,0,1,3,0,4,0.9666666666666667
x光图像集,0,0,0,0,0,4,0,4,0.9666666666666667
内容维度,1,0,3,4,0,9,2,19,4.533333333333333
小目标检测,3,1,24,8,4,3,6,49,12.141666666666666
内容,1,0,1,1,0,4,1,8,2.458333333333333
优化,0,0,0,0,0,2,0,2,0.48333333333333334
baseline性能,0,0,0,0,1,1,0,2,0.48333333333333334
anchor样本,0,0,0,0,0,4,0,4,0.9666666666666667
rpn训练,0,0,0,0,0,2,0,2,0.48333333333333334
噪声,0,0,1,0,2,8,0,11,2.5416666666666665
rpn网络,1,0,1,5,0,14,0,21,5.133333333333333
hm,0,0,0,0,0,2,0,2,0.48333333333333334
综合优化,0,0,0,0,0,3,0,3,0.725
负面效应,0,0,0,0,0,1,0,1,0.24166666666666667
梯度均衡机制,0,0,1,0,0,5,1,7,1.575
loss,0,0,0,0,0,3,0,3,0.725
检测精度,0,0,7,1,8,3,0,19,3.658333333333333
回归分支,0,0,0,0,0,2,0,2,0.48333333333333334
分类分支,0,0,0,0,0,2,0,2,0.48333333333333334
目标,0,0,3,6,6,5,1,21,4.025
测试,0,0,0,0,2,1,0,3,0.725
map基线,0,0,0,0,1,1,0,2,0.48333333333333334
轮毂,0,0,1,0,0,13,0,14,3.2666666666666666
ap值,0,0,0,0,11,1,0,12,2.9
原始数据集,0,0,0,0,0,1,0,1,0.24166666666666667
学习率,0,0,0,0,2,1,0,3,0.725
学习率衰减,0,0,0,0,2,1,0,3,0.725
习率,0,0,0,0,0,1,0,1,0.24166666666666667
keraso,0,0,0,0,0,1,0,1,0.24166666666666667
深度学习框架,0,0,0,0,2,1,0,3,0.725
图像,0,0,5,13,11,16,1,46,9.016666666666666
数据分布,0,0,0,0,0,1,0,1,0.24166666666666667
增强,0,0,0,0,1,6,1,8,1.9333333333333333
x光图,0,0,0,0,0,1,0,1,0.24166666666666667
采样操,0,0,0,0,0,1,0,1,0.24166666666666667
缺陷等级分布,0,0,0,0,0,1,0,1,0.24166666666666667
图像张数,0,0,0,0,0,1,0,1,0.24166666666666667
分布,0,0,0,1,2,3,0,6,1.3333333333333333
汽车轮毂,0,0,0,0,0,12,0,12,2.9
召回率,0,0,0,1,7,0,0,8,1.8166666666666667
精确率,0,0,0,0,7,0,0,7,1.6916666666666667
iou,0,0,0,5,10,14,0,29,6.425
pr曲线,0,0,0,0,5,0,0,5,1.2083333333333333
候选框,0,0,0,9,5,1,0,15,2.575
precision,0,0,0,0,4,0,0,4,0.9666666666666667
tp,0,0,0,0,4,0,0,4,0.9666666666666667
目标框,0,0,0,1,4,5,0,10,2.3
预测,0,0,0,7,2,0,0,9,1.3583333333333334
检测器,0,0,1,3,2,1,0,7,1.225
置信度,0,0,0,1,2,3,0,6,1.3333333333333333
正样本,0,0,0,4,2,8,0,14,2.9166666666666665
fp,0,0,0,0,2,0,0,2,0.48333333333333334
个数,0,0,0,0,2,0,0,2,0.48333333333333334
voc数据集,0,0,0,0,10,0,0,10,2.4166666666666665
阈值,0,0,0,0,2,1,0,3,0.725
真负例,0,0,0,0,2,0,0,2,0.48333333333333334
假正例,0,0,0,0,2,0,0,2,0.48333333333333334
数据集,2,0,7,0,7,20,3,39,10.125
平均,0,0,0,0,3,0,0,3,0.725
meanaverageprecision,0,0,0,0,1,0,0,1,0.24166666666666667
插值,0,0,0,0,1,0,0,1,0.24166666666666667
面积,0,0,2,2,4,1,0,9,1.7083333333333333
