parent_url,parent_name,this_url,name,level
基于深度学习的示功图诊断技术研究_1级_1,绪论1,基于深度学习的示功图诊断技术研究_2级_1,研究意义及应用背景1,2
基于深度学习的示功图诊断技术研究_1级_1,绪论1,基于深度学习的示功图诊断技术研究_2级_2,国内外研究现状2,2
基于深度学习的示功图诊断技术研究_1级_1,绪论1,基于深度学习的示功图诊断技术研究_2级_3,主要研究内容和结构安排3,2
基于深度学习的示功图诊断技术研究_1级_2,抽油机井工作原理与示功图样本库建立7,基于深度学习的示功图诊断技术研究_2级_4,引言7,2
基于深度学习的示功图诊断技术研究_1级_2,抽油机井工作原理与示功图样本库建立7,基于深度学习的示功图诊断技术研究_2级_5,抽油机采油原理7,2
基于深度学习的示功图诊断技术研究_1级_2,抽油机井工作原理与示功图样本库建立7,基于深度学习的示功图诊断技术研究_2级_6,示功图特征分析9,2
基于深度学习的示功图诊断技术研究_1级_2,抽油机井工作原理与示功图样本库建立7,基于深度学习的示功图诊断技术研究_2级_7,示功图数据集构建14,2
基于深度学习的示功图诊断技术研究_1级_2,抽油机井工作原理与示功图样本库建立7,基于深度学习的示功图诊断技术研究_2级_8,本章小结18,2
基于深度学习的示功图诊断技术研究_1级_3,基于示功图特征提取的抽油机故障诊断方法19,基于深度学习的示功图诊断技术研究_2级_9,弓丨言19,2
基于深度学习的示功图诊断技术研究_1级_3,基于示功图特征提取的抽油机故障诊断方法19,基于深度学习的示功图诊断技术研究_2级_10,常用示功图特征提取方法分析19,2
基于深度学习的示功图诊断技术研究_1级_3,基于示功图特征提取的抽油机故障诊断方法19,基于深度学习的示功图诊断技术研究_2级_11,示功图特征参数提取20,2
基于深度学习的示功图诊断技术研究_1级_3,基于示功图特征提取的抽油机故障诊断方法19,基于深度学习的示功图诊断技术研究_2级_12,示功图特征融合算法24,2
基于深度学习的示功图诊断技术研究_1级_3,基于示功图特征提取的抽油机故障诊断方法19,基于深度学习的示功图诊断技术研究_2级_13,基于融合特征的示功图分类诊断模型25,2
基于深度学习的示功图诊断技术研究_1级_3,基于示功图特征提取的抽油机故障诊断方法19,基于深度学习的示功图诊断技术研究_2级_14,实验结果与分析,2
基于深度学习的示功图诊断技术研究_1级_3,基于示功图特征提取的抽油机故障诊断方法19,基于深度学习的示功图诊断技术研究_2级_15,本章小结30,2
基于深度学习的示功图诊断技术研究_1级_4,基于示功图深度学习的抽油机故障诊断方法31,基于深度学习的示功图诊断技术研究_2级_16,引言31,2
基于深度学习的示功图诊断技术研究_1级_4,基于示功图深度学习的抽油机故障诊断方法31,基于深度学习的示功图诊断技术研究_2级_17,面向示功图识别的网络结构分析构建31,2
基于深度学习的示功图诊断技术研究_1级_4,基于示功图深度学习的抽油机故障诊断方法31,基于深度学习的示功图诊断技术研究_2级_18,不同参数初始化条件下识别性能分析36,2
基于深度学习的示功图诊断技术研究_1级_4,基于示功图深度学习的抽油机故障诊断方法31,基于深度学习的示功图诊断技术研究_2级_19,实验结果与分析38,2
基于深度学习的示功图诊断技术研究_1级_4,基于示功图深度学习的抽油机故障诊断方法31,基于深度学习的示功图诊断技术研究_2级_20,本章小结40,2
基于深度学习的示功图诊断技术研究_1级_5,面向嵌入式设备应用的轻量化示功图深度学习方法41,基于深度学习的示功图诊断技术研究_2级_21,引言41,2
基于深度学习的示功图诊断技术研究_1级_5,面向嵌入式设备应用的轻量化示功图深度学习方法41,基于深度学习的示功图诊断技术研究_2级_22,所采用的嵌入式设备平台简介41,2
基于深度学习的示功图诊断技术研究_1级_5,面向嵌入式设备应用的轻量化示功图深度学习方法41,基于深度学习的示功图诊断技术研究_2级_23,基于MobileNet的快速示功图诊断模型42,2
基于深度学习的示功图诊断技术研究_1级_5,面向嵌入式设备应用的轻量化示功图深度学习方法41,基于深度学习的示功图诊断技术研究_2级_24,基于强化学习的自适应示功图诊断模型44,2
基于深度学习的示功图诊断技术研究_1级_5,面向嵌入式设备应用的轻量化示功图深度学习方法41,基于深度学习的示功图诊断技术研究_2级_25,实验结果与分析49,2
基于深度学习的示功图诊断技术研究_1级_5,面向嵌入式设备应用的轻量化示功图深度学习方法41,基于深度学习的示功图诊断技术研究_2级_26,本章小结52,2
基于深度学习的示功图诊断技术研究_1级_6,总结和展望53,基于深度学习的示功图诊断技术研究_2级_27,论文工作总结53,2
基于深度学习的示功图诊断技术研究_1级_6,总结和展望53,基于深度学习的示功图诊断技术研究_2级_28,论文下一步工作方向54,2
