dissertation,name,this_url,language,word_frequency
基于深度学习的示功图诊断技术研究,示功图,基于深度学习的示功图诊断技术研究_摘要_1,中文,11
基于深度学习的示功图诊断技术研究,深度学习,基于深度学习的示功图诊断技术研究_摘要_2,中文,3
基于深度学习的示功图诊断技术研究,嵌入式设备,基于深度学习的示功图诊断技术研究_摘要_3,中文,3
基于深度学习的示功图诊断技术研究,抽油机,基于深度学习的示功图诊断技术研究_摘要_4,中文,3
基于深度学习的示功图诊断技术研究,强化学习,基于深度学习的示功图诊断技术研究_摘要_5,中文,2
基于深度学习的示功图诊断技术研究,自编码器,基于深度学习的示功图诊断技术研究_摘要_6,中文,2
基于深度学习的示功图诊断技术研究,特征融合,基于深度学习的示功图诊断技术研究_摘要_7,中文,2
基于深度学习的示功图诊断技术研究,特征,基于深度学习的示功图诊断技术研究_摘要_8,中文,2
基于深度学习的示功图诊断技术研究,轻量化,基于深度学习的示功图诊断技术研究_摘要_9,中文,2
基于深度学习的示功图诊断技术研究,模型,基于深度学习的示功图诊断技术研究_摘要_10,中文,2
基于深度学习的示功图诊断技术研究,故障,基于深度学习的示功图诊断技术研究_摘要_11,中文,2
基于深度学习的示功图诊断技术研究,边缘端,基于深度学习的示功图诊断技术研究_摘要_12,中文,1
基于深度学习的示功图诊断技术研究,mobilenet网络,基于深度学习的示功图诊断技术研究_摘要_13,中文,1
基于深度学习的示功图诊断技术研究,卷积层分解,基于深度学习的示功图诊断技术研究_摘要_14,中文,1
基于深度学习的示功图诊断技术研究,参数量,基于深度学习的示功图诊断技术研究_摘要_15,中文,1
基于深度学习的示功图诊断技术研究,计算量,基于深度学习的示功图诊断技术研究_摘要_16,中文,1
基于深度学习的示功图诊断技术研究,actor-critic,基于深度学习的示功图诊断技术研究_摘要_17,中文,1
基于深度学习的示功图诊断技术研究,强化学习策略,基于深度学习的示功图诊断技术研究_摘要_18,中文,1
基于深度学习的示功图诊断技术研究,训练,基于深度学习的示功图诊断技术研究_摘要_19,中文,1
基于深度学习的示功图诊断技术研究,微调模型,基于深度学习的示功图诊断技术研究_摘要_20,中文,1
基于深度学习的示功图诊断技术研究,参数调整,基于深度学习的示功图诊断技术研究_摘要_21,中文,1
基于深度学习的示功图诊断技术研究,性能,基于深度学习的示功图诊断技术研究_摘要_22,中文,1
基于深度学习的示功图诊断技术研究,示功图识别,基于深度学习的示功图诊断技术研究_摘要_23,中文,1
基于深度学习的示功图诊断技术研究,小样本,基于深度学习的示功图诊断技术研究_摘要_24,中文,1
基于深度学习的示功图诊断技术研究,样本增强,基于深度学习的示功图诊断技术研究_摘要_25,中文,1
基于深度学习的示功图诊断技术研究,示功图数据集,基于深度学习的示功图诊断技术研究_摘要_26,中文,1
基于深度学习的示功图诊断技术研究,数据集,基于深度学习的示功图诊断技术研究_摘要_27,中文,1
基于深度学习的示功图诊断技术研究,经典网络,基于深度学习的示功图诊断技术研究_摘要_28,中文,1
基于深度学习的示功图诊断技术研究,模型参数,基于深度学习的示功图诊断技术研究_摘要_29,中文,1
基于深度学习的示功图诊断技术研究,识别率,基于深度学习的示功图诊断技术研究_摘要_30,中文,1
基于深度学习的示功图诊断技术研究,收敛性,基于深度学习的示功图诊断技术研究_摘要_31,中文,1
基于深度学习的示功图诊断技术研究,网络模型,基于深度学习的示功图诊断技术研究_摘要_32,中文,1
基于深度学习的示功图诊断技术研究,编码层,基于深度学习的示功图诊断技术研究_摘要_33,中文,1
基于深度学习的示功图诊断技术研究,参数,基于深度学习的示功图诊断技术研究_摘要_34,中文,1
基于深度学习的示功图诊断技术研究,初始化,基于深度学习的示功图诊断技术研究_摘要_35,中文,1
基于深度学习的示功图诊断技术研究,收敛性能,基于深度学习的示功图诊断技术研究_摘要_36,中文,1
基于深度学习的示功图诊断技术研究,传统特征工程,基于深度学习的示功图诊断技术研究_摘要_37,中文,1
基于深度学习的示功图诊断技术研究,特征提取,基于深度学习的示功图诊断技术研究_摘要_38,中文,1
基于深度学习的示功图诊断技术研究,opencv,基于深度学习的示功图诊断技术研究_摘要_39,中文,1
基于深度学习的示功图诊断技术研究,复杂特征,基于深度学习的示功图诊断技术研究_摘要_40,中文,1
基于深度学习的示功图诊断技术研究,图像识别,基于深度学习的示功图诊断技术研究_摘要_41,中文,1
基于深度学习的示功图诊断技术研究,图像矩特征,基于深度学习的示功图诊断技术研究_摘要_42,中文,1
基于深度学习的示功图诊断技术研究,位移载荷,基于深度学习的示功图诊断技术研究_摘要_43,中文,1
基于深度学习的示功图诊断技术研究,工程参数,基于深度学习的示功图诊断技术研究_摘要_44,中文,1
基于深度学习的示功图诊断技术研究,图像矩,基于深度学习的示功图诊断技术研究_摘要_45,中文,1
基于深度学习的示功图诊断技术研究,融合特征,基于深度学习的示功图诊断技术研究_摘要_46,中文,1
基于深度学习的示功图诊断技术研究,石油生产,基于深度学习的示功图诊断技术研究_摘要_47,中文,1
基于深度学习的示功图诊断技术研究,抽油机井,基于深度学习的示功图诊断技术研究_摘要_48,中文,1
基于深度学习的示功图诊断技术研究,机器配件,基于深度学习的示功图诊断技术研究_摘要_49,中文,1
基于深度学习的示功图诊断技术研究,环境,基于深度学习的示功图诊断技术研究_摘要_50,中文,1
基于深度学习的示功图诊断技术研究,快速定位故障,基于深度学习的示功图诊断技术研究_摘要_51,中文,1
基于深度学习的示功图诊断技术研究,抽油机故障,基于深度学习的示功图诊断技术研究_摘要_52,中文,1
基于深度学习的示功图诊断技术研究,人工经验特征,基于深度学习的示功图诊断技术研究_摘要_53,中文,1
基于深度学习的示功图诊断技术研究,先验知,基于深度学习的示功图诊断技术研究_摘要_54,中文,1
基于深度学习的示功图诊断技术研究,学习能力,基于深度学习的示功图诊断技术研究_摘要_55,中文,1
基于深度学习的示功图诊断技术研究,隐含特征,基于深度学习的示功图诊断技术研究_摘要_56,中文,1
基于深度学习的示功图诊断技术研究,分类识别,基于深度学习的示功图诊断技术研究_摘要_57,中文,1
基于深度学习的示功图诊断技术研究,鲁棒性,基于深度学习的示功图诊断技术研究_摘要_58,中文,1
基于深度学习的示功图诊断技术研究,示功图识别模型,基于深度学习的示功图诊断技术研究_摘要_59,中文,1
基于深度学习的示功图诊断技术研究,ment,基于深度学习的示功图诊断技术研究_摘要_60,英文,4
基于深度学习的示功图诊断技术研究,ature,基于深度学习的示功图诊断技术研究_摘要_61,英文,3
基于深度学习的示功图诊断技术研究,he,基于深度学习的示功图诊断技术研究_摘要_62,英文,2
基于深度学习的示功图诊断技术研究,ign,基于深度学习的示功图诊断技术研究_摘要_63,英文,2
基于深度学习的示功图诊断技术研究,cat,基于深度学习的示功图诊断技术研究_摘要_64,英文,2
基于深度学习的示功图诊断技术研究,lightweight,基于深度学习的示功图诊断技术研究_摘要_65,英文,1
基于深度学习的示功图诊断技术研究,inforcement,基于深度学习的示功图诊断技术研究_摘要_66,英文,1
基于深度学习的示功图诊断技术研究,modelis,基于深度学习的示功图诊断技术研究_摘要_67,英文,1
基于深度学习的示功图诊断技术研究,paperusesmobilenetnetwork,基于深度学习的示功图诊断技术研究_摘要_68,英文,1
基于深度学习的示功图诊断技术研究,composet,基于深度学习的示功图诊断技术研究_摘要_69,英文,1
基于深度学习的示功图诊断技术研究,modelinvolumelayer,基于深度学习的示功图诊断技术研究_摘要_70,英文,1
