parent_url,parent_name,this_url,name,level
基于社交感知的跨模态检索研究_1级_1,绪论,基于社交感知的跨模态检索研究_2级_1,研究背景,2
基于社交感知的跨模态检索研究_1级_1,绪论,基于社交感知的跨模态检索研究_2级_2,研究的科学问题,2
基于社交感知的跨模态检索研究_1级_1,绪论,基于社交感知的跨模态检索研究_2级_3,研究内容与主要贡献,2
基于社交感知的跨模态检索研究_1级_1,绪论,基于社交感知的跨模态检索研究_2级_4,论文组织结构,2
基于社交感知的跨模态检索研究_1级_2,相关研究综述,基于社交感知的跨模态检索研究_2级_5,信息检索概述,2
基于社交感知的跨模态检索研究_1级_2,相关研究综述,基于社交感知的跨模态检索研究_2级_6,跨模态信息检索研究现状,2
基于社交感知的跨模态检索研究_1级_2,相关研究综述,基于社交感知的跨模态检索研究_2级_7,个性化信息检索研究现状,2
基于社交感知的跨模态检索研究_1级_2,相关研究综述,基于社交感知的跨模态检索研究_2级_8,本章小结,2
基于社交感知的跨模态检索研究_1级_3,社交信息嵌入的跨模态检索研究,基于社交感知的跨模态检索研究_2级_9,引言,2
基于社交感知的跨模态检索研究_1级_3,社交信息嵌入的跨模态检索研究,基于社交感知的跨模态检索研究_2级_10,结合链接与内容关联学习的跨模态检索,2
基于社交感知的跨模态检索研究_1级_3,社交信息嵌入的跨模态检索研究,基于社交感知的跨模态检索研究_2级_11,实验结果与评估,2
基于社交感知的跨模态检索研究_1级_3,社交信息嵌入的跨模态检索研究,基于社交感知的跨模态检索研究_2级_12,本章小结,2
基于社交感知的跨模态检索研究_1级_4,面向用户意图的个性化跨模态检索研究,基于社交感知的跨模态检索研究_2级_13,引言,2
基于社交感知的跨模态检索研究_1级_4,面向用户意图的个性化跨模态检索研究,基于社交感知的跨模态检索研究_2级_14,基于用户兴趣建模的个性化跨模态检索,2
基于社交感知的跨模态检索研究_1级_4,面向用户意图的个性化跨模态检索研究,基于社交感知的跨模态检索研究_2级_15,实验结果与评估,2
基于社交感知的跨模态检索研究_1级_4,面向用户意图的个性化跨模态检索研究,基于社交感知的跨模态检索研究_2级_16,本章小结,2
基于社交感知的跨模态检索研究_1级_5,总结与展望,基于社交感知的跨模态检索研究_2级_17,工作总结,2
基于社交感知的跨模态检索研究_1级_5,总结与展望,基于社交感知的跨模态检索研究_2级_18,未来展望,2
