dissertation,name,this_url,language,word_frequency
基于社交感知的跨模态检索研究,数据,基于社交感知的跨模态检索研究_摘要_1,中文,11
基于社交感知的跨模态检索研究,跨模态检索,基于社交感知的跨模态检索研究_摘要_2,中文,10
基于社交感知的跨模态检索研究,跨模态数据,基于社交感知的跨模态检索研究_摘要_3,中文,9
基于社交感知的跨模态检索研究,用户,基于社交感知的跨模态检索研究_摘要_4,中文,4
基于社交感知的跨模态检索研究,跨模态,基于社交感知的跨模态检索研究_摘要_5,中文,3
基于社交感知的跨模态检索研究,语义关联,基于社交感知的跨模态检索研究_摘要_6,中文,3
基于社交感知的跨模态检索研究,社交多模态主题模型,基于社交感知的跨模态检索研究_摘要_7,中文,2
基于社交感知的跨模态检索研究,社交关联,基于社交感知的跨模态检索研究_摘要_8,中文,2
基于社交感知的跨模态检索研究,社交信息,基于社交感知的跨模态检索研究_摘要_9,中文,2
基于社交感知的跨模态检索研究,模态,基于社交感知的跨模态检索研究_摘要_10,中文,2
基于社交感知的跨模态检索研究,异构鸿沟,基于社交感知的跨模态检索研究_摘要_11,中文,2
基于社交感知的跨模态检索研究,用户意图鸿沟,基于社交感知的跨模态检索研究_摘要_12,中文,2
基于社交感知的跨模态检索研究,语义,基于社交感知的跨模态检索研究_摘要_13,中文,2
基于社交感知的跨模态检索研究,性能,基于社交感知的跨模态检索研究_摘要_14,中文,2
基于社交感知的跨模态检索研究,社交化,基于社交感知的跨模态检索研究_摘要_15,中文,2
基于社交感知的跨模态检索研究,信息需求,基于社交感知的跨模态检索研究_摘要_16,中文,1
基于社交感知的跨模态检索研究,用户元数据,基于社交感知的跨模态检索研究_摘要_17,中文,1
基于社交感知的跨模态检索研究,日志,基于社交感知的跨模态检索研究_摘要_18,中文,1
基于社交感知的跨模态检索研究,单模态数据,基于社交感知的跨模态检索研究_摘要_19,中文,1
基于社交感知的跨模态检索研究,社交媒体,基于社交感知的跨模态检索研究_摘要_20,中文,1
基于社交感知的跨模态检索研究,多模态行为数据,基于社交感知的跨模态检索研究_摘要_21,中文,1
基于社交感知的跨模态检索研究,兴趣,基于社交感知的跨模态检索研究_摘要_22,中文,1
基于社交感知的跨模态检索研究,多模态性,基于社交感知的跨模态检索研究_摘要_23,中文,1
基于社交感知的跨模态检索研究,稀疏性,基于社交感知的跨模态检索研究_摘要_24,中文,1
基于社交感知的跨模态检索研究,多模态数据,基于社交感知的跨模态检索研究_摘要_25,中文,1
基于社交感知的跨模态检索研究,兴趣模型,基于社交感知的跨模态检索研究_摘要_26,中文,1
基于社交感知的跨模态检索研究,社交影响,基于社交感知的跨模态检索研究_摘要_27,中文,1
基于社交感知的跨模态检索研究,兴趣表达,基于社交感知的跨模态检索研究_摘要_28,中文,1
基于社交感知的跨模态检索研究,鲁棒,基于社交感知的跨模态检索研究_摘要_29,中文,1
基于社交感知的跨模态检索研究,建模,基于社交感知的跨模态检索研究_摘要_30,中文,1
基于社交感知的跨模态检索研究,用户意图,基于社交感知的跨模态检索研究_摘要_31,中文,1
基于社交感知的跨模态检索研究,用户兴趣建模,基于社交感知的跨模态检索研究_摘要_32,中文,1
基于社交感知的跨模态检索研究,链接,基于社交感知的跨模态检索研究_摘要_33,中文,1
基于社交感知的跨模态检索研究,内容,基于社交感知的跨模态检索研究_摘要_34,中文,1
基于社交感知的跨模态检索研究,互补特性,基于社交感知的跨模态检索研究_摘要_35,中文,1
基于社交感知的跨模态检索研究,社交性,基于社交感知的跨模态检索研究_摘要_36,中文,1
基于社交感知的跨模态检索研究,异构数据,基于社交感知的跨模态检索研究_摘要_37,中文,1
基于社交感知的跨模态检索研究,关联,基于社交感知的跨模态检索研究_摘要_38,中文,1
