parent_url,parent_name,this_url,name,level
基于评论行为的客户终身价值模型改进_1级_1,绪论,基于评论行为的客户终身价值模型改进_2级_1,研究背景,2
基于评论行为的客户终身价值模型改进_1级_1,绪论,基于评论行为的客户终身价值模型改进_2级_2,研究意义,2
基于评论行为的客户终身价值模型改进_1级_1,绪论,基于评论行为的客户终身价值模型改进_2级_3,研究内容,2
基于评论行为的客户终身价值模型改进_1级_1,绪论,基于评论行为的客户终身价值模型改进_2级_4,研究方法,2
基于评论行为的客户终身价值模型改进_1级_1,绪论,基于评论行为的客户终身价值模型改进_2级_5,研究成果,2
基于评论行为的客户终身价值模型改进_1级_1,绪论,基于评论行为的客户终身价值模型改进_2级_6,论文结构,2
基于评论行为的客户终身价值模型改进_1级_1,绪论,基于评论行为的客户终身价值模型改进_2级_7,研究工具,2
基于评论行为的客户终身价值模型改进_1级_2,文献综述,基于评论行为的客户终身价值模型改进_2级_8,文献综述框架,2
基于评论行为的客户终身价值模型改进_1级_2,文献综述,基于评论行为的客户终身价值模型改进_2级_9,客户终购值,2
基于评论行为的客户终身价值模型改进_1级_2,文献综述,基于评论行为的客户终身价值模型改进_2级_10,Gamma-Gamma模型,2
基于评论行为的客户终身价值模型改进_1级_2,文献综述,基于评论行为的客户终身价值模型改进_2级_11,本章总结,2
基于评论行为的客户终身价值模型改进_1级_3,基于RFM模型的客户终身价值研究,基于评论行为的客户终身价值模型改进_2级_12,基于RFM模型的客户终身价值分析,2
基于评论行为的客户终身价值模型改进_1级_3,基于RFM模型的客户终身价值研究,基于评论行为的客户终身价值模型改进_2级_13,实证研究,2
基于评论行为的客户终身价值模型改进_1级_3,基于RFM模型的客户终身价值研究,基于评论行为的客户终身价值模型改进_2级_14,本章总结,2
基于评论行为的客户终身价值模型改进_1级_4,基于评论行为的客户购买次数预测,基于评论行为的客户终身价值模型改进_2级_15,Logit回归模型期客户购买流失,2
基于评论行为的客户终身价值模型改进_1级_4,基于评论行为的客户购买次数预测,基于评论行为的客户终身价值模型改进_2级_16,Pareto/NBD模型如客户购买蚊,2
基于评论行为的客户终身价值模型改进_1级_4,基于评论行为的客户购买次数预测,基于评论行为的客户终身价值模型改进_2级_17,本章总结,2
基于评论行为的客户终身价值模型改进_1级_5,基于购买行为的客户评论次数预测,基于评论行为的客户终身价值模型改进_2级_18,Logit回归模型预洌客户评论流失,2
基于评论行为的客户终身价值模型改进_1级_5,基于购买行为的客户评论次数预测,基于评论行为的客户终身价值模型改进_2级_19,Pareto/NBD崛预测客户评论次数,2
基于评论行为的客户终身价值模型改进_1级_5,基于购买行为的客户评论次数预测,基于评论行为的客户终身价值模型改进_2级_20,本章总结,2
基于评论行为的客户终身价值模型改进_1级_6,客户消费金额及终身价值模型改进,基于评论行为的客户终身价值模型改进_2级_21,Gamma-Gamma模型,2
基于评论行为的客户终身价值模型改进_1级_6,客户消费金额及终身价值模型改进,基于评论行为的客户终身价值模型改进_2级_22,客户终身价值模型改进,2
基于评论行为的客户终身价值模型改进_1级_6,客户消费金额及终身价值模型改进,基于评论行为的客户终身价值模型改进_2级_23,本章总结,2
基于评论行为的客户终身价值模型改进_1级_7,结论及展望,基于评论行为的客户终身价值模型改进_2级_24,主要贡献,2
基于评论行为的客户终身价值模型改进_1级_7,结论及展望,基于评论行为的客户终身价值模型改进_2级_25,研究不足,2
基于评论行为的客户终身价值模型改进_1级_7,结论及展望,基于评论行为的客户终身价值模型改进_2级_26,研究方向,2
