,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
特性,0,0,4,0,0,0,0,0,4,0.5
5g网络,0,0,12,0,0,0,0,1,13,1.68125
5g,1,0,12,0,0,0,0,0,13,2.5
3gpp,0,0,5,0,1,0,0,0,6,0.80625
urllc,0,0,6,1,0,0,0,0,7,0.875
mmtc,0,0,8,0,0,0,0,0,8,1.0
embb,0,0,6,0,0,0,0,0,6,0.75
移动性,0,0,6,0,0,0,0,0,6,0.75
连接密度,0,0,3,0,0,0,0,0,3,0.375
频谱效率,0,0,7,1,0,0,0,0,8,1.0
差异化,0,0,3,0,0,0,0,0,3,0.375
标准化,0,0,2,0,0,0,0,0,2,0.25
区域通信能力,0,0,2,0,0,0,0,0,2,0.25
能效,0,0,2,0,0,0,0,0,2,0.25
延迟时间,0,0,2,0,0,0,0,0,2,0.25
mbit,0,0,2,0,0,0,0,0,2,0.25
峰值数据速率,0,0,4,0,0,0,0,0,4,0.5
低延迟通信,0,0,2,0,0,0,0,0,2,0.25
超可靠,0,0,2,0,0,0,0,0,2,0.25
大规模机器类型通信,0,0,2,0,0,0,0,1,3,0.43125
增强型移动宽带,0,0,2,0,0,0,0,0,2,0.25
imt,0,0,2,0,0,0,0,0,2,0.25
网络,8,0,31,2,3,1,1,3,49,13.575
数据速率,0,0,11,4,0,1,0,0,16,2.05625
imt-2020,0,0,2,0,0,0,0,0,2,0.25
移动通信网络,0,0,12,0,0,0,0,0,12,1.5
移动医疗,0,0,2,0,0,0,0,1,3,0.43125
工业物联网,2,0,3,0,0,0,0,1,6,2.55625
自动驾驶,1,0,2,0,0,0,0,1,4,1.43125
增强技术,0,0,1,0,0,0,0,0,1,0.125
3gpprelease17,0,0,1,0,0,0,0,0,1,0.125
b5g③网络,0,0,1,0,0,0,0,0,1,0.125
链路可靠性,0,0,2,0,1,0,0,0,3,0.43125
3gpprelease,0,0,2,0,1,0,0,0,3,0.43125
5g技术标准,0,0,1,0,0,0,0,0,1,0.125
phase2,0,0,1,0,0,0,0,0,1,0.125
带宽,0,0,2,0,0,0,0,0,2,0.25
qoe,0,0,1,0,0,0,0,0,1,0.125
qualityofexperience,0,0,1,0,0,0,0,0,1,0.125
用户体验质量,0,0,1,0,0,0,0,0,1,0.125
embb应用,0,0,1,0,0,0,0,0,1,0.125
release,0,0,1,0,0,0,0,0,1,0.125
phase1,0,0,1,0,0,0,0,0,1,0.125
通信行业,0,0,1,0,0,0,0,0,1,0.125
用户,6,0,31,13,19,8,26,7,110,22.375
设备量,0,0,1,0,0,0,0,0,1,0.125
用户体验数据速率,0,0,1,0,0,0,0,0,1,0.125
it,0,0,1,0,0,0,0,0,1,0.125
5g4g增幅,0,0,1,0,0,0,0,0,1,0.125
5g通信,0,0,1,0,0,0,0,0,1,0.125
ultra-reliable,0,0,1,0,0,0,0,0,1,0.125
massivemachinetypecommunications,0,0,1,0,0,0,0,0,1,0.125
enhancedmobilebroadband,0,0,1,0,0,0,0,0,1,0.125
2020,0,0,1,0,0,0,0,0,1,0.125
定制化服,0,0,1,0,0,0,0,0,1,0.125
网络切片,0,0,1,0,0,0,0,0,1,0.125
绿色通信,0,0,1,0,0,0,0,0,1,0.125
保节能,0,0,1,0,0,0,0,0,1,0.125
资源,0,0,1,0,0,0,0,1,2,0.30625
性能过剩,0,0,1,0,0,0,0,0,1,0.125
键特性指标,0,0,1,0,0,0,0,0,1,0.125
延迟,0,0,1,1,0,0,0,0,2,0.25
能量,0,0,8,1,0,0,0,0,9,1.125
4g时代,0,0,1,0,0,0,0,0,1,0.125
telecommunications,0,0,1,0,0,0,0,0,1,0.125
gntemationalmobile,0,0,1,0,0,0,0,0,1,0.125
国际移动通信,0,0,1,0,0,0,0,0,1,0.125
社会,0,0,1,0,0,0,0,0,1,0.125
创新,0,0,1,0,0,0,0,0,1,0.125
互联网,0,0,1,0,0,0,0,0,1,0.125
5g通信时,0,0,1,0,0,0,0,0,1,0.125
垂直应用,0,0,1,0,0,0,0,0,1,0.125
环境监测,0,0,2,0,0,0,0,1,3,0.43125
智能家居,0,0,3,0,0,0,0,1,4,0.55625
智能交通,1,0,2,0,0,0,0,1,4,1.43125
业务,0,0,3,0,0,0,0,0,3,0.375
性化,0,0,1,0,0,0,0,0,1,0.125
车联网,0,0,4,0,0,0,0,0,4,0.5
超高清视频,0,0,1,0,0,0,0,0,1,0.125
增强现实,0,0,1,0,0,0,0,0,1,0.125
虚拟现实,1,0,1,0,0,0,0,0,2,1.125
联网,0,0,1,0,0,0,0,0,1,0.125
nerationmobilecommunicationsystem,0,0,1,0,0,0,0,0,1,0.125
移动通信系统,0,0,3,0,0,0,0,0,3,0.375
移动互联网,1,0,1,0,0,0,0,1,3,1.30625
技术,0,0,4,0,0,0,0,0,4,0.5
移动通信,1,0,2,0,0,0,0,0,3,1.25
流量,1,0,3,0,0,0,0,0,4,1.375
数据流量,0,0,4,1,0,0,0,0,5,0.625
样化,0,0,1,0,0,0,0,0,1,0.125
移动数据业务,1,0,6,0,0,0,0,1,8,1.93125
无线网络,1,0,15,3,0,0,1,1,21,3.6125
频谱资源,0,0,9,0,0,0,0,0,9,1.125
容量,1,0,10,0,0,0,0,0,11,2.25
蜂窝网络,0,0,33,7,4,0,4,0,48,6.45
海量连接,0,0,3,0,0,0,0,0,3,0.375
机器类型通信,0,0,3,0,0,0,0,0,3,0.375
超密集组网,0,0,3,0,0,0,0,0,3,0.375
b5g网络,0,0,8,0,0,0,0,1,9,1.18125
频段,0,0,5,0,0,0,0,0,5,0.625
频谱复用率,0,0,3,0,0,0,0,0,3,0.375
组网,5,0,4,0,0,0,0,0,9,5.5
device,0,0,2,0,0,0,0,0,2,0.25
非授权频段,0,0,2,0,0,0,0,0,2,0.25
低功率无线接入节点,0,0,3,0,0,0,0,0,3,0.375
无线接入节点,0,0,3,0,0,0,0,0,3,0.375
异构化,0,0,4,1,1,0,0,0,6,0.80625
密集化,1,0,4,1,1,0,0,0,7,1.80625
宏基站,0,0,12,0,0,0,0,0,12,1.5
异构蜂窝网络,0,0,3,1,0,0,0,0,4,0.5
频谱复用,0,0,2,0,0,0,0,0,2,0.25
异构聚合,0,0,2,0,0,0,0,0,2,0.25
noma,0,0,17,0,0,0,0,0,17,2.125
orthogonalmultipleacces,0,0,2,0,0,0,0,0,2,0.25
non-,0,0,1,0,0,0,0,0,1,0.125
非正交多址接入,0,0,2,0,0,0,0,0,2,0.25
nb-iot,0,0,1,0,0,0,0,0,1,0.125
narrowband-internet,0,0,1,0,0,0,0,0,1,0.125
窄带物联网,0,0,1,0,0,0,0,0,1,0.125
接入,0,0,2,0,0,0,0,0,2,0.25
海量设备,0,0,1,0,0,0,0,0,1,0.125
连接性,0,0,1,0,0,0,0,0,1,0.125
万物互联,0,0,1,0,0,0,0,0,1,0.125
网络容量,0,0,1,0,0,0,0,0,1,0.125
用户体验速率,0,0,1,0,0,0,0,0,1,0.125
embb场景,0,0,1,0,0,0,0,0,1,0.125
广域覆盖,0,0,1,0,0,0,0,0,1,0.125
