,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
权重更新,0,0,0,0,3,0,0,3,0.725
稀疏性,0,0,0,0,1,0,0,1,0.24166666666666667
权值,0,0,0,0,3,0,0,3,0.725
正则化参数,0,0,0,0,5,0,0,5,1.2083333333333333
学习速率,0,0,0,0,4,0,0,4,0.9666666666666667
动量参数,0,0,0,0,2,0,0,2,0.48333333333333334
加权平均值,0,0,0,0,1,0,0,1,0.24166666666666667
控制指数,0,0,0,0,1,0,0,1,0.24166666666666667
动量,0,0,0,0,2,0,0,2,0.48333333333333334
收敛速度,1,0,0,0,2,0,0,3,1.4833333333333334
权重,0,0,2,3,8,1,0,14,2.8
指数,0,0,0,0,3,0,0,3,0.725
梯度,1,0,4,1,18,0,2,26,6.458333333333333
动量梯度下降法,0,0,0,0,1,0,0,1,0.24166666666666667
梯度下降法,0,0,0,0,1,0,0,1,0.24166666666666667
混响室,0,0,7,22,0,0,0,29,3.625
混响室法,0,0,8,11,0,0,1,20,2.6166666666666667
被测设备,0,0,12,30,12,3,0,57,8.875
信道模拟器,3,0,7,19,10,3,0,42,9.391666666666666
基站模拟器,0,0,0,6,0,0,0,6,0.75
瑞利衰落信号,0,0,0,3,0,0,0,3,0.375
信号,0,0,6,21,1,1,0,29,3.8583333333333334
搅拌器,0,0,0,3,0,0,0,3,0.375
转台,0,0,0,3,0,0,0,3,0.375
信道参数,0,0,1,2,0,3,1,7,1.3416666666666668
测试,1,0,6,16,6,2,0,31,5.683333333333334
多普勒,0,0,1,4,1,0,0,6,0.8666666666666667
性能指标,0,0,2,2,0,0,0,4,0.5
mimo设备,1,0,4,10,0,0,0,15,2.75
电磁场,0,0,0,4,0,0,0,4,0.5
反射,0,0,0,5,1,0,0,6,0.8666666666666667
电磁场环境,0,0,0,3,0,0,0,3,0.375
到达角,0,0,1,5,2,1,0,9,1.475
交叉极化比,0,0,0,2,0,0,0,2,0.25
暗室多探头,0,0,2,1,0,0,0,3,0.375
mim001a,0,0,0,1,0,0,0,1,0.125
暗室,0,0,3,11,12,3,0,29,5.375
瑞利衰落信道,0,0,0,1,0,0,0,1,0.125
测试系统,0,0,4,6,6,0,2,18,3.1833333333333336
mimoota测试,0,0,5,11,0,2,2,20,2.966666666666667
混响室测试系统,0,0,1,1,0,0,0,2,0.25
参数,1,0,1,3,5,3,1,14,3.675
时延,0,0,1,6,1,2,0,10,1.6
电磁场结构,0,0,0,1,0,0,0,1,0.125
模式搅拌,0,0,0,1,0,0,0,1,0.125
天线,0,0,4,25,8,6,0,43,7.008333333333333
mimoota测试系统,0,0,0,2,0,0,0,2,0.25
吞吐率,0,0,0,2,1,0,0,3,0.4916666666666667
衰落信道,0,0,1,1,0,0,0,2,0.25
性能测试,0,0,3,4,0,0,1,8,1.1166666666666667
射频指标,0,0,3,1,0,0,0,4,0.5
tis,0,0,0,1,0,0,0,1,0.125
trp,0,0,0,1,0,0,0,1,0.125
定点扫描测试,0,0,0,1,0,0,0,1,0.125
均匀特性,0,0,0,1,0,0,0,1,0.125
射频测试,0,0,0,1,0,0,0,1,0.125
射频,0,0,2,1,0,0,0,3,0.375
腔体内壁,0,0,0,1,0,0,0,1,0.125
金属搅拌器,0,0,0,1,0,0,0,1,0.125
封闭金属腔体,0,0,0,1,0,0,0,1,0.125
反射环境,0,0,0,1,0,0,0,1,0.125
探头墙,0,0,0,0,18,0,0,18,4.35
探头,6,0,17,34,78,37,6,178,41.61666666666667
测试区,0,0,0,6,4,1,0,11,1.9583333333333333
角度,0,0,0,9,3,0,0,12,1.85
探头天线,0,0,2,0,9,3,0,14,3.15
更新步长,0,0,0,0,1,0,0,1,0.24166666666666667
更新间隔,0,0,0,0,1,0,0,1,0.24166666666666667
初始,0,0,0,0,1,0,0,1,0.24166666666666667
批量,0,0,0,0,2,0,0,2,0.48333333333333334
迭代次数,0,0,0,0,3,0,0,3,0.725
数值,0,0,0,1,1,0,0,2,0.3666666666666667
符号,0,0,0,0,1,0,0,1,0.24166666666666667
初始参数,0,0,0,0,1,3,0,4,0.9666666666666667
初始权重向量,0,0,0,0,1,0,0,1,0.24166666666666667
采样天线,0,0,0,0,1,0,0,1,0.24166666666666667
波长,0,0,0,1,3,1,0,5,1.0916666666666668
半径,0,0,0,2,2,0,0,4,0.7333333333333334
候选探头,0,0,0,0,3,0,0,3,0.725
探头间距,0,0,0,0,1,0,0,1,0.24166666666666667
间距,0,0,0,0,1,0,0,1,0.24166666666666667
仰角,0,0,0,0,1,0,0,1,0.24166666666666667
仿真配置,0,0,0,0,1,0,0,1,0.24166666666666667
大规模mimo设备,0,0,0,0,1,0,0,1,0.24166666666666667
硬件资源,0,0,0,1,1,0,0,2,0.3666666666666667
扇形探头墙,0,0,0,0,1,0,0,1,0.24166666666666667
dut,0,0,0,1,1,0,0,2,0.3666666666666667
mpacota测试系统,0,0,0,0,1,0,0,1,0.24166666666666667
二维探头环,0,0,0,0,1,0,0,1,0.24166666666666667
可视化,0,0,0,0,1,0,0,1,0.24166666666666667
测试区域,1,0,0,2,6,3,0,12,3.425
红点,0,0,0,0,1,0,0,1,0.24166666666666667
球面,0,0,0,0,2,0,0,2,0.48333333333333334
扇形mpac,0,0,0,0,1,0,0,1,0.24166666666666667
镜面反射特性,0,0,0,0,1,0,0,1,0.24166666666666667
毫米波信道,0,0,0,0,1,0,0,1,0.24166666666666667
移动通信系统,0,0,0,0,1,0,0,1,0.24166666666666667
仿真设,0,0,0,0,2,0,0,2,0.48333333333333334
开关电路,0,0,0,0,8,0,0,8,1.9333333333333333
功率放大器,0,0,0,2,5,0,0,7,1.4583333333333333
ota探头,0,0,0,8,5,2,0,15,2.6916666666666664
终端模拟器,0,0,0,0,4,0,0,4,0.9666666666666667
信道,2,0,7,23,14,37,2,85,18.558333333333334
损耗,0,0,0,0,3,0,0,3,0.725
massivemimo设备,0,0,1,6,5,0,0,12,2.083333333333333
功放,0,0,0,1,2,0,0,3,0.6083333333333334
远场,0,0,1,0,2,0,0,3,0.6083333333333334
衰落信号,0,0,0,0,2,0,0,2,0.48333333333333334
扇形结构,0,0,1,0,2,0,0,3,0.6083333333333334
信道环境,0,0,1,0,4,0,0,5,1.0916666666666668
massivemimoota测试系统,0,0,2,1,7,0,0,10,2.0666666666666664
assivemimoota测试系统,0,0,0,0,2,0,0,2,0.48333333333333334
信令控制,0,0,0,0,1,0,0,1,0.24166666666666667
接收,0,0,0,0,1,0,0,1,0.24166666666666667
发射,0,0,0,0,1,0,0,1,0.24166666666666667
模拟终端信号,0,0,0,0,1,0,0,1,0.24166666666666667
信道模拟器厂,0,0,0,0,1,0,0,1,0.24166666666666667
频带,0,0,0,0,1,0,0,1,0.24166666666666667
频点,0,0,0,0,1,0,0,1,0.24166666666666667
毫米波频段,0,0,3,5,2,0,0,10,1.4833333333333334
massivemimoota,0,0,3,1,1,0,1,6,0.9833333333333334
信道重构,3,1,6,0,2,10,2,24,9.133333333333333
端口资源,0,0,0,0,1,0,0,1,0.24166666666666667
端口数,0,0,0,0,1,0,0,1,0.24166666666666667
极化,0,0,0,7,1,0,0,8,1.1166666666666667
多径衰落环境,0,0,0,1,1,0,0,2,0.3666666666666667
线性区间,0,0,0,0,1,0,0,1,0.24166666666666667
自由传输损耗,0,0,0,0,1,0,0,1,0.24166666666666667
线性度,0,0,0,0,1,0,0,1,0.24166666666666667
尺寸,0,0,0,0,2,0,0,2,0.48333333333333334
隔离度,0,0,0,0,1,0,0,1,0.24166666666666667
插入损耗,0,0,0,0,1,0,0,1,0.24166666666666667
开关速度,0,0,0,0,1,0,0,1,0.24166666666666667
透镜式,0,0,0,0,1,0,0,1,0.24166666666666667
机械,0,0,0,0,1,0,0,1,0.24166666666666667
动态波束赋形,0,0,0,0,1,0,0,1,0.24166666666666667
连接,0,0,0,1,1,0,0,2,0.3666666666666667
资源,0,0,1,0,1,0,0,2,0.3666666666666667
控制信道模拟器,0,0,0,0,1,0,0,1,0.24166666666666667
信道模拟器端口,0,0,1,1,1,0,0,3,0.4916666666666667
全向,0,0,0,0,1,0,0,1,0.24166666666666667
增益,0,0,0,1,1,0,0,2,0.3666666666666667
贴片天线,0,0,0,0,1,0,0,1,0.24166666666666667
ota探头天线,0,0,0,0,2,0,0,2,0.48333333333333334
接收信号,0,0,0,0,1,0,0,1,0.24166666666666667
辐射信号,0,0,0,0,1,0,0,1,0.24166666666666667
探头间耦合,0,0,0,0,1,0,0,1,0.24166666666666667
步进式运动装置,0,0,0,0,1,0,0,1,0.24166666666666667
角度间隔,0,0,0,0,1,0,0,1,0.24166666666666667
系统,2,0,3,0,2,0,0,7,2.8583333333333334
暗室空间,0,0,0,1,1,0,0,2,0.3666666666666667
扇形,0,0,0,0,1,0,0,1,0.24166666666666667
来波,0,0,0,0,1,0,0,1,0.24166666666666667
子径,0,0,1,22,3,24,0,50,9.4
暗室尺寸,0,0,1,0,1,0,0,2,0.3666666666666667
内部信号,0,0,0,0,1,0,0,1,0.24166666666666667
干扰,0,0,0,0,1,0,0,1,0.24166666666666667
外部电磁波,0,0,0,0,1,0,0,1,0.24166666666666667
吸波材料,0,0,0,0,1,0,0,1,0.24166666666666667
误码率,0,0,0,1,1,0,0,2,0.3666666666666667
波束赋形,0,0,0,2,1,0,0,3,0.4916666666666667
组件,0,0,0,0,1,0,0,1,0.24166666666666667
通信过程,0,0,0,0,1,0,0,1,0.24166666666666667
下行链路,0,0,0,0,1,0,0,1,0.24166666666666667
通信,0,0,1,0,2,0,0,3,0.6083333333333334
上行链路,0,0,0,0,1,0,0,1,0.24166666666666667
自由空间,0,0,1,7,1,0,0,9,1.2416666666666667
链路,0,0,0,0,1,0,0,1,0.24166666666666667
动态控制测试,0,0,0,0,1,0,0,1,0.24166666666666667
动态波束赋形测试,0,0,0,0,2,0,0,2,0.48333333333333334
球形结构,0,0,0,0,1,0,0,1,0.24166666666666667
环状,0,0,0,0,1,0,0,1,0.24166666666666667
测设备,0,0,0,0,1,0,0,1,0.24166666666666667
基站面板,0,0,0,1,2,0,0,3,0.6083333333333334
多径信号,0,0,0,2,1,0,0,3,0.4916666666666667
无线电环境,0,0,0,0,1,0,0,1,0.24166666666666667
终端设备,0,0,0,2,2,0,0,4,0.7333333333333334
波束赋形能力,0,0,0,0,1,0,0,1,0.24166666666666667
4gmimoota测试,0,0,1,0,1,0,0,2,0.3666666666666667
mpac,0,0,1,9,3,2,0,15,2.458333333333333
5g,1,0,7,1,0,0,0,9,2.0
预衰落合成法,7,1,18,15,3,8,4,56,16.75
