parent_url,parent_name,this_url,name,level
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_3,ETE通信系统概述5,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_1,LTE系统架构6,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_3,ETE通信系统概述5,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_2,ETE帧结构7,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_5,高速移动信道环境15,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_3,多径传播和多径衰落15,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_5,高速移动信道环境15,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_4,多普勒频移16,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_5,高速移动信道环境15,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_5,快速移动无线信道参数19,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_5,高速移动信道环境15,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_6,高速移动通信环境特点及本文中的解决方案20,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_7,Moose频率同步算法21,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_7,算法介绍21,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_7,Moose频率同步算法21,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_8,算法优缺点分析22,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_8,T,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_9,S&C算法原理简介23,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_8,T,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_10,S&C算法特点和本文提出的两种改进算法24,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_9,利用导频序列的频偏估计算法24,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_11,算法简介24,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_9,利用导频序列的频偏估计算法24,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_12,导频算法特点分析25,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_10,基于循环前缀CP的频偏估计算法25,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_13,基于CP的频偏估计算法原理,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_10,基于循环前缀CP的频偏估计算法25,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_14,基于CP的频偏估计算法分析27,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_11,基于导频序列进行迭代的算法29,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_15,迭代算法系统模型和原理分析29,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_11,基于导频序列进行迭代的算法29,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_16,基于插入导频的迭代算法仿真结果分析31,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_12,时域上一种基于S&C算法的改进算法36,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_17,S&C算法原理及其帧结构36,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_12,时域上一种基于S&C算法的改进算法36,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_18,S&C算法的频偏计算38,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_12,时域上一种基于S&C算法的改进算法36,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_19,改进算法原理39,3
多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_2级_12,时域上一种基于S&C算法的改进算法36,多经信道环境下LTE及LT...-A系统中的多普勒频偏估计_3级_20,改进算法仿真结果分析40,3
