,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
mme,0,0,0,3,0,0,0,3,0.375
lte核心网,0,0,0,3,0,0,0,3,0.375
enb,0,0,0,3,0,0,0,3,0.375
lte系统,1,0,1,10,0,0,0,12,2.375
lte基站,0,0,0,2,0,0,0,2,0.25
p-gw,0,0,0,2,0,0,0,2,0.25
s-gw,0,0,0,2,0,0,0,2,0.25
用户,0,0,0,3,0,0,0,3,0.375
epc,0,0,0,2,0,0,0,2,0.25
通信协议,0,0,0,2,0,0,0,2,0.25
3g通信系统,0,0,0,3,0,0,0,3,0.375
lte接入网,0,0,0,1,0,0,0,1,0.125
输层数据包,0,0,0,1,0,0,0,1,0.125
上下行,0,0,0,1,0,0,0,1,0.125
ip分配,0,0,0,1,0,0,0,1,0.125
包过滤,0,0,0,1,0,0,0,1,0.125
转发,0,0,0,1,0,0,0,1,0.125
路由,0,0,0,1,0,0,0,1,0.125
分组数,0,0,0,1,0,0,0,1,0.125
用户计费,0,0,0,1,0,0,0,1,0.125
合法监听,0,0,0,1,0,0,0,1,0.125
用户面切换,0,0,0,1,0,0,0,1,0.125
ue移动性,0,0,0,1,0,0,0,1,0.125
用户平面数据,0,0,0,1,0,0,0,1,0.125
寻呼,0,0,0,1,0,0,0,1,0.125
平面功能,0,0,0,1,0,0,0,1,0.125
移动性管理,0,0,0,1,0,0,0,1,0.125
空闲状态,0,0,0,1,0,0,0,1,0.125
接入层安全控制,0,0,0,1,0,0,0,1,0.125
信令处,0,0,0,1,0,0,0,1,0.125
传呼,0,0,0,1,0,0,0,1,0.125
定位,0,0,0,1,0,0,0,1,0.125
控制节点,0,0,0,1,0,0,0,1,0.125
lte接入网络,0,0,0,1,0,0,0,1,0.125
移动管理实体,0,0,0,1,0,0,0,1,0.125
pndgateway,0,0,0,1,0,0,0,1,0.125
用户数据包,0,0,0,1,0,0,0,1,0.125
servinggateway,0,0,0,1,0,0,0,1,0.125
用户数据,0,0,0,1,0,0,0,1,0.125
本地网络,0,0,0,1,0,0,0,1,0.125
mobilitymanagemententity,0,0,0,1,0,0,0,1,0.125
信令处理,0,0,0,1,0,0,0,1,0.125
nodeb,0,0,0,1,0,0,0,1,0.125
radionetworkcontroller,0,0,0,1,0,0,0,1,0.125
无线网络控制器,0,0,0,1,0,0,0,1,0.125
ete接入网,0,0,0,1,0,0,0,1,0.125
互联,0,0,0,1,0,0,0,1,0.125
接口,0,0,0,1,0,0,0,1,0.125
uu空中接口,0,0,0,1,0,0,0,1,0.125
基站,1,0,1,16,0,0,0,18,3.125
s1接口,0,0,0,1,0,0,0,1,0.125
x2接口,0,0,0,1,0,0,0,1,0.125
evolvednode,0,0,0,1,0,0,0,1,0.125
