parent_url,parent_name,this_url,name,level
大规模MIMO系统中的低复杂度传输方案研究_2级_2,本论文的研究内容和结构,大规模MIMO系统中的低复杂度传输方案研究_3级_1,论文的主要研究内容,3
大规模MIMO系统中的低复杂度传输方案研究_2级_2,本论文的研究内容和结构,大规模MIMO系统中的低复杂度传输方案研究_3级_2,论文的结构和创新点,3
大规模MIMO系统中的低复杂度传输方案研究_2级_4,大规模天线技术的理论基础,大规模MIMO系统中的低复杂度传输方案研究_3级_3,分集增益,3
大规模MIMO系统中的低复杂度传输方案研究_2级_4,大规模天线技术的理论基础,大规模MIMO系统中的低复杂度传输方案研究_3级_4,复用增益,3
大规模MIMO系统中的低复杂度传输方案研究_2级_4,大规模天线技术的理论基础,大规模MIMO系统中的低复杂度传输方案研究_3级_5,波束成形增益,3
大规模MIMO系统中的低复杂度传输方案研究_2级_6,大规模天线系统遭遇的技术挑战,大规模MIMO系统中的低复杂度传输方案研究_3级_6,信道信息的获取,3
大规模MIMO系统中的低复杂度传输方案研究_2级_6,大规模天线系统遭遇的技术挑战,大规模MIMO系统中的低复杂度传输方案研究_3级_7,导频污染,3
大规模MIMO系统中的低复杂度传输方案研究_2级_6,大规模天线系统遭遇的技术挑战,大规模MIMO系统中的低复杂度传输方案研究_3级_8,多用户传输的挑战,3
大规模MIMO系统中的低复杂度传输方案研究_2级_8,概率图模型简介,大规模MIMO系统中的低复杂度传输方案研究_3级_9,因子图,3
大规模MIMO系统中的低复杂度传输方案研究_2级_9,信道编码概述,大规模MIMO系统中的低复杂度传输方案研究_3级_10,LDPC码简介,3
大规模MIMO系统中的低复杂度传输方案研究_2级_9,信道编码概述,大规模MIMO系统中的低复杂度传输方案研究_3级_11,LDPC码及其因子图模型,3
大规模MIMO系统中的低复杂度传输方案研究_2级_9,信道编码概述,大规模MIMO系统中的低复杂度传输方案研究_3级_12,LDPC码的编码和译码算法,3
大规模MIMO系统中的低复杂度传输方案研究_2级_10,置信度传播算法,大规模MIMO系统中的低复杂度传输方案研究_3级_13,置信度传播算法在通信中的一个应用：LDPC的迭代译码,3
大规模MIMO系统中的低复杂度传输方案研究_2级_14,大规模天线系统下非相干检测的系统模型,大规模MIMO系统中的低复杂度传输方案研究_3级_14,非相干自相关接收机,3
大规模MIMO系统中的低复杂度传输方案研究_2级_14,大规模天线系统下非相干检测的系统模型,大规模MIMO系统中的低复杂度传输方案研究_3级_15,多符号差分检测,3
大规模MIMO系统中的低复杂度传输方案研究_2级_15,大规模天线系统下非相干联合检测与信道译码,大规模MIMO系统中的低复杂度传输方案研究_3级_16,软入软出多符号差分检测,3
大规模MIMO系统中的低复杂度传输方案研究_2级_15,大规模天线系统下非相干联合检测与信道译码,大规模MIMO系统中的低复杂度传输方案研究_3级_17,参数的估计,3
大规模MIMO系统中的低复杂度传输方案研究_2级_15,大规模天线系统下非相干联合检测与信道译码,大规模MIMO系统中的低复杂度传输方案研究_3级_18,联合多符号差分检测与信道译码,3
大规模MIMO系统中的低复杂度传输方案研究_2级_20,非相干多用户传输方法,大规模MIMO系统中的低复杂度传输方案研究_3级_19,多用户非相干自相关接收机,3
大规模MIMO系统中的低复杂度传输方案研究_2级_20,非相干多用户传输方法,大规模MIMO系统中的低复杂度传输方案研究_3级_20,多用户非相干顺序干扰消除,3
大规模MIMO系统中的低复杂度传输方案研究_2级_20,非相干多用户传输方法,大规模MIMO系统中的低复杂度传输方案研究_3级_21,多用户软入软出多符号差分检测,3
大规模MIMO系统中的低复杂度传输方案研究_2级_20,非相干多用户传输方法,大规模MIMO系统中的低复杂度传输方案研究_3级_22,基于用户调度的非相干多用户检测与译码,3
