parent_url,parent_name,this_url,name,level,word_frequency
异构认知网络中LTE与Wi-Fi信号盲识别技术研究_2级_1,课题研究背景及意义,异构认知网络中LTE与Wi-Fi信号盲识别技术研究_知识点_1,信号,4,28
异构认知网络中LTE与Wi-Fi信号盲识别技术研究_2级_1,课题研究背景及意义,异构认知网络中LTE与Wi-Fi信号盲识别技术研究_知识点_2,特征参数,4,14
异构认知网络中LTE与Wi-Fi信号盲识别技术研究_2级_1,课题研究背景及意义,异构认知网络中LTE与Wi-Fi信号盲识别技术研究_知识点_3,lte,4,9
异构认知网络中LTE与Wi-Fi信号盲识别技术研究_2级_1,课题研究背景及意义,异构认知网络中LTE与Wi-Fi信号盲识别技术研究_知识点_4,wi-fi,4,9
异构认知网络中LTE与Wi-Fi信号盲识别技术研究_2级_1,课题研究背景及意义,异构认知网络中LTE与Wi-Fi信号盲识别技术研究_知识点_5,通信,4,9
异构认知网络中LTE与Wi-Fi信号盲识别技术研究_2级_1,课题研究背景及意义,异构认知网络中LTE与Wi-Fi信号盲识别技术研究_知识点_6,认知用户,4,8
异构认知网络中LTE与Wi-Fi信号盲识别技术研究_2级_1,课题研究背景及意义,异构认知网络中LTE与Wi-Fi信号盲识别技术研究_知识点_7,异构认知网络,4,7
异构认知网络中LTE与Wi-Fi信号盲识别技术研究_2级_1,课题研究背景及意义,异构认知网络中LTE与Wi-Fi信号盲识别技术研究_知识点_8,主用户,4,7
异构认知网络中LTE与Wi-Fi信号盲识别技术研究_2级_1,课题研究背景及意义,异构认知网络中LTE与Wi-Fi信号盲识别技术研究_知识点_9,异构网络,4,7
异构认知网络中LTE与Wi-Fi信号盲识别技术研究_2级_1,课题研究背景及意义,异构认知网络中LTE与Wi-Fi信号盲识别技术研究_知识点_10,混叠信号,4,6
异构认知网络中LTE与Wi-Fi信号盲识别技术研究_2级_1,课题研究背景及意义,异构认知网络中LTE与Wi-Fi信号盲识别技术研究_知识点_11,频率,4,6
