,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
信号,14,0,61,82,70,41,20,288,63.53333333333333
特征参数,3,0,16,26,12,3,3,63,12.6
lte,17,0,41,18,41,46,16,179,49.266666666666666
wi-fi,12,0,36,15,28,44,17,152,39.88333333333333
通信,0,0,9,3,0,1,0,13,1.7416666666666667
认知用户,2,0,10,8,1,0,4,25,5.458333333333333
异构认知网络,6,1,29,20,5,7,11,79,19.683333333333334
主用户,1,0,7,6,0,0,0,14,2.625
异构网络,3,0,7,17,0,0,1,28,6.241666666666667
混叠信号,5,0,34,33,0,66,12,150,32.225
频率,0,0,6,6,5,1,1,19,3.1916666666666664
幅度,0,0,5,6,0,0,1,12,1.6166666666666667
主用户通信,1,0,5,4,0,0,1,11,2.3666666666666667
覆盖式,1,0,6,0,0,0,2,9,2.2333333333333334
相位,0,0,4,2,0,0,1,7,0.9916666666666667
制式信号,0,0,4,3,0,3,0,10,1.6
干扰,3,0,5,14,5,3,0,30,7.308333333333334
频谱共享,3,0,5,7,0,0,2,17,4.983333333333333
频谱利用率,1,0,5,2,0,0,2,10,2.3583333333333334
频谱资源,0,0,4,4,0,0,1,9,1.2416666666666667
无线通信网络,1,0,4,0,0,0,0,5,1.5
多载波信号,0,0,3,7,2,1,2,15,2.458333333333333
wi-fi信号,7,0,13,6,15,4,6,51,15.416666666666668
非授权频段,3,0,6,2,0,0,4,15,4.966666666666667
lte-u,3,0,7,4,8,3,3,28,7.758333333333333
先验信息,2,0,3,6,5,2,2,20,5.3
用户,0,0,3,1,0,0,0,4,0.5
频谱共享技术,0,0,4,0,0,0,1,5,0.7416666666666667
网络,0,0,3,2,0,1,0,6,0.8666666666666667
频谱,0,0,3,6,2,0,0,11,1.6083333333333334
无线通信技术,1,0,3,1,0,0,0,5,1.5
导频特征参数,0,0,2,0,0,0,2,4,0.7333333333333334
识别,0,0,4,10,2,3,1,20,3.2
高阶累积量,0,0,5,6,1,2,0,14,2.1
计算量,0,0,2,0,0,1,0,3,0.4916666666666667
高阶统计量,0,0,2,8,3,0,0,13,1.975
频域,2,0,6,8,6,5,1,28,6.65
时域,0,0,4,6,3,5,0,18,3.1833333333333336
盲识别,1,0,13,36,10,13,2,75,13.166666666666668
工作参数,1,0,2,2,0,0,0,5,1.5
主用户信号,0,0,2,2,3,0,0,7,1.225
调制,1,0,8,15,10,1,3,38,7.258333333333333
发射功率,1,0,2,3,0,0,0,6,1.625
覆盖式频谱共享,0,0,2,1,0,0,0,3,0.375
机会式频谱共享,0,0,2,0,0,0,0,2,0.25
认知无线电,1,0,2,1,0,0,1,5,1.6166666666666667
授权频段,1,0,2,2,0,0,0,5,1.5
模拟,0,0,2,0,0,0,0,2,0.25
容量,0,0,2,6,1,0,0,9,1.2416666666666667
差异性,0,0,1,1,0,0,1,3,0.4916666666666667
单信号,5,0,14,17,23,11,8,78,19.025
周期参数,0,0,1,0,0,0,1,2,0.3666666666666667
信号周期,0,0,1,1,0,0,1,3,0.4916666666666667
带宽,0,0,7,5,20,3,4,39,8.025
导频子载波信息,0,0,1,0,0,0,1,2,0.3666666666666667
周期特征参数,0,0,1,0,0,0,1,2,0.3666666666666667
ofdm调制特性,0,0,1,1,0,0,0,2,0.25
ofdm调制,0,0,3,11,6,3,1,24,4.166666666666666
共信道多信号,0,0,1,0,0,0,0,1,0.125
independentcomponent,0,0,1,0,0,0,0,1,0.125
识别复杂度,0,0,1,0,0,0,0,1,0.125
分离算法,0,0,1,0,0,1,0,2,0.3666666666666667
多信号调制,0,0,1,0,0,0,0,1,0.125
性能,2,0,7,5,4,9,3,30,7.366666666666667
识别算法,0,0,1,0,0,0,0,1,0.125
识别精度,0,0,1,0,0,0,0,1,0.125
瞬态参数信息,0,0,1,0,0,0,0,1,0.125
时频分析,0,0,1,1,0,0,0,2,0.25
wigner-ville分布,0,0,1,0,0,0,0,1,0.125
