dissertation,name,this_url,language,word_frequency
支持DMA多队列的PCIE高速网卡设计与实现,高速智能网卡,支持DMA多队列的PCIE高速网卡设计与实现_摘要_1,中文,4
支持DMA多队列的PCIE高速网卡设计与实现,网卡,支持DMA多队列的PCIE高速网卡设计与实现_摘要_2,中文,2
支持DMA多队列的PCIE高速网卡设计与实现,vivado+,支持DMA多队列的PCIE高速网卡设计与实现_摘要_3,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,modelsim软件,支持DMA多队列的PCIE高速网卡设计与实现_摘要_4,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,功能仿真,支持DMA多队列的PCIE高速网卡设计与实现_摘要_5,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,仿真结,支持DMA多队列的PCIE高速网卡设计与实现_摘要_6,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,工程,支持DMA多队列的PCIE高速网卡设计与实现_摘要_7,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,64b/66b编码,支持DMA多队列的PCIE高速网卡设计与实现_摘要_8,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,物理编码子层,支持DMA多队列的PCIE高速网卡设计与实现_摘要_9,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,physicalcodingsublayer,支持DMA多队列的PCIE高速网卡设计与实现_摘要_10,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,接收时,支持DMA多队列的PCIE高速网卡设计与实现_摘要_11,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,同步头,支持DMA多队列的PCIE高速网卡设计与实现_摘要_12,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,锁定,支持DMA多队列的PCIE高速网卡设计与实现_摘要_13,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,介质访问控制层,支持DMA多队列的PCIE高速网卡设计与实现_摘要_14,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,mediaaccesscontrol,支持DMA多队列的PCIE高速网卡设计与实现_摘要_15,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,硬件卸载加速,支持DMA多队列的PCIE高速网卡设计与实现_摘要_16,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,内容可寻址存储器,支持DMA多队列的PCIE高速网卡设计与实现_摘要_17,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,content-addressablememory,支持DMA多队列的PCIE高速网卡设计与实现_摘要_18,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,匹配查找功能,支持DMA多队列的PCIE高速网卡设计与实现_摘要_19,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,pci-express总线接口,支持DMA多队列的PCIE高速网卡设计与实现_摘要_20,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,描述符,支持DMA多队列的PCIE高速网卡设计与实现_摘要_21,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,直接内存访问,支持DMA多队列的PCIE高速网卡设计与实现_摘要_22,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,directmemoryaccess,支持DMA多队列的PCIE高速网卡设计与实现_摘要_23,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,dma,支持DMA多队列的PCIE高速网卡设计与实现_摘要_24,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,数据,支持DMA多队列的PCIE高速网卡设计与实现_摘要_25,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,快速搬移,支持DMA多队列的PCIE高速网卡设计与实现_摘要_26,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,速智能网卡,支持DMA多队列的PCIE高速网卡设计与实现_摘要_27,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,64b/66b编码技术,支持DMA多队列的PCIE高速网卡设计与实现_摘要_28,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,硬件卸载加速技术,支持DMA多队列的PCIE高速网卡设计与实现_摘要_29,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,dma多队列技术,支持DMA多队列的PCIE高速网卡设计与实现_摘要_30,中文,1
支持DMA多队列的PCIE高速网卡设计与实现,物联网,支持DMA多队列的PCIE高速网卡设计与实现_摘要_31,中文,1
