parent_url,parent_name,this_url,name,level
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_2,国内外研究现状2,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_1,国外研究现状2,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_2,国内外研究现状2,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_2,国内研究现状4,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_5,」TFETs工作原理10,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_3,TFETs工作原理,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_5,」TFETs工作原理10,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_4,TFETs重要指标11,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_5,」TFETs工作原理10,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_5,TFEFs分析模型16,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_8,GASGAATFET结构设计22,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_6,基本结构设计22,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_8,GASGAATFET结构设计22,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_7,错环绕源极结构设计23,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_9,GASGAATFET的基本特性29,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_8,转移特性29,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_9,GASGAATFET的基本特性29,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_9,带带隧穿30,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_10,GASGAATFET的优化设计31,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_10,电流密度32,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_10,GASGAATFET的优化设计31,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_11,带带隧穿32,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_10,GASGAATFET的优化设计31,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_12,转移特性33,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_13,低关态电流的O-GASGAATFET的研究37,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_13,O-GASGAATFET的结构设计37,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_13,低关态电流的O-GASGAATFET的研究37,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_14,O-GASGAATFET的基本特性38,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_13,低关态电流的O-GASGAATFET的研究37,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_15,O-GASGAATFET的工艺设计42,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_14,高开态电流的P-GASGAATFET的研究43,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_16,P-GASGAATFET的结构设计43,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_14,高开态电流的P-GASGAATFET的研究43,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_17,P-GASGAATFET的基本特性45,3
新型环栅隧穿场效应晶体管的结构设计与性能优化_2级_14,高开态电流的P-GASGAATFET的研究43,新型环栅隧穿场效应晶体管的结构设计与性能优化_3级_18,P-GASGAATFET的工艺设计49,3
