dissertation,name,this_url,language
新型环栅隧穿场效应晶体管的结构设计与性能优化,隧穿场效应晶体管,新型环栅隧穿场效应晶体管的结构设计与性能优化_关键词_1,中文
新型环栅隧穿场效应晶体管的结构设计与性能优化,开态电流,新型环栅隧穿场效应晶体管的结构设计与性能优化_关键词_2,中文
新型环栅隧穿场效应晶体管的结构设计与性能优化,转移特性,新型环栅隧穿场效应晶体管的结构设计与性能优化_关键词_3,中文
新型环栅隧穿场效应晶体管的结构设计与性能优化,带带隧穿,新型环栅隧穿场效应晶体管的结构设计与性能优化_关键词_4,中文
新型环栅隧穿场效应晶体管的结构设计与性能优化,错环绕源极环栅隧穿场效应晶体管,新型环栅隧穿场效应晶体管的结构设计与性能优化_关键词_5,中文
新型环栅隧穿场效应晶体管的结构设计与性能优化,TFET,新型环栅隧穿场效应晶体管的结构设计与性能优化_keyword_6,英文
新型环栅隧穿场效应晶体管的结构设计与性能优化,On-State Cureent,新型环栅隧穿场效应晶体管的结构设计与性能优化_keyword_7,英文
新型环栅隧穿场效应晶体管的结构设计与性能优化,Transfer Characteristics,新型环栅隧穿场效应晶体管的结构设计与性能优化_keyword_8,英文
新型环栅隧穿场效应晶体管的结构设计与性能优化,BandtoBand Tunneling,新型环栅隧穿场效应晶体管的结构设计与性能优化_keyword_9,英文
新型环栅隧穿场效应晶体管的结构设计与性能优化,GAS GAA TFET,新型环栅隧穿场效应晶体管的结构设计与性能优化_keyword_10,英文
