,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
无人机,11,1,43,48,0,0,6,109,25.825
通信,1,0,6,11,3,18,2,41,8.683333333333334
自组织网络,3,1,15,27,0,1,2,49,10.975
et,0,0,2,0,0,3,0,5,0.975
地面控制台,1,0,2,0,0,0,0,3,1.25
实时监测,0,0,2,0,0,0,0,2,0.25
救灾,0,0,2,0,0,0,0,2,0.25
机器,0,0,2,0,0,0,0,2,0.25
人力,0,0,2,0,0,0,0,2,0.25
抗毁,0,0,1,0,0,0,0,1,0.125
无人机系统,0,0,1,0,0,0,0,1,0.125
数据,0,0,1,24,8,36,2,71,14.241666666666667
指控指令,0,0,1,0,0,0,0,1,0.125
抗毁性,0,0,1,2,0,0,0,3,0.375
节点,0,0,3,53,35,118,0,209,43.975
单无人机,0,0,1,0,0,0,0,1,0.125
无人机网络通信,0,0,1,0,0,0,0,1,0.125
vehicleadhocnet,0,0,1,0,0,0,0,1,0.125
车载自组网,0,0,1,0,0,0,0,1,0.125
mobileadhocnet,0,0,1,0,0,0,0,1,0.125
移动自组网,0,0,1,0,0,0,0,1,0.125
多无人机,0,0,1,0,0,0,0,1,0.125
信息,0,0,2,2,6,0,0,10,1.95
干扰,0,0,1,2,0,0,0,3,0.375
单无人机系统,0,0,1,0,0,0,0,1,0.125
直接通信,1,0,1,0,0,0,0,2,1.125
时间,0,0,1,2,2,11,0,16,3.5166666666666666
密林,0,0,1,0,0,0,0,1,0.125
救灾路线,0,0,1,0,0,0,0,1,0.125
救灾中心,0,0,1,0,0,0,0,1,0.125
图像,0,0,1,0,0,0,0,1,0.125
道路,0,0,1,0,0,0,0,1,0.125
山体,0,0,1,0,0,0,0,1,0.125
通信基础设施,0,0,1,0,0,0,0,1,0.125
地震灾害,0,0,1,0,0,0,0,1,0.125
冰冻灾害,0,0,1,0,0,0,0,1,0.125
飓风,0,0,1,0,0,0,0,1,0.125
灾后搜索,0,0,1,0,0,0,0,1,0.125
风中,0,0,1,0,0,0,0,1,0.125
大气,0,0,1,0,0,0,0,1,0.125
海洋,0,0,1,0,0,0,0,1,0.125
诺埃尔飓风,0,0,1,0,0,0,0,1,0.125
火灾,0,0,1,0,0,0,0,1,0.125
飞行工业公司,0,0,1,0,0,0,0,1,0.125
气象探测,0,0,1,0,0,0,0,1,0.125
航拍,0,0,1,0,0,0,0,1,0.125
农药,0,0,1,0,0,0,0,1,0.125
污染监测,0,0,1,0,0,0,0,1,0.125
电力巡检,0,0,1,0,0,0,0,1,0.125
快速打击,0,0,1,0,0,0,0,1,0.125
巡航,0,0,1,0,0,0,0,1,0.125
侦察,0,0,1,0,0,0,0,1,0.125
路由协议,0,0,15,14,2,2,1,34,4.833333333333333
网络,0,0,6,15,7,6,0,34,5.766666666666667
性能,1,0,9,9,1,8,4,32,6.391666666666667
无人机自组网,0,0,4,0,0,0,1,5,0.7416666666666667
无线自组织网络,0,0,4,1,0,0,0,5,0.625
移动模型,1,0,4,0,13,6,1,25,6.333333333333333
吞吐量,0,0,3,8,1,8,0,20,3.55
无人机通信,0,0,4,0,0,0,0,4,0.5
p-olsr,0,0,3,0,0,0,0,3,0.375
olsr,0,0,3,2,0,0,0,5,0.625
跨层协议,0,0,4,0,0,0,0,4,0.5
移动自组织网络,1,0,3,3,0,0,0,7,1.75
任务,0,0,2,0,0,0,0,2,0.25
跨层结构,0,0,2,0,0,0,0,2,0.25
跨层路由协议,0,0,2,0,0,0,0,2,0.25
无线自组网,0,0,2,0,0,0,0,2,0.25
仿真,4,0,6,0,17,23,3,53,15.141666666666667
预测链路状态路由协议,0,0,2,0,0,0,0,2,0.25
拓扑,0,0,2,3,0,0,0,5,0.625
动态性,0,0,2,1,0,0,0,3,0.375
uav网络,0,0,2,0,0,0,0,2,0.25
aodv算法,0,0,2,0,0,0,0,2,0.25
olsr算法,0,0,2,0,0,0,0,2,0.25
路由算法,0,0,2,0,0,0,0,2,0.25
adhoc网络,0,0,2,25,0,1,0,28,3.6166666666666667
车载自组织网络,0,0,2,0,0,0,0,2,0.25
无人机通信网络,0,0,2,0,0,0,0,2,0.25
随机移动模型,0,0,1,0,0,0,0,1,0.125
成本效率,0,0,1,0,0,0,0,1,0.125
连接,0,0,1,0,0,0,0,1,0.125
目标,0,0,1,0,0,0,0,1,0.125
任务规划算法,0,0,1,0,0,0,0,1,0.125
离散随机优化,0,0,1,0,0,0,0,1,0.125
组合优化,0,0,1,0,0,0,0,1,0.125
csd,0,0,1,0,0,0,0,1,0.125
状态信息,0,0,1,0,0,0,0,1,0.125
