,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
地图,0,0,0,11,65,48,1,1,126,22.21875
标记点,0,0,0,0,48,0,6,2,56,10.15
标记数组,0,0,0,0,32,0,0,0,32,5.8
巡回区域,0,0,0,0,25,14,5,1,45,8.15625
区域,1,0,1,0,14,3,5,1,25,5.29375
经纬度信息,0,0,0,0,24,25,2,3,54,9.7875
服务器,0,0,1,1,38,10,3,0,53,9.49375
标记,0,0,0,5,18,1,1,0,25,4.25
核心代码,0,0,0,0,9,0,0,0,9,1.6312499999999999
areainfoservice,0,0,0,0,4,0,0,0,4,0.725
经纬度信息数组,0,0,0,0,5,1,0,0,6,1.0875
百度地图,2,0,0,5,27,1,4,1,40,8.60625
事件函数,0,0,0,0,8,1,0,0,9,1.6312499999999999
areainfb,0,0,0,0,3,0,0,0,3,0.54375
info,0,0,0,0,3,0,0,0,3,0.54375
请求参数,0,0,0,0,3,0,0,0,3,0.54375
parameter,0,0,0,0,3,0,0,0,3,0.54375
区域信息,0,0,0,0,4,0,0,0,4,0.725
tareainfbdao,0,0,0,0,3,0,0,0,3,0.54375
位置信息,0,0,2,1,4,8,1,0,16,2.7312499999999997
数据,0,0,1,2,17,5,0,0,25,4.3625
半径,0,0,0,0,14,2,0,0,16,2.9
经纬度数组,0,0,0,0,17,1,0,0,18,3.2624999999999997
元素,0,0,0,2,7,0,0,0,9,1.51875
数据库,0,0,1,4,13,16,1,0,35,6.0625
区域编号,0,0,0,0,5,0,0,0,5,0.90625
控件,0,0,0,0,6,1,0,0,7,1.26875
参数,0,0,0,4,8,3,0,0,15,2.49375
区域巡回信息,0,0,0,0,3,0,0,1,4,0.725
rea,0,0,0,0,2,0,0,0,2,0.3625
parsefloat,0,0,0,0,3,0,0,0,3,0.54375
memo,0,0,0,0,3,0,0,0,3,0.54375
arearadius,0,0,0,0,2,0,0,0,2,0.3625
parame,0,0,0,0,2,0,0,0,2,0.3625
areaname,0,0,0,0,2,0,0,0,2,0.3625
tl,0,0,0,0,4,0,0,0,4,0.725
循环读取,0,0,0,0,8,2,0,0,10,1.8125
监听事件,0,0,0,0,14,0,0,0,14,2.5375
画圆,0,0,0,0,3,0,0,0,3,0.54375
地图api,0,0,0,0,2,0,0,0,2,0.3625
球面距离,0,0,0,0,8,0,0,0,8,1.45
属性,0,0,0,2,4,2,0,0,8,1.3375
双击监听事件函数,0,0,0,0,2,0,0,0,2,0.3625
区域半径,0,0,0,0,2,2,0,0,4,0.725
fo,0,0,0,0,2,0,0,0,2,0.3625
线路,1,0,3,1,47,2,15,3,72,13.643749999999999
aiufbo,0,0,0,0,1,0,0,0,1,0.18125
add,0,0,0,0,1,0,0,0,1,0.18125
fkbentjocation,0,0,0,0,1,0,0,0,1,0.18125
巡回区域信,0,0,0,0,1,0,0,0,1,0.18125
fe,0,0,0,0,1,0,0,0,1,0.18125
t_areainfo,0,0,0,0,2,0,0,0,2,0.3625
ien,0,0,0,0,2,0,0,0,2,0.3625
qlmap,0,0,0,0,2,0,0,0,2,0.3625
tareainfo,0,0,0,0,1,0,0,0,1,0.18125
voidins,0,0,0,0,1,0,0,0,1,0.18125
ta,0,0,0,0,1,0,0,0,1,0.18125
ient,0,0,0,0,2,0,0,0,2,0.3625
ss,0,0,0,0,1,0,0,0,1,0.18125
mple,0,0,0,0,2,0,0,0,2,0.3625
ass,0,0,0,0,2,0,0,0,2,0.3625
dao层,0,0,0,0,2,0,0,0,2,0.3625
dao,0,0,0,0,1,0,0,0,1,0.18125
cord,0,0,0,0,1,0,0,0,1,0.18125
cept,0,0,0,0,1,0,0,0,1,0.18125
acces,0,0,0,0,1,0,0,0,1,0.18125
ata,0,0,0,0,1,0,0,0,1,0.18125
ida,0,0,0,0,1,0,0,0,1,0.18125
im,0,0,0,0,2,0,0,0,2,0.3625
service层,0,0,0,0,2,0,0,0,2,0.3625
exception,0,0,0,0,1,0,0,0,1,0.18125
ap,0,0,0,0,1,0,0,0,1,0.18125
ess,0,0,0,0,1,0,0,0,1,0.18125
su,0,0,0,0,1,0,0,0,1,0.18125
layoutflash,0,0,0,0,1,0,0,0,1,0.18125
areainfbservice,0,0,0,0,1,0,0,0,1,0.18125
are,0,0,0,0,1,0,0,0,1,0.18125
al,0,0,0,0,1,0,0,0,1,0.18125
occ,0,0,0,0,1,0,0,0,1,0.18125
宣传内容,0,0,0,0,1,0,0,0,1,0.18125
at,0,0,0,0,2,0,0,0,2,0.3625
rsef,0,0,0,0,1,0,0,0,1,0.18125
区域名称,0,0,0,0,1,0,0,0,1,0.18125
ques,0,0,0,0,1,0,0,0,1,0.18125
xception,0,0,0,0,2,0,0,0,2,0.3625
hrowse,0,0,0,0,1,0,0,0,1,0.18125
nse,0,0,0,0,1,0,0,0,1,0.18125
res,0,0,0,0,1,0,0,0,1,0.18125
httpservletresponse,0,0,0,0,1,0,0,0,1,0.18125
requestreques,0,0,0,0,1,0,0,0,1,0.18125
ervlet,0,0,0,0,1,0,0,0,1,0.18125
ba,0,0,0,0,1,0,0,0,1,0.18125
troller,0,0,0,0,1,0,0,0,1,0.18125
multiaction,0,0,0,0,1,0,0,0,1,0.18125
ten,0,0,0,0,1,0,0,0,1,0.18125
ontroller,0,0,0,0,1,0,0,0,1,0.18125
