,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
信号,3,0,19,42,29,13,4,110,21.741666666666667
去极化效应,9,0,31,31,25,8,12,116,27.625
极化调制,6,1,29,51,26,23,14,150,33.225
极化状态,3,0,11,70,35,6,6,131,24.483333333333334
xpd,7,0,22,16,30,25,10,110,27.458333333333336
性能,6,0,19,10,21,21,12,89,22.675
功放,0,0,6,4,2,0,1,13,1.975
极化信号,0,0,8,11,13,4,4,40,7.45
偏振模色散,0,0,4,1,0,0,0,5,0.625
信道,9,0,31,1,23,55,13,132,34.99166666666667
无线通信,0,0,6,18,0,0,4,28,3.966666666666667
能耗,0,0,4,0,0,0,0,4,0.5
xpd补偿算法,9,0,25,0,17,18,9,78,22.758333333333333
载波,0,0,3,3,0,0,0,6,0.75
pmd,0,0,5,10,0,0,1,16,2.1166666666666667
极化,0,0,5,18,16,6,3,48,8.916666666666668
卫星通信,0,0,3,0,0,0,0,3,0.375
光纤通信,0,0,4,15,0,0,0,19,2.375
接收端,1,0,8,3,18,13,5,48,11.075
效率,0,0,3,0,0,0,0,3,0.375
分量,3,0,3,8,8,0,3,25,7.033333333333333
极化分集增益,0,0,2,2,1,0,1,6,0.9833333333333334
交叉极化干扰,0,0,2,3,3,0,0,8,1.35
星座失真,0,0,2,1,2,1,0,6,1.1
pdl效应,0,0,2,1,0,0,0,3,0.375
功率衰减,0,0,2,2,0,0,0,4,0.5
pdl,0,0,4,20,0,0,1,25,3.2416666666666667
polarization,0,0,2,0,0,0,0,2,0.25
无线信道,2,0,6,11,0,1,3,23,5.091666666666667
频率,0,0,2,6,0,0,0,8,1.0
线性区,0,0,2,0,0,0,0,2,0.25
相位,0,0,2,5,1,0,0,8,1.1166666666666667
幅度,0,0,2,7,1,0,0,10,1.3666666666666667
承载信息,1,0,2,4,0,1,2,10,2.475
转换效率,0,0,2,1,0,0,0,3,0.375
多载波,0,0,2,2,0,0,0,4,0.5
绿色通信,1,0,2,0,0,0,0,3,1.25
无线通信产业,0,0,2,0,0,0,0,2,0.25
误差,8,0,23,0,0,53,10,94,26.1
信道状态信息,5,0,9,0,1,7,7,29,9.75
补偿算法,5,1,7,1,10,11,5,40,14.283333333333333
功放能效,3,0,4,2,11,22,2,44,12.208333333333334
误码率,0,1,2,1,11,8,1,24,7.208333333333333
补偿前后极化调制,0,0,1,0,0,2,1,4,0.85
