,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
服务器,0,0,0,0,0,11,0,11,2.658333333333333
数据,1,0,0,6,0,15,0,22,5.375
客户端,0,0,0,0,0,11,0,11,2.658333333333333
用户界面,0,0,0,0,0,2,0,2,0.48333333333333334
宽带频谱信号,0,0,0,0,0,1,0,1,0.24166666666666667
频域信号,0,0,0,0,0,2,0,2,0.48333333333333334
时域,0,0,0,2,1,3,0,6,1.2166666666666668
信号,2,0,8,37,26,27,3,103,21.15833333333333
频谱,0,0,1,3,5,6,0,15,3.158333333333333
服务器端,0,0,0,0,0,2,0,2,0.48333333333333334
正弦信号,0,0,0,0,0,1,0,1,0.24166666666666667
功率,0,0,0,1,0,2,0,3,0.6083333333333334
频率,0,0,0,0,2,7,0,9,2.175
信号源,0,0,0,0,0,2,0,2,0.48333333333333334
带宽,0,0,0,5,0,17,0,22,4.733333333333333
速率,0,0,0,0,0,1,0,1,0.24166666666666667
中心样率,0,0,0,0,0,1,0,1,0.24166666666666667
参数,0,0,0,1,0,4,2,7,1.575
样时长,0,0,0,0,0,1,0,1,0.24166666666666667
样带宽,0,0,0,0,0,1,0,1,0.24166666666666667
样率,0,0,1,2,1,16,0,20,4.483333333333333
前端,0,0,0,0,0,1,0,1,0.24166666666666667
界面,0,0,0,0,0,1,0,1,0.24166666666666667
mfc,0,0,0,0,0,1,0,1,0.24166666666666667
宽带数据,0,0,0,1,0,2,0,3,0.6083333333333334
配置参数,0,0,0,0,0,2,0,2,0.48333333333333334
连接请求,0,0,0,0,0,2,0,2,0.48333333333333334
连接,0,0,0,0,0,2,0,2,0.48333333333333334
端口号,0,0,0,0,0,1,0,1,0.24166666666666667
服务器客户端模,0,0,0,0,0,1,0,1,0.24166666666666667
互联网,0,0,0,0,0,1,0,1,0.24166666666666667
数据集系统,0,0,0,0,0,3,0,3,0.725
ui接口,0,0,0,0,0,1,0,1,0.24166666666666667
电源,0,0,0,0,0,9,0,9,2.175
元器件,0,0,0,0,0,5,0,5,1.2083333333333333
走线,0,0,0,0,0,2,0,2,0.48333333333333334
电路板,0,0,0,0,0,4,0,4,0.9666666666666667
pcb板,0,0,0,0,0,2,0,2,0.48333333333333334
打孔元件,0,0,0,0,0,1,0,1,0.24166666666666667
底层贴片元件,0,0,0,0,0,1,0,1,0.24166666666666667
顶层贴片元件,0,0,0,0,0,1,0,1,0.24166666666666667
压缩感知系统,3,0,2,3,0,7,1,16,5.558333333333334
地线,0,0,0,0,0,1,0,1,0.24166666666666667
中间层,0,0,0,0,0,1,0,1,0.24166666666666667
署元器件,0,0,0,0,0,1,0,1,0.24166666666666667
四层电路板,0,0,0,0,0,1,0,1,0.24166666666666667
面积,0,0,0,0,0,1,0,1,0.24166666666666667
零欧姆电阻,0,0,0,0,0,1,0,1,0.24166666666666667
模拟地,0,0,0,0,0,1,0,1,0.24166666666666667
数字地,0,0,0,0,0,1,0,1,0.24166666666666667
内层,0,0,0,0,0,1,0,1,0.24166666666666667
数字,0,0,0,0,0,4,0,4,0.9666666666666667
模拟,0,0,0,0,0,1,0,1,0.24166666666666667
数字电路,0,0,0,0,0,2,0,2,0.48333333333333334
模拟电路,0,0,0,0,0,4,0,4,0.9666666666666667
cb,0,0,0,0,0,1,0,1,0.24166666666666667
稀疏度,1,0,7,6,35,19,4,72,16.641666666666666
压缩感知算法,0,0,2,0,8,0,0,10,2.1833333333333336
流信号,1,1,0,1,10,0,0,13,5.541666666666666
akf算法,0,0,0,0,7,0,0,7,1.6916666666666667
压缩感知,1,1,9,40,8,10,3,72,14.2
aic,2,0,5,11,6,0,0,24,5.45
观测噪声,0,0,0,0,8,0,0,8,1.9333333333333333
协方差矩阵,0,0,1,0,5,0,0,6,1.3333333333333333
噪声,1,0,3,1,22,3,3,33,8.266666666666666
卡尔曼滤波,0,1,0,0,7,0,0,8,3.6916666666666664
滑动窗,0,0,0,0,3,0,0,3,0.725
块效应,0,0,0,0,3,0,0,3,0.725
宽带流信号,0,0,9,9,7,0,2,27,4.425
akf,0,0,0,0,8,0,0,8,1.9333333333333333
系统噪声,0,0,0,0,6,0,0,6,1.45
矩阵,0,0,0,12,2,0,0,14,1.9833333333333334
稀疏流信号,0,0,0,0,3,0,1,4,0.9666666666666667
向量,0,0,0,10,2,2,0,14,2.216666666666667
卡尔曼迭代滤波,0,0,0,0,6,0,0,6,1.45
噪声协方差矩阵,0,0,0,0,5,0,0,5,1.2083333333333333
kfcs算法,0,0,0,0,2,0,0,2,0.48333333333333334
恢复信号,0,0,0,0,3,0,0,3,0.725
时间窗,1,0,1,0,6,0,0,8,2.575
稀疏度动态调整策略,0,0,0,0,1,0,0,1,0.24166666666666667
噪声自适应估计,0,0,0,0,2,0,0,2,0.48333333333333334
收敛速度,0,0,0,1,5,0,0,6,1.3333333333333333
观察窗,0,0,0,0,1,0,0,1,0.24166666666666667
自适应,0,0,0,0,5,0,0,5,1.2083333333333333
时间,0,0,0,0,2,0,0,2,0.48333333333333334
r矩阵,0,0,0,0,1,0,0,1,0.24166666666666667
观测噪声分布,0,0,0,0,1,0,0,1,0.24166666666666667
信号功率,0,0,0,0,1,0,0,1,0.24166666666666667
qj,0,0,0,0,1,0,0,1,0.24166666666666667
高斯噪声,0,0,0,0,1,0,0,1,0.24166666666666667
窗口,0,0,0,0,2,0,0,2,0.48333333333333334
大数,0,0,0,0,1,0,0,1,0.24166666666666667
元素,0,0,0,0,3,0,0,3,0.725
对角阵,0,0,0,0,3,0,0,3,0.725
对角矩阵,0,0,0,0,1,0,0,1,0.24166666666666667
高斯分布,0,0,0,0,1,0,0,1,0.24166666666666667
迭代算法,0,0,0,0,1,0,0,1,0.24166666666666667
观测方程,0,0,0,0,2,0,0,2,0.48333333333333334
卡尔曼标准状态方程,0,0,0,0,1,0,0,1,0.24166666666666667
卡尔曼滤波结,0,0,0,0,1,0,0,1,0.24166666666666667
收敛效果,0,0,0,1,3,0,0,4,0.85
omp,0,0,1,0,7,0,0,8,1.8166666666666667
时刻,0,0,0,1,1,0,0,2,0.3666666666666667
卡尔曼迭代,0,0,0,0,3,0,0,3,0.725
高斯-马尔科夫模型,0,0,0,0,1,0,0,1,0.24166666666666667
傅里叶变换矩阵,0,0,0,0,1,0,0,1,0.24166666666666667
傅里叶变换,0,0,1,8,1,0,0,10,1.3666666666666667
观测点,0,0,0,2,1,0,0,3,0.4916666666666667
观测窗,0,0,0,1,1,0,0,2,0.3666666666666667
序列长度,0,0,0,1,1,0,0,2,0.3666666666666667
观测窗长度,0,0,0,1,1,0,0,2,0.3666666666666667
下采样率,0,0,0,0,3,0,0,3,0.725
观测点窗长度,0,0,0,1,1,0,0,2,0.3666666666666667
重叠窗,0,0,0,0,1,0,0,1,0.24166666666666667
时间带,0,0,0,0,1,0,0,1,0.24166666666666667
观测信号,0,0,0,0,1,1,0,2,0.48333333333333334
时间窗口,0,0,0,0,1,0,0,1,0.24166666666666667
压缩感知模型,0,0,0,1,1,0,0,2,0.3666666666666667
自适应感知,0,0,2,0,2,0,3,7,1.4583333333333333
卡尔曼迭代宽带流信号,0,0,0,0,1,0,0,1,0.24166666666666667
aic采样结构,0,0,0,1,2,0,0,3,0.6083333333333334
动态变化,0,0,0,0,1,0,0,1,0.24166666666666667
动态调整,0,0,0,0,3,0,0,3,0.725
概率,0,0,0,0,8,14,0,22,5.316666666666666
重构,0,0,0,1,4,0,0,5,1.0916666666666668
卡尔曼迭代压缩感知重构算法,0,0,0,0,1,0,0,1,0.24166666666666667
自适应感知噪声协方差矩阵,0,0,0,0,1,0,0,1,0.24166666666666667
信道条件,0,0,0,0,1,0,0,1,0.24166666666666667
支撑集,0,0,0,8,9,0,0,17,3.175
性能,0,0,0,3,5,0,1,9,1.825
sgp算法,0,0,0,0,1,0,0,1,0.24166666666666667
自适应卡尔曼滤波,0,0,0,0,1,0,0,1,0.24166666666666667
状态转移模型,0,0,0,0,1,0,0,1,0.24166666666666667
马尔科夫,0,0,0,0,1,0,0,1,0.24166666666666667
高斯-,0,0,0,0,1,0,0,1,0.24166666666666667
宽带稀疏流信号,0,0,0,0,1,0,0,1,0.24166666666666667
压缩感知方,0,0,0,0,1,0,0,1,0.24166666666666667
随机游走模型,0,0,0,0,1,0,0,1,0.24166666666666667
信号流,0,0,0,0,1,0,0,1,0.24166666666666667
lappedorthogonaltransform,0,0,0,0,1,0,0,1,0.24166666666666667
延时正交变换,0,0,0,0,1,0,0,1,0.24166666666666667
压缩采样,0,0,1,1,1,3,0,6,1.2166666666666668
频率稀疏特征,0,0,0,0,1,0,0,1,0.24166666666666667
宽带信号,0,0,9,17,2,14,0,42,7.116666666666667
sgp流信号,0,0,0,0,1,0,0,1,0.24166666666666667
不连续现象,0,0,0,0,1,0,0,1,0.24166666666666667
非重叠窗重构信号,0,0,0,0,1,0,0,1,0.24166666666666667
非重叠时间窗,0,0,0,0,1,0,0,1,0.24166666666666667
压缩测量,0,0,0,0,1,0,0,1,0.24166666666666667
卡尔曼,0,0,0,0,2,0,0,2,0.48333333333333334
电路,0,0,0,0,0,5,0,5,1.2083333333333333
压缩感知硬件,1,0,2,0,0,1,0,4,1.4916666666666667
硬件,0,0,2,4,0,9,2,17,3.408333333333333
硬件电路,0,0,0,0,0,7,2,9,2.175
基本采样结构,0,0,0,0,0,1,0,1,0.24166666666666667
系统,0,0,0,0,0,2,1,3,0.725
混频模式,0,0,0,1,0,1,0,2,0.3666666666666667
zc706,0,0,3,0,0,26,3,32,7.383333333333334
ad9361,0,0,3,0,0,28,3,34,7.866666666666667
采样速率,0,0,0,1,0,1,1,3,0.6083333333333334
容忍门限,0,0,0,0,0,14,1,15,3.625
采样支路数,0,0,0,0,0,10,1,11,2.658333333333333
原始信号,1,0,3,12,1,3,1,21,4.083333333333333
低速采样,0,0,0,2,0,1,1,4,0.7333333333333334
