parent_url,parent_name,this_url,name,level
物联网系统的知识子系统的设计与实现_2级_4,本体建模5,物联网系统的知识子系统的设计与实现_3级_1,本体的定义和构建方法5,3
物联网系统的知识子系统的设计与实现_2级_4,本体建模5,物联网系统的知识子系统的设计与实现_3级_2,本体的描述语言6,3
物联网系统的知识子系统的设计与实现_2级_4,本体建模5,物联网系统的知识子系统的设计与实现_3级_3,本体的构建工具愼7,3
物联网系统的知识子系统的设计与实现_2级_5,逻辑推理7,物联网系统的知识子系统的设计与实现_3级_4,描述逻辑7,3
物联网系统的知识子系统的设计与实现_2级_5,逻辑推理7,物联网系统的知识子系统的设计与实现_3级_5,本体推理器Hermit9,3
物联网系统的知识子系统的设计与实现_2级_5,逻辑推理7,物联网系统的知识子系统的设计与实现_3级_6,理论求解器Z39,3
物联网系统的知识子系统的设计与实现_2级_6,语义库Jena10,物联网系统的知识子系统的设计与实现_3级_7,文件数据库TDB11,3
物联网系统的知识子系统的设计与实现_2级_6,语义库Jena10,物联网系统的知识子系统的设计与实现_3级_8,SPARQL査询语言11,3
物联网系统的知识子系统的设计与实现_2级_10,系统功能性需求分析15,物联网系统的知识子系统的设计与实现_3级_9,用户接口定义15,3
物联网系统的知识子系统的设计与实现_2级_10,系统功能性需求分析15,物联网系统的知识子系统的设计与实现_3级_10,知识库的组织管理18,3
物联网系统的知识子系统的设计与实现_2级_10,系统功能性需求分析15,物联网系统的知识子系统的设计与实现_3级_11,事件接入19,3
物联网系统的知识子系统的设计与实现_2级_10,系统功能性需求分析15,物联网系统的知识子系统的设计与实现_3级_12,基于推理的事件处理20,3
物联网系统的知识子系统的设计与实现_2级_20,知识库管理模块的实现53,物联网系统的知识子系统的设计与实现_3级_13,知识库存储的设计与实现53,3
物联网系统的知识子系统的设计与实现_2级_20,知识库管理模块的实现53,物联网系统的知识子系统的设计与实现_3级_14,知识库查询的设计与实现55,3
物联网系统的知识子系统的设计与实现_2级_21,事件接入模块的实现57,物联网系统的知识子系统的设计与实现_3级_15,数据订阅模块的设计与实现58,3
物联网系统的知识子系统的设计与实现_2级_21,事件接入模块的实现57,物联网系统的知识子系统的设计与实现_3级_16,数据接收模块的设计与实现59,3
物联网系统的知识子系统的设计与实现_2级_22,推理模块的设计与实现59,物联网系统的知识子系统的设计与实现_3级_17,目标和事件解析模块的详细设计与实现59,3
物联网系统的知识子系统的设计与实现_2级_22,推理模块的设计与实现59,物联网系统的知识子系统的设计与实现_3级_18,一阶逻辑表达式转化模块的详细设计与实现61,3
物联网系统的知识子系统的设计与实现_2级_22,推理模块的设计与实现59,物联网系统的知识子系统的设计与实现_3级_19,推理的详细设计与实现64,3
物联网系统的知识子系统的设计与实现_2级_24,测试目标及环境69,物联网系统的知识子系统的设计与实现_3级_20,测试目标69,3
物联网系统的知识子系统的设计与实现_2级_24,测试目标及环境69,物联网系统的知识子系统的设计与实现_3级_21,测试环境69,3
物联网系统的知识子系统的设计与实现_2级_25,系统功能测试70,物联网系统的知识子系统的设计与实现_3级_22,用户接口功能测试72,3
物联网系统的知识子系统的设计与实现_2级_25,系统功能测试70,物联网系统的知识子系统的设计与实现_3级_23,知识库模块功能测试80,3
物联网系统的知识子系统的设计与实现_2级_25,系统功能测试70,物联网系统的知识子系统的设计与实现_3级_24,推理部分功能测试83,3
