,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,第七章,总词频,加权得分
sparql,0,0,0,11,1,2,10,8,1,33,4.5649999999999995
查询语句,0,0,0,3,0,3,3,1,0,10,1.39
三元组,0,0,0,3,0,2,2,0,0,7,0.955
结果集,0,0,0,2,0,2,3,0,0,7,0.975
查询结果,0,0,0,2,0,0,0,0,0,2,0.25
复杂图模式,0,0,0,2,0,0,0,0,0,2,0.25
资源,1,0,5,7,3,1,0,2,0,19,3.37
sparql查询语言,0,0,0,2,1,0,0,0,0,3,0.395
model对象,0,0,0,1,0,1,0,0,0,2,0.27
resourcemodel接口,0,0,0,1,0,1,0,0,0,2,0.27
迭代器接口,0,0,0,1,0,1,0,0,0,2,0.27
三元组信息,0,0,0,1,0,1,0,0,0,2,0.27
resultset,0,0,0,1,0,2,4,2,0,9,1.285
resultset对,0,0,0,1,0,0,0,0,0,1,0.125
exexselectq,0,0,0,1,0,0,0,0,0,1,0.125
执行对象,0,0,0,1,0,1,0,0,0,2,0.27
查询执行对象,0,0,0,1,0,1,0,0,0,2,0.27
queryexecutionfactory,0,0,0,1,0,0,1,0,0,2,0.27
工厂,0,0,0,1,0,3,0,0,0,4,0.5599999999999999
jena,0,0,0,3,0,2,1,0,0,6,0.8099999999999999
query查询语句,0,0,0,1,0,1,0,0,0,2,0.27
queryfactory,0,0,0,1,0,1,0,0,0,2,0.27
工厂类,0,0,0,1,0,1,1,0,0,3,0.415
查询,0,0,0,1,1,3,2,0,0,7,0.9949999999999999
知识库,0,0,7,2,18,31,34,24,3,119,17.075
arq,0,0,0,1,0,0,1,0,0,2,0.27
sparql引擎,0,0,0,1,0,0,0,0,0,1,0.125
查询语言,0,0,0,1,0,0,0,0,0,1,0.125
sparql4j,0,0,0,1,0,0,0,0,0,1,0.125
jenaarq,0,0,0,1,0,0,0,0,0,1,0.125
语义web库,0,0,0,1,0,0,0,0,0,1,0.125
制表符,0,0,0,1,0,0,0,0,0,1,0.125
tsv,0,0,0,1,0,0,0,0,0,1,0.125
逗号分割值,0,0,0,1,0,0,0,0,0,1,0.125
csv,0,0,0,1,0,0,0,0,0,1,0.125
xml,0,0,0,1,0,2,0,0,0,3,0.415
