,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
社交媒体,6,1,40,61,5,0,0,5,118,22.4375
跨域数据,8,0,40,38,3,5,8,13,115,23.00625
跨域信息,13,0,39,17,7,7,10,21,114,28.15625
数据,4,0,15,41,5,3,13,2,83,15.16875
跨域数据挖掘,8,1,16,32,1,0,0,7,65,17.45
视频,0,0,5,4,0,0,1,0,10,1.30625
跨域,4,0,9,6,0,20,23,7,69,14.9375
用户兴趣模型,0,0,8,49,0,0,0,4,61,7.85
用户兴趣,2,1,9,25,4,2,2,1,46,9.88125
匿名,0,0,4,4,0,2,0,1,11,1.54375
跨域行为,0,0,4,0,0,2,6,0,12,1.95
性能,6,0,12,16,44,40,82,6,206,40.675
跨域用户,3,1,14,27,49,7,5,7,113,22.45
在线社交网站,0,0,3,0,0,0,0,0,3,0.375
多媒体服务网站,0,0,3,0,0,0,0,0,3,0.375
图片,0,0,3,4,1,0,0,0,8,1.05625
信息,3,0,8,29,8,7,18,1,74,13.7875
用户,2,0,14,86,57,5,22,3,189,30.268749999999997
匿名化,4,0,7,6,0,2,0,3,22,6.53125
关联,1,0,7,2,3,0,0,4,17,3.39375
稀疏性,0,0,2,2,2,6,2,0,14,2.3125
单域场景,0,0,2,1,0,0,3,0,6,0.91875
音乐,0,0,2,2,0,1,5,0,10,1.5875
数据稀疏性,1,0,2,6,2,3,7,0,21,4.175
新闻网站,0,0,2,1,0,0,0,0,3,0.375
购物网站,0,0,2,0,0,0,0,0,2,0.25
数据挖掘,1,0,4,3,1,0,0,0,9,2.05625
兴趣,2,0,5,23,3,2,17,3,55,10.03125
个性化,0,0,1,2,0,0,2,0,5,0.7375
个性化服务,0,0,1,0,0,0,0,0,1,0.125
数字图书馆,0,0,1,4,0,0,0,0,5,0.625
用户行为,0,0,2,9,1,0,6,1,19,2.825
数学化描述,0,0,1,0,0,0,0,0,1,0.125
异质数据,1,0,2,9,0,0,0,0,12,2.375
兴趣空间,1,0,5,6,5,0,0,3,20,3.825
链接,1,0,4,5,5,2,5,1,23,4.481249999999999
兴趣信息,1,0,4,10,0,0,2,1,18,3.29375
行为数据,1,0,2,20,0,0,1,0,24,3.93125
购物兴趣,0,0,1,0,0,0,0,0,1,0.125
社交兴趣,0,0,1,3,0,0,0,1,5,0.68125
行为关系,0,0,1,1,0,0,0,0,2,0.25
多关系图,0,0,1,0,0,0,0,0,1,0.125
语义相关,0,0,1,0,0,0,0,0,1,0.125
跨域内容数据,0,0,1,1,2,0,0,0,4,0.6125
图模型,0,0,1,1,0,0,0,0,2,0.25
音乐网站,0,0,1,0,0,0,1,0,2,0.30625
跨域数提动态,0,0,1,0,0,0,0,0,1,0.125
异康,0,0,1,0,0,0,0,0,1,0.125
won,0,0,1,0,0,0,0,0,1,0.125
动态关联,1,0,7,6,0,0,3,3,20,3.7125
动态变化规律,0,0,1,1,0,0,2,0,4,0.6125
域信息,1,0,3,1,0,0,0,1,6,1.68125
动态关联关系,0,0,1,0,0,0,0,0,1,0.125
内容,1,0,4,7,13,0,0,2,27,5.09375
主题音乐,0,0,1,0,0,0,0,0,1,0.125
配乐,0,0,1,0,0,0,0,0,1,0.125
泰坦尼克号,0,0,1,0,0,0,3,0,4,0.66875
爱情电影,0,0,1,0,0,0,0,0,1,0.125
时序依赖关系,0,0,1,1,0,0,0,0,2,0.25
时间属性,0,0,2,3,0,0,1,0,6,0.80625
社交媒体用户,0,0,2,0,0,0,0,0,2,0.25
动态,1,0,3,3,0,0,6,3,16,3.3812499999999996
动态性,4,0,4,5,0,0,4,3,20,6.39375
跨域数据量,0,0,1,0,0,0,0,0,1,0.125
跨域历史数据,0,0,1,0,0,0,0,0,1,0.125
用户身份信息,0,0,1,0,0,0,0,0,1,0.125
视频网站,0,0,1,1,0,0,0,0,2,0.25
隐私保护机制,0,0,1,0,1,0,0,0,2,0.30625
特征空间,0,0,1,0,1,1,0,1,4,0.66875
粒度,0,0,1,0,2,0,0,0,3,0.4875
图片分享,0,0,1,0,0,0,0,0,1,0.125
共存,0,0,1,0,0,0,0,0,1,0.125
社交媒体内容数据,0,0,1,0,0,0,0,0,1,0.125
多媒体分享网站,0,0,1,1,0,0,0,0,2,0.25
音频,0,0,1,1,0,0,0,0,2,0.25
文本,0,0,1,4,1,0,0,0,6,0.80625
异质,0,0,2,0,1,1,0,1,5,0.79375
群体行为模式,0,0,1,1,0,0,0,0,2,0.25
用户行为模式,0,0,1,1,0,0,0,0,2,0.25
数据口,0,0,1,0,0,0,0,0,1,0.125
身份识别,2,1,9,16,15,1,0,3,47,10.56875
单域数据,0,0,1,0,0,2,2,0,5,0.85
碎片化数据,1,0,1,1,0,0,0,0,3,1.25
点评网站,0,0,1,0,0,0,0,0,1,0.125
ta,0,0,1,0,0,0,2,0,3,0.4875
周边商品,0,0,1,0,0,0,0,0,1,0.125
悬疑,0,0,1,0,0,0,0,0,1,0.125
侦探,0,0,1,0,0,0,0,0,1,0.125
多媒体服务,0,0,1,0,0,0,0,0,1,0.125
网易云音乐,0,0,1,0,0,0,0,0,1,0.125
短文本分享,0,0,1,0,0,0,0,0,1,0.125
微信,0,0,1,0,0,0,0,0,1,0.125
社交媒体账号,0,0,1,0,0,0,0,0,1,0.125
互联网用户,0,0,1,0,0,0,0,0,1,0.125
globalwebindex,0,0,1,0,0,0,0,0,1,0.125
全球网络指数,0,0,1,0,0,0,0,0,1,0.125
在线商品,0,0,1,0,0,0,0,0,1,0.125
淘宝网,0,0,1,0,0,0,0,1,2,0.30625
检索系统,0,0,1,0,0,0,0,0,1,0.125
搜索引擎,0,0,1,1,0,0,0,0,2,0.25
推荐系统,0,0,1,12,0,6,1,0,20,2.89375
社交媒体数据,1,0,2,6,3,0,0,1,13,2.725
电子邮件,0,0,1,0,0,0,0,0,1,0.125
新用户账号,0,0,1,0,0,0,0,0,1,0.125
linkedln,0,0,1,0,0,0,0,0,1,0.125
传量,0,0,1,0,0,0,0,0,1,0.125
图片上传量,0,0,1,0,0,0,0,0,1,0.125
上传量,0,0,1,0,0,0,0,0,1,0.125
ob,0,0,1,0,0,0,0,1,2,0.30625
数据量,0,0,2,1,0,0,0,0,3,0.375
知识资讯,0,0,1,0,0,0,0,0,1,0.125
电商购物,0,0,1,0,0,0,0,0,1,0.125
影音娱乐,0,0,1,0,0,0,0,0,1,0.125
交友,0,0,1,0,0,0,0,0,1,0.125
社会化媒体,0,0,1,0,0,0,0,0,1,0.125
网络平台,0,0,1,0,0,0,0,0,1,0.125
虚拟社区,0,0,1,0,0,0,0,0,1,0.125
跨域推荐,6,1,17,25,0,15,22,10,96,21.768749999999997
异质性,4,0,6,4,3,0,0,3,20,6.3375
推荐性能,3,0,5,2,0,5,5,2,22,6.05
模型,1,0,4,2,1,6,5,5,24,4.83125
门控神经网络,0,0,4,0,0,0,9,1,14,2.3125
单域行为,1,0,4,0,0,0,7,0,12,2.76875
局部动态模式,1,0,4,0,0,0,0,0,5,1.5
单域,4,0,4,2,1,11,25,0,47,11.45625
异质关系,2,0,4,1,0,6,0,3,16,4.25625
匿名用户,1,0,4,8,0,16,0,2,31,5.762499999999999
多层循环神经网络,1,0,4,0,0,0,5,2,12,2.76875
单域行为间链接,1,0,3,0,0,0,9,3,16,3.55
单域推荐,2,0,3,1,0,5,4,0,15,4.13125
异质网络,2,0,3,1,16,1,0,3,26,6.125
循环-,0,0,3,0,0,0,4,1,8,1.28125
跨域全局演化模式,2,0,3,0,0,0,0,0,5,2.375
匿名跨域数据,1,0,3,3,0,1,0,2,10,2.29375
异质跨域数据,1,0,3,3,0,0,0,3,10,2.29375
动态数据,1,0,2,3,0,0,1,0,7,1.80625
数据集,0,0,2,4,11,12,39,0,68,11.987499999999999
会话,0,0,2,2,0,13,62,0,79,14.09375
循环神经兴趣模型,0,0,2,0,0,0,4,0,6,0.975
跨域推荐性能,0,0,2,0,0,0,1,0,3,0.43125
跨域异质关系,2,0,2,0,0,6,0,2,12,3.7
跨域数据集,0,0,2,0,4,7,28,0,41,7.31875
联合训练算法,2,0,2,0,5,6,0,4,19,4.96875
主题,1,0,2,0,29,0,0,0,32,6.50625
长期兴趣,0,0,2,3,0,0,11,1,17,2.8
短期兴趣,0,0,2,4,0,0,11,1,18,2.925
局部动态变化,1,0,2,0,0,0,1,0,4,1.43125
全局动态变化,1,0,2,0,0,0,3,0,6,1.79375
社交偏好,0,0,2,1,2,0,0,2,7,1.1
内容偏好,0,0,2,0,2,0,0,1,5,0.79375
循环神经网络,0,0,2,3,0,0,10,3,18,2.9812499999999997
跨域关联,1,0,3,0,0,3,1,2,10,2.4625
跨域场景,0,0,2,3,0,0,6,0,11,1.7125
knowledge-basedsystems,0,0,1,0,0,0,0,0,1,0.125
批训练机,0,0,1,0,0,0,0,0,1,0.125
效率,0,0,1,0,1,0,0,0,2,0.30625
链接信息,0,0,1,0,0,0,0,0,1,0.125
跨域兴趣正则化函数,0,0,1,0,0,0,6,0,7,1.2125
动态演化规律,0,0,1,0,0,0,1,0,2,0.30625
连续会话,0,0,1,0,0,0,0,0,1,0.125
跨域长期兴趣模型,0,0,1,0,0,0,4,0,5,0.85
动态演化模式,0,0,1,0,0,0,2,0,3,0.4875
跨域长期,0,0,1,0,0,0,0,0,1,0.125
短期兴趣信息,0,0,1,0,0,0,3,0,4,0.66875
融合层,0,0,1,0,0,0,14,0,15,2.6625
依赖关系,0,0,1,0,0,2,1,0,4,0.66875
短期行为,0,0,1,0,0,0,1,0,2,0.30625
跨域短期兴趣模型,0,0,1,0,0,0,4,0,5,0.85
动态变化模式,0,0,1,0,0,0,3,0,4,0.66875
跨域短期兴趣,0,0,1,0,0,0,0,0,1,0.125
跨域切换,0,0,1,0,0,0,6,0,7,1.2125
邮电大学,0,0,1,0,0,0,0,0,1,0.125
neurocomputing,0,0,1,1,1,0,1,0,4,0.6125
训练速度,0,0,1,0,0,0,1,1,3,0.4875
训练机制,0,0,1,0,0,0,0,0,1,0.125
动态兴趣信息,0,0,1,0,0,0,0,0,1,0.125
会话级,0,0,1,0,0,0,24,0,25,4.475
用户级,0,0,1,0,0,0,16,0,17,3.025
局部动态变化模式,0,0,1,0,0,0,0,1,2,0.30625
域感知会话级,0,0,1,0,0,0,0,0,1,0.125
动态变化,0,0,1,0,0,0,8,0,9,1.575
单域内信息,0,0,1,0,0,0,0,0,1,0.125
兴趣演化模式,0,0,1,0,0,0,1,0,2,0.30625
跨域用户级,0,0,1,0,0,0,6,0,7,1.2125
mini,0,0,1,2,1,0,0,0,4,0.55625
cha,0,0,1,4,1,1,1,1,9,1.35
上下文关系,0,0,1,0,0,14,0,0,15,2.6625
