,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
基站,1,0,11,55,58,24,0,149,29.066666666666666
邻域基站集合,1,0,1,8,0,0,0,10,2.125
nbsb,0,0,0,5,0,0,0,5,0.625
邻域基站,0,0,0,8,0,0,0,8,1.0
nbsu,0,0,0,4,0,0,0,4,0.5
neighboringbsset,0,0,0,2,0,0,0,2,0.25
nbsbm,0,0,0,1,0,0,0,1,0.125
ive,0,0,0,1,0,0,0,1,0.125
nbsun,0,0,0,1,0,0,0,1,0.125
干扰,0,0,2,5,9,6,0,22,4.5
用户,2,0,4,18,10,3,1,38,8.133333333333333
kbqgw,0,0,0,1,0,0,0,1,0.125
基站集合,0,0,0,1,0,0,0,1,0.125
网络,0,0,1,1,1,0,0,3,0.4916666666666667
协作,2,0,7,2,5,3,1,20,5.3
功率控制,0,0,2,17,0,0,0,19,2.375
迭代资源分配,0,0,1,2,0,0,0,3,0.375
迭代算法,0,0,0,2,0,0,0,2,0.25
基站b,0,0,0,1,0,0,0,1,0.125
发射功率,0,0,0,13,0,0,0,13,1.625
线性时间,0,0,0,2,0,0,0,2,0.25
功率控制算法,0,0,0,2,0,0,0,2,0.25
通信系统,0,0,4,1,0,0,0,5,0.625
调度复杂度,0,0,0,1,0,0,0,1,0.125
复杂度,2,0,0,6,2,0,0,10,3.2333333333333334
指数级,0,0,0,1,0,0,0,1,0.125
载波分配,0,0,0,1,0,0,1,2,0.3666666666666667
符号,0,0,0,0,1,11,0,12,2.9
转移矩阵,0,0,0,0,0,4,0,4,0.9666666666666667
星座图,0,0,0,0,0,4,0,4,0.9666666666666667
传输符号,0,0,0,0,1,5,0,6,1.45
星座,0,0,0,0,0,3,0,3,0.725
回传网络,1,0,8,0,9,11,0,29,6.833333333333333
hic,0,0,0,0,0,7,0,7,1.6916666666666667
硬干扰,0,0,0,0,0,4,0,4,0.9666666666666667
sep表达式,0,0,0,0,0,3,0,3,0.725
取值,0,0,0,0,0,2,0,2,0.48333333333333334
概率质量函数,0,0,0,0,0,4,0,4,0.9666666666666667
变量,0,0,0,2,3,1,0,6,1.2166666666666668
