parent_url,parent_name,this_url,name,level
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_1,绪论1,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_1,无线网络发展1,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_1,绪论1,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_2,课题研究意义4,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_1,绪论1,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_3,论文研究内容及结构安排5,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_2,蜂窝与D2D异构网络7,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_4,异构网络资源复用方式7,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_2,蜂窝与D2D异构网络7,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_5,D2D通信控制方式8,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_2,蜂窝与D2D异构网络7,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_6,异构网络干扰分析10,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_2,蜂窝与D2D异构网络7,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_7,异构网络组网方案选择13,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_2,蜂窝与D2D异构网络7,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_8,本章小结14,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_3,D2D无线资源管理15,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_9,D2D无线资源管理框架15,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_3,D2D无线资源管理15,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_10,D2D网络自主竞争接入机制,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_3,D2D无线资源管理15,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_11,系统间干扰认知协调机制27,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_3,D2D无线资源管理15,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_12,D2D链路自适应机制34,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_3,D2D无线资源管理15,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_13,D2D资源决策方案42,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_3,D2D无线资源管理15,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_14,本章小结46,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_4,D2D无线资源管理实现与验证47,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_15,D2D硬件验证演示平台介绍47,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_4,D2D无线资源管理实现与验证47,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_16,SSCA优化设计49,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_4,D2D无线资源管理实现与验证47,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_17,DCCCH物理信道设计51,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_4,D2D无线资源管理实现与验证47,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_18,RRM模块设计与实现53,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_4,D2D无线资源管理实现与验证47,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_19,RRM模块功能验证73,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_4,D2D无线资源管理实现与验证47,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_20,性能分析及扩展80,2
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_1级_4,D2D无线资源管理实现与验证47,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_2级_21,本章小结85,2
