dissertation,name,this_url,language
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证,Device-to-Device,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_关键词_1,中文
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证, 异构网络,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_关键词_2,中文
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证, 无线资源管理,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_关键词_3,中文
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证, 分布式,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_关键词_4,中文
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证, 干扰协调,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_关键词_5,中文
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证,Device-to-Device,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_keyword_6,英文
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证, heterogeneous network,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_keyword_7,英文
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证, radio resource management,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_keyword_8,英文
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证, distributed,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_keyword_9,英文
蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证, interference coordination,蜂窝与D2D异构网络中D2...无线资源管理设计与实现验证_keyword_10,英文
