,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
cellue,0,0,0,1,10,7,3,0,21,3.75
频偏,0,0,0,8,8,0,15,0,31,5.16875
时偏,0,0,0,0,2,0,18,0,20,3.625
cellue信号,0,0,0,0,55,1,0,0,56,10.15
覆盖通信,0,0,0,0,8,0,0,0,8,1.45
全蜂窝cellue,0,0,0,0,1,0,0,0,1,0.18125
双终端,0,0,0,0,16,0,0,0,16,2.9
蜂窝用户,0,0,0,5,3,2,1,0,11,1.7125
蜂窝基站,0,0,0,4,10,5,1,0,20,3.4
频域补偿,0,0,0,0,5,0,0,0,5,0.90625
接收,0,0,2,0,8,3,0,0,13,2.24375
发送,0,0,2,0,1,0,0,0,3,0.43125
提前量,0,0,1,1,10,9,1,0,22,3.875
蜂窝系统,0,0,3,3,5,2,0,0,13,2.01875
d2d通信系统,0,0,3,0,1,1,1,0,6,0.91875
时间提前量,0,0,1,1,3,0,0,0,5,0.79375
同步,0,0,7,13,17,10,24,0,71,11.74375
基站,0,0,11,2,10,9,5,0,37,5.975
d2d.终端,0,0,0,0,1,0,0,0,1,0.18125
蜂窝基站信号,0,0,0,0,26,5,0,0,31,5.6187499999999995
d2d终端,0,0,1,16,247,32,19,0,315,56.137499999999996
全覆盖,0,0,0,0,1,0,0,0,1,0.18125
上行,0,0,0,1,1,2,3,0,7,1.2125
全蜂窝基站,0,0,0,0,6,0,0,0,6,1.0875
异构网络,0,0,8,2,22,10,5,0,47,7.95625
全cellue覆盖通信,0,0,0,0,6,0,0,0,6,1.0875
同步跟踪,0,0,0,5,0,0,13,0,18,2.9812499999999997
buffer,0,0,0,0,0,0,24,0,24,4.35
缓存buffer,0,0,0,0,0,0,2,0,2,0.3625
均值,0,0,0,0,0,0,3,0,3,0.54375
同步状态,0,0,0,0,0,0,3,0,3,0.54375
频率,0,0,0,3,0,0,6,0,9,1.4625
定时,0,0,0,1,22,10,3,0,36,6.46875
子帧,0,0,0,6,1,0,2,0,9,1.29375
同步源,0,0,4,7,1,10,10,0,32,5.18125
同步关系,0,0,0,1,10,7,7,0,25,4.475
同步跟踪模块,0,0,0,0,0,0,5,0,5,0.90625
处理流程,0,0,0,0,0,0,1,0,1,0.18125
维持系统,0,0,0,0,0,0,1,0,1,0.18125
系统,0,0,1,0,0,0,4,0,5,0.85
平均,0,0,0,0,0,0,1,0,1,0.18125
频偏数据,0,0,0,0,0,0,1,0,1,0.18125
缓存结果,0,0,0,0,0,0,1,0,1,0.18125
更新缓存buffer,0,0,0,0,0,0,1,0,1,0.18125
更新buffer,0,0,0,0,0,0,1,0,1,0.18125
首地址,0,0,0,0,0,0,1,0,1,0.18125
同步跟踪结,0,0,0,0,0,0,1,0,1,0.18125
同步跟踪结果缓存,0,0,0,0,0,0,1,0,1,0.18125
频偏值,0,0,0,1,0,0,8,0,9,1.575
